1	Ach	ach	I	ITJ	_	0	root	_	_
8	Geld	Geld	N	NN	Neut|_|Sg	9	obja	1194	1194
9	krieg	krieg	V	VVFIN	1|Sg|_|_	2	s	_	_
10	'	'	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	906	906
12	)	)	$	$(	_	0	root	_	_
13	'	'	$	$(	_	0	root	_	_
14	ne	ne	F	FM	_|Dat|_	9	objd	_	_
15	Dest	Dest	F	FM	_|Dat|_	14	app	_	_
16	'	'	$	$(	_	0	root	_	_
17	lation	lation	F	FM	_|Dat|_	15	app	_	_
18	und	und	K	KON	_	9	kon	_	_
19	weiß	wissen	V	VVFIN	_|Sg|Pres|Ind	18	cj	_	_
20	auch	auch	A	ADV	_	19	adv	_	_
21	schon	schon	A	ADV	_	19	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	wo	wo	P	PWAV	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	23	kon	_	_
26	denn	denn	A	ADV	_	25	cj	_	_
27	heirat	heirat	C	CARD	_	0	root	_	_
28	'	'	$	$(	_	0	root	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	0	root	906	906
30	mir	ich	P	PRF	1|Sg|Dat	0	root	_	_
31	einen	eine	A	ART	Indef|Masc|Acc|Sg	32	det	_	_
32	Wittmann	Wittmann	N	NN	Masc|Acc|Sg	0	root	_	_
33	und	und	K	KON	_	0	root	_	_
34	weiß	wissen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	_
35	auch	auch	A	ADV	_	34	adv	_	_
36	schon	schon	A	ADV	_	34	adv	_	_
37	,	,	$	$,	_	0	root	_	_
38	wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
39	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	907	907
3	will	wollen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	auch	auch	A	ADV	_	3	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	3	koord	_	_
2	das	die	P	PDS	Neut|_|Sg	6	obja	_	_
3	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	906	906
5	Ihnen	sie	P	PPER	3|Pl|_|Dat	6	objd	909	909
6	sagen	sagen	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	906	906
9	bin	sein	V	VAFIN	1|Sg|Pres|Ind	3	kon	_	_
10	für	für	P	APPR	Acc	9	pp	_	_
11	Ordnung	Ordnung	N	NN	Fem|Acc|Sg	10	pn	908	908
12	und	und	K	KON	_	11	kon	_	_
13	Anständigkeit	Anständigkeit	N	NN	Fem|Acc|Sg	12	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	0	root	_	_
16	die	die	A	ART	Def|Neut|_|Pl	17	det	_	_
17	Kinder	Kind	N	NN	Neut|_|Pl	15	cj	_	_
18	or	or	F	FM	Neut|_|Pl	17	app	_	_
19	'	'	$	$(	_	0	root	_	_
20	ntlich	ntlich	F	FM	Neut|_|Pl	18	app	_	_
21	erziehn	erziehn	F	FM	Neut|_|Pl	20	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	ob	ob	K	KOUS	_	0	root	_	_
25	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
26	seine	seine	A	PPOSAT	_|_|_	0	root	907	907
27	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
28	oder	oder	K	KON	_	27	kon	_	_
29	meine	meinen	V	VVFIN	_|Sg|Pres|_	28	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	is	is	F	FM	_	0	root	_	_
32	janz	janz	F	FM	_	31	app	_	_
33	egal	egal	A	ADJD	Pos|	0	root	_	_
34	...	...	$	$.	_	0	root	_	_
35	Und	und	K	KON	_	0	root	_	_
36	wie	wie	P	PWAV	_	35	cj	_	_
37	is	is	F	FM	_	0	root	_	_
38	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
39	denn	denn	A	ADV	_	41	adv	_	_
40	eigentlich	eigentlich	A	ADV	_	41	adv	_	_
41	mit	mit	P	APPR	Dat	0	root	_	_
42	Ihnen	sie	P	PPER	3|Pl|_|Dat	41	pn	909	909
43	?	?	$	$.	_	0	root	_	_
44	«	«	$	$(	_	0	root	_	_

1	Lene	Lene	N	NE	_|Nom|Sg	2	subj	17	17
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	kein	keine	A	PIAT	Neut|_|Sg	4	det	_	_
4	Wort	Wort	N	NN	Neut|_|Sg	2	obja	_	_
5	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Jott	Jott	N	NE	Neut|_|Sg	0	root	71	71
3	,	,	$	$,	_	0	root	71	71
4	Kind	Kind	N	NN	Neut|_|Sg	2	app	71	71
5	,	,	$	$,	_	0	root	_	_
6	Sie	sie	P	PPER	3|Pl|_|Nom	7	subj	909	909
7	verfärben	verfärben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	ja	ja	A	ADV	_	7	adv	_	_
10	;	;	$	$.	_	0	root	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	12	subj	909	909
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
13	woll	woll	A	ADJD	_	12	pred	_	_
14	am	an	P	APPRART	Dat	12	pp	_	_
15	Ende	Ende	N	NN	Neut|Dat|Sg	14	pn	528	528
16	mit	mit	P	APPR	Dat	12	pp	_	_
17	hier	hier	A	ADV	_	16	adv	_	_
18	dabei	dabei	P	PROAV	_	12	pp	_	_
19	«	«	$	$(	_	0	root	_	_
20	-	-	$	$(	_	0	root	_	_
21	und	und	K	KON	_	12	kon	_	_
22	sie	sie	P	PPER	3|Sg|Fem|Nom	23	subj	17	17
23	wies	weisen	V	VVFIN	3|Sg|Past|Ind	21	cj	_	_
24	aufs	auf	P	APPRART	Acc	23	pp	_	_
25	Herz	Herz	N	NN	_|Acc|_	24	pn	339	339
26	-	-	$	$(	_	0	root	_	_
27	»	»	$	$(	_	0	root	_	_
28	und	und	K	KON	_	12	kon	_	_
29	tun	tun	V	VVFIN	_|Pl|Pres|Ind	28	cj	_	_
30	alles	alle	P	PIS	_|_|Sg	29	obja	_	_
31	aus	aus	P	APPR	Dat	29	pp	_	_
32	Liebe	Liebe	N	NN	Fem|Dat|Sg	31	pn	677	677
33	?	?	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Kind	Kind	N	NN	Neut|_|Sg	0	root	538	538
4	,	,	$	$,	_	0	root	_	_
5	denn	denn	K	KON	_	0	root	_	_
6	is	is	V	VVFIN	3|Sg|_|_	5	cj	_	_
7	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
8	schlimm	schlimm	A	ADJD	Pos|	6	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	denn	denn	K	KON	_	6	kon	_	_
11	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	'	'	$	$(	_	0	root	_	_
14	nen	nen	A	ADJA	_|Masc|_|Sg|_	15	attr	_	_
15	Kladderadatsch	Kladderadatsch	N	NN	Masc|_|Sg	11	obja	_	_
16	.	.	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	Johanna	Johanna	N	NN	Fem|Nom|Sg	2	subj	881	881
2	folgte	folgen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	mit	mit	P	APPR	Dat	2	pp	_	_
4	Margot	Margot	N	NE	Fem|Dat|Sg	3	pn	879	879
5	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	909	909
2	blieben	bleiben	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	absichtlich	absichtlich	A	ADJD	Pos|	2	adv	_	_
4	etwas	etwas	A	ADV	_	2	adv	_	_
5	zurück	zurück	P	PTKVZ	_	2	avz	_	_
6	und	und	K	KON	_	2	kon	_	_
7	brachen	brechen	V	VVFIN	_|Pl|Past|_	6	cj	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	Birkenreiser	Birkenreis	N	NN	_|_|_	0	root	_	_
10	ab	ab	P	PTKVZ	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	wie	wie	K	KOKOM	_	0	root	_	_
13	wenn	wenn	K	KOUS	_	15	konj	_	_
14	sie	sie	P	PPER	3|Pl|_|Nom	15	subj	909	909
15	vorhätten	vorhaben	V	VVFIN	3|Pl|Past|Subj	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	18	det	_	_
18	Kranz	Kranz	N	NN	Masc|Acc|Sg	21	obja	_	_
19	daraus	daraus	P	PROAV	_	18	pp	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	flechten	flechten	V	VVINF	_	15	obji	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	3	adv	_	_
3	gefällt	gefallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	881	881
5	dir	du	P	PPER	2|Sg|_|Dat	3	objd	_	_
6	denn	denn	A	ADV	_	3	adv	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	Margot	Margot	N	NE	Fem|Nom|Sg	9	subj	879	879
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	879	879
3	meine	meinen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	die	die	A	ART	Def|_|_|_	0	root	_	_
5	von	von	P	APPR	Dat	0	root	_	_
6	Gaston	Gaston	N	NN	Masc|Dat|Sg	5	pn	582	582
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gefallen	Gefallen	N	NN	_|_|_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	Gar	gar	A	ADV	_	2	adv	_	_
2	nich	nich	A	ADJD	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	8	konj	_	_
7	solche	solche	P	PIS	_|Nom|Pl	8	subj	_	_
8	mitspielen	mitspielen	V	VVFIN	3|Pl|Pres|_	2	objc	_	_
9	und	und	K	KON	_	0	root	_	_
10	in	in	P	APPR	_	12	pp	_	_
11	Mode	Mode	N	NN	_|_|Sg	10	pn	910	910
12	kommen	kommen	V	VVINF	_	9	cj	_	_
13	!	!	$	$.	_	0	root	_	_

1	Sieh	sehen	V	VVIMP	Sg	0	root	_	_
2	doch	doch	A	ADV	_	1	adv	_	_
3	nur	nur	A	ADV	_	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	wie	wie	P	PWAV	_	0	root	_	_
6	ihr	ihr	P	PPER	_|_|_|_	0	root	910	910
7	die	die	A	ART	Def|_|_|_	8	det	911	911
8	Handschuh	Handschuh	N	NN	_|Nom|Pl	10	subj	911	911
9	'	'	$	$(	_	0	root	_	_
10	sitzen	sitzen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	mit	mit	P	APPR	Dat	8	pp	_	_
3	dem	die	A	ART	Def|_|Dat|Sg	4	det	_	_
4	Hut	Hut	F	FM	_|Dat|Sg	2	pn	_	_
5	is	is	F	FM	_|Dat|Sg	4	app	_	_
6	auch	auch	A	ADV	_	2	adv	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	viel	viel	P	PIS	_	1	cj	_	_
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	910	910
2	dürfte	dürfen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	8	obja	911	911
4	gar	gar	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	7	adv	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	gehn	gehn	V	VVINF	_	8	obji	_	_
8	lassen	lassen	V	VVINF	_	2	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	912	912
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	_
4	auch	auch	A	ADV	_	6	adv	_	_
5	dumm	dumm	A	ADJD	Pos|	6	pred	_	_
6	sein	sein	V	VAINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	9	subj	912	912
9	spricht	sprechen	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	_
10	ja	ja	A	ADV	_	9	adv	_	_
11	kein	keine	A	PIAT	Neut|_|Sg	12	det	_	_
12	Wort	Wort	N	NN	Neut|_|Sg	9	obja	_	_
13	.	.	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	2	par	_	_
6	Margot	Margot	N	NE	Fem|Nom|Sg	5	subj	879	879
7	,	,	$	$,	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	dumm	dumm	A	ADJD	Pos|	10	pred	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	879	879
12	nicht	nicht	P	PTKNEG	_	10	adv	_	_
13	;	;	$	$.	_	0	root	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	879	879
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	'	'	$	$(	_	0	root	_	_
17	s	s	P	PPER	_	15	obja	_	_
18	bloß	bloß	A	ADV	_	15	adv	_	_
19	noch	noch	A	ADV	_	15	adv	_	_
20	nich	nich	A	ADJD	_	15	adv	_	_
21	weg	weg	P	PTKVZ	_	15	avz	_	_
22	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	daß	daß	K	KOUS	_	10	konj	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	879	879
4	sich	sie	P	PRF	3|_|_	10	obja	_	_
5	gleich	gleich	A	ADJD	Pos|	10	adv	_	_
6	an	an	P	APPR	Acc	10	pp	_	_
7	die	die	A	ART	Def|_|Acc|_	9	det	913	913
8	gute	gut	A	ADJA	Pos|_|Acc|_|_|	9	attr	913	913
9	Dicke	Dicke	N	NN	_|Acc|_	6	pn	913	913
10	ranmacht	ranmachen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
11	,	,	$	$,	_	0	root	_	_
12	das	die	A	ART	Def|Neut|_|Sg	13	det	_	_
13	is	is	F	FM	Neut|_|Sg	0	root	_	_
14	doch	doch	A	ADV	_	16	adv	_	_
15	auch	auch	A	ADV	_	16	adv	_	_
16	klug	klug	A	ADJD	Pos|	0	root	_	_
17	genug	genug	A	ADV	_	16	adv	_	_
18	.	.	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

