1	Zehn	zehn	C	CARD	_	2	attr	_	_
19	einig	einig	A	ADJD	Pos|	17	pred	_	_
20	mit	mit	P	APPR	Dat	17	pp	_	_
21	ihr	ihr	P	PPER	3|Sg|Fem|Dat	20	pn	181	181
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	17	kon	_	_
24	eine	eine	A	ART	Indef|Fem|_|Sg	25	det	_	_
25	Stunde	Stunde	N	NN	Fem|_|Sg	26	grad	_	_
26	später	spät	A	ADJD	_|	27	adv	_	_
27	knirschte	knirschen	V	VVFIN	3|Sg|Past|_	23	cj	_	_
28	schon	schon	A	ADV	_	27	adv	_	_
29	mein	meine	A	PPOSAT	Masc|Nom|Sg	30	det	168	168
30	Koffer	Koffer	N	NN	Masc|Nom|Sg	27	subj	182	182
31	die	die	A	ART	Def|Fem|_|Sg	33	det	766	766
32	knarrende	knarrend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	33	attr	766	766
33	Holztreppe	Holztreppe	N	NN	Fem|_|Sg	27	obja	766	766
34	hinauf	hinauf	P	PTKVZ	_	27	avz	_	_
35	.	.	$	$.	_	0	root	_	_

1	An	an	P	APPR	Dat	4	pp	_	_
2	jenem	jene	A	PDAT	Masc|Dat|Sg	3	det	_	_
3	Abend	Abend	N	NN	Masc|Dat|Sg	1	pn	_	_
4	ging	gehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	168	168
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	mehr	mehr	A	ADV	_	6	adv	_	_
8	aus	aus	P	PTKVZ	_	4	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	ja	ja	P	PTKANT	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	0	root	168	168
12	vergaß	vergaß	V	VVINF	_	0	root	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	essen	essen	V	VVINF	_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	zu	zu	P	PTKZU	_	17	part	_	_
17	rauchen	rauchen	V	VVINF	_	14	obji	_	_
18	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	5	pp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	4	det	_	_
3	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	4	attr	_	_
4	Griff	Griff	N	NN	Masc|Dat|Sg	1	pn	_	_
5	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	168	168
7	aus	aus	P	APPR	Dat	14	pp	_	_
8	dem	die	A	ART	Def|Masc|Dat|Sg	9	det	182	182
9	Koffer	Koffer	N	NN	Masc|Dat|Sg	7	pn	182	182
10	den	die	A	ART	Def|_|_|_	13	det	132	132
11	zufällig	zufällig	A	ADJD	Pos|	12	adv	132	132
12	beigepackten	beigepackt	A	ADJA	Pos|_|_|_|_|	13	attr	132	132
13	Shakespeare	Shakespeare	N	NN	_|_|_	14	obja	132	132
14	geholt	holen	V	VVPP	_	5	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	ungeduldig	ungeduldig	A	ADJD	Pos|	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	27	obja	182	182
19	(	(	$	$(	_	0	root	_	_
20	seit	seit	P	APPR	Dat	27	pp	_	_
21	Jahren	Jahr	N	NN	Neut|Dat|Pl	20	pn	_	_
22	wieder	wieder	A	ADV	_	21	adv	_	_
23	zum	zu	P	APPRART	Dat	21	pp	_	_
24	erstenmal	erstenmal	N	NN	_|Dat|_	23	pn	105	105
25	)	)	$	$(	_	0	root	_	_
26	zu	zu	P	PTKZU	_	27	part	_	_
27	lesen	lesen	V	VVINF	_	16	obji	_	_
28	;	;	$	$.	_	0	root	_	_
29	meine	meine	A	PPOSAT	Fem|Nom|Sg	30	det	168	168
30	Neugier	Neugier	N	NN	Fem|Nom|Sg	31	subj	_	_
31	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
32	durch	durch	P	APPR	Acc	36	pp	_	_
33	jenen	jene	A	PDAT	Masc|Acc|Sg	34	det	_	_
34	Vortrag	Vortrag	N	NN	Masc|Acc|Sg	32	pn	_	_
35	leidenschaftlich	leidenschaftlich	A	ADJD	Pos|	36	adv	_	_
36	entzündet	entzünden	V	VVPP	_	31	aux	_	_
37	,	,	$	$,	_	0	root	_	_
38	und	und	K	KON	_	31	kon	_	_
39	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	168	168
40	las	lesen	V	VVFIN	1|Sg|Past|Ind	38	cj	_	_
41	gedichtetes	gedichtet	A	ADJA	Pos|Neut|_|Sg|St|	42	attr	_	_
42	Wort	Wort	N	NN	Neut|_|Sg	40	obja	_	_
43	,	,	$	$,	_	0	root	_	_
44	wie	wie	P	PWAV	_	0	root	_	_
45	ich	ich	P	PPER	1|Sg|_|Nom	48	subj	168	168
46	es	es	P	PPER	3|Sg|Neut|_	48	obja	_	_
47	nie	nie	A	ADV	_	48	adv	_	_
48	gelesen	lesen	V	VVPP	_	0	root	_	_
49	.	.	$	$.	_	0	root	_	_

1	Kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	derartige	derartige	A	ADJA	_|Fem|_|Pl|_	4	attr	_	_
4	Verwandlungen	Verwandlung	N	NN	Fem|_|Pl	5	obja	_	_
5	erklären	erklären	V	VVINF	_	1	aux	_	_
6	?	?	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	mit	mit	P	APPR	Dat	4	pp	_	_
3	einmal	einmal	A	ADV	_	2	adv	_	_
4	ging	gehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	168	168
6	eine	eine	A	ART	Indef|Fem|Nom|Sg	7	det	_	_
7	Welt	Welt	N	NN	Fem|Nom|Sg	4	subj	_	_
8	im	in	P	APPRART	Dat	4	objp	_	_
9	Geschriebenen	Geschriebene	N	NN	_|Dat|_	8	pn	_	_
10	auf	auf	P	PTKVZ	_	4	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	die	die	A	ART	Def|Neut|Nom|Pl	13	det	183	183
13	Worte	Wort	N	NN	Neut|Nom|Pl	14	subj	183	183
14	zuckten	zucken	V	VVFIN	3|Pl|Past|_	4	kon	_	_
15	nur	nur	A	ADV	_	14	adv	_	_
16	so	so	A	ADV	_	14	adv	_	_
17	auf	auf	P	APPR	Acc	14	pp	_	_
18	mich	ich	P	PPER	1|Sg|_|Acc	17	pn	168	168
19	zu	zu	P	PTKVZ	_	14	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	als	als	K	KOKOM	_	22	konj	_	_
22	suchten	suchen	V	VVFIN	3|Pl|Past|_	14	neb	_	_
23	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	183	183
24	mich	ich	P	PPER	1|Sg|_|Acc	22	obja	168	168
25	seit	seit	P	APPR	Dat	22	pp	_	_
26	Jahrhunderten	Jahrhundert	N	NN	_|Dat|Pl	25	pn	184	184
27	;	;	$	$.	_	0	root	_	_
28	eine	eine	A	ART	Indef|Fem|_|Sg	29	det	_	_
29	Feuerwoge	Feuerwoge	N	NN	Fem|_|Sg	30	obja	_	_
30	lief	laufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
31	der	die	A	ART	Def|Masc|Nom|Sg	32	det	_	_
32	Vers	Vers	N	NN	Masc|Nom|Sg	30	subj	_	_
33	,	,	$	$,	_	0	root	_	_
34	mich	ich	P	PPER	1|Sg|_|Acc	35	obja	168	168
35	mitreißend	mitreißen	A	ADJD	_|<PPRES	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	bis	bis	K	KOUS	_	0	root	_	_
38	ins	in	P	APPRART	Acc	0	root	_	_
39	Adernwerk	Adernwerk	N	NN	Neut|Acc|Sg	38	pn	_	_
40	hinein	hinein	P	PTKVZ	_	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	daß	daß	K	KOUS	_	50	konj	_	_
43	ich	ich	P	PPER	1|Sg|_|Nom	50	subj	168	168
44	jene	jene	A	PDAT	_|_|_	46	det	_	_
45	seltsame	seltsam	A	ADJA	Pos|_|_|_|_|	46	attr	_	_
46	Gelockertheit	Gelockertheit	N	NN	_|_|_	50	obja	_	_
47	in	in	P	APPR	Dat	50	pp	_	_
48	den	die	A	ART	Def|Fem|Dat|Pl	49	det	638	638
49	Schläfen	Schläfe	N	NN	Fem|Dat|Pl	47	pn	638	638
50	fühlte	fühlen	V	VVFIN	1|Sg|Past|_	0	root	_	_
51	wie	wie	K	KOKOM	_	50	kom	_	_
52	bei	bei	P	APPR	Dat	51	cj	_	_
53	einem	eine	A	ART	Indef|Masc|Dat|Sg	54	det	_	_
54	Flugtraum	Flugtraum	N	NN	Masc|Dat|Sg	52	pn	_	_
55	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	168	168
2	zuckte	zucken	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	168	168
5	zitterte	zittern	V	VVFIN	1|Sg|Past|_	2	kon	_	_
6	,	,	$	$,	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	168	168
8	fühlte	fühlen	V	VVFIN	1|Sg|Past|_	5	kon	_	_
9	das	die	A	ART	Def|Neut|Nom|Sg	10	det	185	185
10	Blut	Blut	N	NN	Neut|Nom|Sg	8	pred	185	185
11	wärmer	warm	A	ADJD	Comp|	12	adv	_	_
12	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	189	189
13	durchwogen	durchwogen	V	VVINF	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	17	adv	_	_
16	Fieber	Fieber	N	NN	Neut|Nom|_	17	subj	_	_
17	flogs	flogs	V	VVFIN	_|_|_|_	0	root	_	_
18	mich	ich	P	PPER	1|Sg|_|Acc	17	obja	168	168
19	an	an	P	PTKVZ	_	17	avz	_	_
20	–	–	$	$(	_	0	root	_	_
21	all	all	A	PIDAT	Neut|Nom|Sg	22	det	_	_
22	das	die	P	PDS	Neut|Nom|Sg	23	subj	_	_
23	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	mir	ich	P	PPER	1|Sg|_|Dat	23	objd	168	168
25	vordem	vordem	A	ADV	_	23	adv	_	_
26	nie	nie	A	ADV	_	23	adv	_	_
27	geschehen	geschehen	V	VVINF	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	und	und	K	KON	_	0	root	_	_
30	ich	ich	P	PPER	1|Sg|_|Nom	31	subj	168	168
31	hatte	haben	V	VAFIN	1|Sg|Past|Ind	29	cj	_	_
32	doch	doch	A	ADV	_	34	adv	_	_
33	nichts	nichts	P	PIS	_	34	obja	_	_
34	erlebt	erleben	V	VVPP	_	31	aux	_	_
35	als	als	K	KOKOM	_	34	kom	_	_
36	das	die	A	ART	Def|Neut|_|Sg	37	det	_	_
37	Hören	Hören	N	NN	Neut|_|Sg	35	cj	_	_
38	einer	eine	A	ART	Indef|Fem|Gen|Sg	40	det	_	_
39	passionierten	passionierten	A	ADJA	_|Fem|Gen|Sg|_	40	attr	_	_
40	Rede	Rede	N	NN	Fem|Gen|Sg	37	gmod	_	_
41	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	5	koord	_	_
2	von	von	P	APPR	_	5	pp	_	_
3	dieser	diese	A	PDAT	Fem|_|Sg	4	det	111	111
4	Rede	Rede	N	NN	Fem|_|Sg	2	pn	111	111
5	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
6	wohl	wohl	A	ADV	_	11	adv	_	_
7	noch	noch	A	ADV	_	11	adv	_	_
8	Rausch	Rausch	N	NN	Masc|Nom|Sg	5	subj	186	186
9	in	in	P	APPR	Dat	11	pp	_	_
10	mir	ich	P	PPER	1|Sg|_|Dat	9	pn	168	168
11	sein	sein	V	VAINF	_	5	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	168	168
14	hörte	hören	V	VVFIN	1|Sg|Past|_	5	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	wenn	wenn	K	KOUS	_	21	konj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	168	168
18	eine	eine	A	ART	Indef|Fem|_|Sg	19	det	_	_
19	Zeile	Zeile	N	NN	Fem|_|Sg	21	obja	_	_
20	laut	laut	A	ADJD	Pos|	21	adv	_	_
21	wiederholte	wiederholen	V	VVFIN	1|Sg|Past|_	29	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	wie	wie	P	PWAV	_	29	adv	_	_
24	meine	meine	A	PPOSAT	Fem|Nom|Sg	25	det	168	168
25	Stimme	Stimme	N	NN	Fem|Nom|Sg	29	subj	_	_
26	seine	seine	A	PPOSAT	Fem|_|Sg	27	det	186	186
27	Stimme	Stimme	N	NN	Fem|_|Sg	29	obja	_	_
28	unbewußt	unbewußt	A	ADJD	Pos|	29	adv	_	_
29	nachahmte	nachahmen	V	VVFIN	3|Sg|Past|_	14	objc	_	_
30	,	,	$	$,	_	0	root	_	_
31	die	die	A	ART	Def|Masc|Nom|Pl	32	det	_	_
32	Sätze	Satz	N	NN	Masc|Nom|Pl	33	subj	_	_
33	stürmten	stürmen	V	VVFIN	3|Pl|Past|_	29	kon	_	_
34	in	in	P	APPR	Dat	33	pp	_	_
35	gleichem	gleich	A	ADJA	Pos|Masc|Dat|Sg|St|	37	attr	_	_
36	fortschießendem	fortschießend	A	ADJA	Pos|Masc|Dat|Sg|St|<PPRES	37	attr	_	_
37	Rhythmus	Rhythmus	N	NN	Masc|Dat|Sg	34	pn	_	_
38	,	,	$	$,	_	0	root	_	_
39	und	und	K	KON	_	33	kon	_	_
40	meine	meine	A	PPOSAT	Fem|Nom|Pl	41	det	168	168
41	Hände	Hand	N	NN	Fem|Nom|Pl	42	subj	_	_
42	hatten	haben	V	VAFIN	3|Pl|Past|Ind	39	cj	_	_
43	Lust	Lust	N	NN	Fem|_|Sg	42	obja	_	_
44	,	,	$	$,	_	0	root	_	_
45	genau	genau	A	ADJD	Pos|	0	root	_	_
46	wie	wie	K	KOKOM	_	45	kom	_	_
47	die	die	P	PDS	_|_|_	46	cj	_	_
48	seinen	seine	A	PPOSAT	_|_|_	0	root	186	186
49	wölbend	wölben	A	ADJD	_|<PPRES	50	adv	_	_
50	auszufahren	ausfahren	V	VVIZU	_	0	root	_	_
51	–	–	$	$(	_	0	root	_	_
52	wie	wie	K	KOKOM	_	55	kom	_	_
53	durch	durch	P	APPR	Acc	52	cj	_	_
54	Magie	Magie	N	NN	Fem|Acc|Sg	53	pn	_	_
55	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
56	ich	ich	P	PPER	1|Sg|_|Nom	55	subj	168	168
57	in	in	P	APPR	Dat	55	pp	_	_
58	einer	eine	A	ART	Indef|Fem|Dat|Sg	59	det	_	_
59	Stunde	Stunde	N	NN	Fem|Dat|Sg	57	pn	_	_
60	die	die	A	ART	Def|Fem|_|Sg	61	det	187	187
61	Mauer	Mauer	N	NN	Fem|_|Sg	55	obja	187	187
62	,	,	$	$,	_	0	root	187	187
63	die	die	P	PRELS	Fem|Nom|Sg	71	subj	187	187
64	bislang	bislang	A	ADV	_	71	adv	_	_
65	zwischen	zwischen	P	APPR	Dat	71	pp	_	_
66	mir	ich	P	PPER	1|Sg|_|Dat	65	pn	168	168
67	und	und	K	KON	_	66	kon	_	_
68	der	die	A	ART	Def|Fem|Dat|Sg	70	det	261	261
69	geistigen	geistig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	70	attr	261	261
70	Welt	Welt	N	NN	Fem|Dat|Sg	67	cj	261	261
71	stand	stehen	V	VVFIN	3|Sg|Past|Ind	61	rel	_	_
72	,	,	$	$,	_	0	root	_	_
73	durchstoßen	durchstoßen	V	VVINF	_	0	root	_	_
74	und	und	K	KON	_	0	root	_	_
75	entdeckte	entdecken	V	VVFIN	_|Sg|Past|_	74	cj	_	_
76	,	,	$	$,	_	0	root	_	_
77	der	die	A	ART	Def|Masc|Nom|Sg	78	det	_	_
78	Leidenschaftliche	Leidenschaftliche	N	NN	Masc|Nom|Sg	0	root	_	_
79	,	,	$	$,	_	0	root	_	_
80	mir	ich	P	PPER	1|Sg|_|Dat	0	root	168	168
81	eine	eine	A	ART	Indef|Fem|_|Sg	83	det	188	188
82	neue	neu	A	ADJA	Pos|Fem|_|Sg|_|	83	attr	188	188
83	Leidenschaft	Leidenschaft	N	NN	Fem|_|Sg	0	root	188	188
84	,	,	$	$,	_	0	root	188	188
85	die	die	P	PRELS	Fem|Nom|Sg	89	subj	188	188
86	mir	ich	P	PPER	1|Sg|_|Dat	88	objd	168	168
87	treu	treu	A	ADJD	Pos|	88	pred	_	_
88	geblieben	bleiben	V	VVPP	_	89	aux	_	_
89	ist	sein	V	VAFIN	3|Sg|Pres|Ind	83	rel	_	_
90	bis	bis	P	APPR	Acc	88	pp	_	_
91	zum	zu	P	APPRART	Dat	90	pp	_	_
92	heutigen	heutig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	93	attr	_	_
93	Tage	Tag	N	NN	Masc|Dat|Sg	91	pn	_	_
94	:	\:	$	$.	_	0	root	_	_
95	die	die	A	ART	Def|Fem|_|Sg	96	det	_	_
96	Lust	Lust	N	NN	Fem|_|Sg	0	root	_	_
97	am	an	P	APPRART	Dat	96	pp	_	_
98	Mitgenießen	Mitgenießen	N	NN	Neut|Dat|Sg	97	pn	_	_
99	alles	alle	A	PIDAT	_|Gen|Sg	100	det	_	_
100	Irdischen	Irdische	N	NN	_|Gen|Sg	98	gmod	_	_
101	im	in	P	APPRART	Dat	100	pp	_	_
102	beseelten	beseelt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	103	attr	_	_
103	Wort	Wort	N	NN	Neut|Dat|Sg	101	pn	_	_
104	.	.	$	$.	_	0	root	_	_

1	Zufällig	zufällig	A	ADJD	Pos|	2	adv	_	_
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	168	168
4	auf	auf	P	APPR	_	9	objp	_	_
5	den	die	A	ART	Def|_|_|_	6	det	_	_
6	›	›	F	FM	_|_|_	4	pn	_	_
7	Coriolans	Coriolans	F	FM	_|_|_	6	app	_	_
8	‹	‹	F	FM	_|_|_	7	app	_	_
9	gestoßen	stoßen	V	VVPP	_	2	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	und	und	K	KON	_	0	root	_	_
12	wie	wie	P	PWAV	_	11	cj	_	_
13	ein	eine	A	ART	Indef|_|_|Sg	14	det	_	_
14	Taumel	Taumel	F	FM	_|_|Sg	0	root	_	_
15	kams	kams	F	FM	_|_|Sg	14	app	_	_
16	über	über	P	APPR	Acc	15	pp	_	_
17	mich	ich	P	PPER	1|Sg|_|Acc	16	pn	168	168
18	,	,	$	$,	_	0	root	_	_
19	als	als	K	KOUS	_	29	konj	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	29	subj	168	168
21	in	in	P	APPR	Dat	29	pp	_	_
22	mir	ich	P	PPER	1|Sg|_|Dat	21	pn	189	189
23	alle	alle	A	PIDAT	Neut|_|Pl	24	det	_	_
24	Elemente	Element	N	NN	Neut|_|Pl	29	obja	_	_
25	dieses	diese	A	PDAT	_|_|Sg	26	det	_	_
26	fremdesten	fremd	A	ADJA	_|Gen|Sg	24	gmod	_	_
27	aller	alle	A	PIDAT	Masc|Gen|Pl	28	attr	_	_
28	Römer	Römer	N	NN	Masc|Gen|Pl	26	gmod	_	_
29	fand	finden	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
30	:	\:	$	$.	_	0	root	_	_
31	Stolz	Stolz	N	NN	Masc|_|Sg	0	root	_	_
32	,	,	$	$,	_	0	root	_	_
33	Hochmut	Hochmut	N	NN	Masc|_|Sg	31	kon	_	_
34	,	,	$	$,	_	0	root	_	_
35	Zorn	Zorn	N	NN	Masc|_|Sg	33	kon	_	_
36	,	,	$	$,	_	0	root	_	_
37	Hohn	Hohn	N	NN	Masc|_|Sg	35	kon	_	_
38	,	,	$	$,	_	0	root	_	_
39	Spott	Spott	N	NN	Masc|_|Sg	37	kon	_	_
40	,	,	$	$,	_	0	root	_	_
41	alles	alle	A	PIDAT	Neut|_|Sg	42	det	_	_
42	Salz	Salz	N	NN	Neut|_|Sg	39	kon	_	_
43	,	,	$	$,	_	0	root	_	_
44	alles	alle	A	PIDAT	Neut|_|Sg	45	det	_	_
45	Blei	Blei	N	NN	Neut|_|Sg	42	kon	_	_
46	,	,	$	$,	_	0	root	_	_
47	alles	alle	A	PIDAT	Neut|_|Sg	48	det	_	_
48	Gold	Gold	N	NN	Neut|_|Sg	45	kon	_	_
49	,	,	$	$,	_	0	root	_	_
50	alle	alle	A	PIDAT	Neut|_|Pl	51	det	_	_
51	Metalle	Metall	N	NN	Neut|_|Pl	48	kon	_	_
52	des	die	A	ART	Def|Neut|Gen|Sg	53	det	47	47
53	Gefühls	Gefühl	N	NN	Neut|Gen|Sg	51	gmod	47	47
54	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	für	für	P	APPR	Acc	1	pp	_	_
3	eine	eine	A	ART	Indef|Fem|Acc|Sg	5	det	_	_
4	neue	neu	A	ADJA	Pos|Fem|Acc|Sg|_|	5	attr	_	_
5	Lust	Lust	N	NN	Fem|Acc|Sg	2	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	dies	dies	P	PDS	Neut|_|Sg	12	obja	_	_
8	magisch	magisch	A	ADJD	Pos|	12	adv	_	_
9	mit	mit	P	APPR	Dat	12	pp	_	_
10	einmal	einmal	A	ADV	_	9	adv	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	ahnen	ahnen	V	VVINF	_	5	obji	_	_
13	,	,	$	$,	_	0	root	_	_
14	zu	zu	P	PTKZU	_	15	part	_	_
15	verstehen	verstehen	V	VVINF	_	12	obji	_	_
16	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	168	168
2	las	lesen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	las	lesen	V	VVFIN	_|Sg|Past|Ind	3	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	bis	bis	K	KOUS	_	10	konj	_	_
7	mir	ich	P	PPER	1|Sg|_|Dat	10	objd	168	168
8	die	die	A	ART	Def|Neut|Nom|Pl	9	det	83	83
9	Augen	Auge	N	NN	Neut|Nom|Pl	10	subj	83	83
10	brannten	brennen	V	VVFIN	3|Pl|Past|Ind	4	neb	_	_
11	;	;	$	$.	_	0	root	_	_
12	als	als	K	KOUS	_	17	konj	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	168	168
14	auf	auf	P	APPR	Acc	17	pp	_	_
15	die	die	A	ART	Def|Fem|Acc|Sg	16	det	190	190
16	Uhr	Uhr	N	NN	Fem|Acc|Sg	14	pn	190	190
17	sah	sehen	V	VVFIN	1|Sg|Past|Ind	19	neb	_	_
18	,	,	$	$,	_	0	root	_	_
19	zeigte	zeigen	V	VVFIN	3|Sg|Past|_	0	root	_	_
20	sie	sie	P	PPER	3|Sg|Fem|Nom	19	subj	190	190
21	halb	halb	A	ADJD	Pos|	19	adv	_	_
22	vier	vier	C	CARD	_	19	obja	_	_
23	.	.	$	$.	_	0	root	_	_

1	Beinahe	beinahe	A	ADV	_	2	adv	_	_
2	erschreckt	erschrecken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	über	über	P	APPR	Acc	2	pp	_	_
4	die	die	A	ART	Def|Fem|Acc|Sg	6	det	191	191
5	neue	neu	A	ADJA	Pos|Fem|Acc|Sg|_|	6	attr	191	191
6	Gewalt	Gewalt	N	NN	Fem|Acc|Sg	3	pn	191	191
7	,	,	$	$,	_	0	root	191	191
8	die	die	P	PRELS	Fem|Nom|Sg	14	subj	191	191
9	sechs	sechs	C	CARD	_	10	attr	_	_
10	Stunden	Stunde	N	NN	Fem|_|Pl	14	zeit	_	_
11	mir	ich	P	PPER	1|Sg|_|Dat	14	objd	168	168
12	alle	alle	A	PIDAT	Masc|_|Pl	13	det	_	_
13	Sinne	Sinn	N	NN	Masc|_|Pl	14	obja	_	_
14	erregt	erregen	V	VVFIN	3|Sg|Pres|Ind	6	rel	_	_
15	und	und	K	KON	_	14	kon	_	_
16	betäubt	betäuben	V	VVFIN	_|_|Pres|Ind	15	cj	_	_
17	zugleich	zugleich	A	ADV	_	16	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	löschte	löschen	V	VVFIN	1|Sg|Past|_	2	s	_	_
20	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	168	168
21	das	die	A	ART	Def|Neut|_|Sg	22	det	527	527
22	Licht	Licht	N	NN	Neut|_|Sg	19	obja	527	527
23	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	innen	innen	A	ADV	_	3	adv	_	_
3	glühten	glühen	V	VVFIN	_|Pl|Past|_	0	root	_	_
4	und	und	K	KON	_	3	kon	_	_
5	zuckten	zucken	V	VVFIN	_|Pl|Past|_	4	cj	_	_
6	die	die	A	ART	Def|_|_|Pl	7	det	822	822
7	Bilder	Bild	N	NN	_|_|Pl	5	obja	822	822
8	noch	noch	A	ADV	_	5	adv	_	_
9	weiter	weiter	A	ADV	_	5	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	168	168
12	konnte	können	V	VMFIN	1|Sg|Past|Ind	3	kon	_	_
13	kaum	kaum	A	ADV	_	14	adv	_	_
14	schlafen	schlafen	V	VVINF	_	12	aux	_	_
15	vor	vor	P	APPR	_	14	pp	_	_
16	Sehnsucht	Sehnsucht	N	NN	Fem|_|Sg	15	pn	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Erwartung	Erwartung	N	NN	Fem|_|Sg	17	cj	_	_
19	nach	nach	P	APPR	Dat	16	pp	_	_
20	dem	die	A	ART	Def|_|Dat|Sg	22	det	192	192
21	nächsten	nah	A	ADJA	_|_|Dat|Sg|Wk|	22	attr	192	192
22	Tag	Tag	N	NN	_|Dat|Sg	19	pn	192	192
23	,	,	$	$,	_	0	root	_	_
24	der	die	P	PRELS	_|_|Sg	0	root	192	192
25	die	die	A	ART	Def|Fem|_|Sg	29	det	_	_
26	so	so	A	ADV	_	28	adv	_	_
27	zauberisch	zauberisch	A	ADJD	Pos|	28	adv	_	_
28	aufgetane	aufgetan	A	ADJA	Pos|Fem|_|Sg|_|	29	attr	_	_
29	Welt	Welt	N	NN	Fem|_|Sg	31	obja	_	_
30	mir	ich	P	PPER	1|Sg|_|Dat	31	objd	168	168
31	erweitern	erweitern	V	VVFIN	_|Pl|Pres|_	0	root	_	_
32	und	und	K	KON	_	31	kon	_	_
33	ganz	ganz	A	ADV	_	35	adv	_	_
34	zu	zu	P	PTKA	_	35	adv	_	_
35	eigen	eigen	A	ADJD	Pos|	36	pred	_	_
36	machen	machen	V	VVINF	_	37	aux	_	_
37	sollte	sollen	V	VMFIN	_|Sg|Past|_	32	cj	_	_
38	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
