1	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
18	Vertrauen	Vertrauen	N	NN	Neut|Nom|Sg	14	cj	368	368
19	,	,	$	$,	_	0	root	368	368
20	das	die	P	PRELS	Neut|Nom|Sg	25	subj	368	368
21	nicht	nicht	P	PTKNEG	_	25	adv	_	_
22	mehr	mehr	A	ADV	_	21	adv	_	_
23	mit	mit	P	APPR	Dat	25	objp	_	_
24	Tagen	Tag	N	NN	Neut|Dat|Sg	23	pn	369	369
25	rechnet	rechnen	V	VVFIN	3|Sg|Pres|Ind	18	rel	369	369
26	und	und	K	KON	_	25	kon	369	369
27	zählt	zählen	V	VVFIN	_|_|Pres|Ind	26	cj	369	369
28	,	,	$	$,	_	0	root	369	369
29	das	die	P	PRELS	Neut|Nom|Sg	31	subj	369	369
30	nicht	nicht	P	PTKNEG	_	31	adv	_	_
31	hastet	hasten	V	VVFIN	3|Sg|Pres|Ind	24	rel	_	_
32	,	,	$	$,	_	0	root	_	_
33	sondern	sondern	K	KON	_	31	kon	_	_
34	sich	sie	P	PRF	3|_|_	35	obja	_	_
35	wiegt	wiegen	V	VVFIN	_|_|Pres|Ind	33	cj	_	_
36	in	in	P	APPR	Dat	35	pp	_	_
37	seliger	selig	A	ADJA	Pos|Fem|Dat|Sg|St|	38	attr	_	_
38	Stille	Stille	N	NN	Fem|Dat|Sg	36	pn	_	_
39	und	und	K	KON	_	38	kon	_	_
40	verhaltener	verhalten	A	ADJA	Pos|Fem|Dat|Sg|St|	41	attr	_	_
41	Kraft	Kraft	N	NN	Fem|Dat|Sg	39	cj	_	_
42	.	.	$	$.	_	0	root	_	_

1	Esther	Esther	N	NE	Fem|Nom|Sg	2	subj	349	349
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	gekommen	kommen	V	VVPP	_	2	aux	_	_
4	,	,	$	$,	_	0	root	_	_
5	scheu	scheu	A	ADJD	Pos|	0	root	_	_
6	zwar	zwar	A	ADV	_	5	adv	_	_
7	und	und	K	KON	_	0	root	_	_
8	verwirrt	verwirren	V	VVFIN	_|_|Pres|Ind	7	cj	_	_
9	,	,	$	$,	_	0	root	_	_
10	aber	aber	K	KON	_	0	root	_	_
11	bald	bald	A	ADV	_	12	adv	_	_
12	hingebender	hingebend	A	ADJD	Comp|<PPRES	17	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	sanfter	sanft	A	ADJD	Comp|	12	kon	_	_
15	und	und	K	KON	_	14	kon	_	_
16	schlichter	schlicht	A	ADJA	Pos|_|_|_|St|	15	cj	_	_
17	werdend	werdend	N	NN	_	10	cj	_	_
18	in	in	P	APPR	Dat	17	pp	_	_
19	dem	die	A	ART	Def|Neut|Dat|Sg	21	det	370	370
20	wärmenden	wärmend	A	ADJA	Pos|Neut|Dat|Sg|Wk|<PPRES	21	attr	370	370
21	Lichte	Licht	N	NN	Neut|Dat|Sg	18	pn	370	370
22	der	die	A	ART	Def|Fem|Gen|Sg	24	det	370	370
23	väterlichen	väterlich	A	ADJA	Pos|Fem|Gen|Sg|Wk|	24	attr	370	370
24	Güte	Güte	N	NN	Fem|Gen|Sg	21	gmod	370	370
25	,	,	$	$,	_	0	root	370	370
26	das	die	P	PRELS	Neut|Nom|Sg	36	subj	370	370
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	_	_
28	Seele	Seele	N	NN	Fem|Dat|Sg	36	objd	_	_
29	dieses	diese	A	PDAT	Masc|Gen|Sg	33	det	_	_
30	schlichten	schlicht	A	ADJA	Pos|Masc|Gen|Sg|_|	33	attr	_	_
31	und	und	K	KON	_	30	kon	_	_
32	fürchtigen	fürchtig	A	ADJA	Pos|_|Gen|_|_|	31	cj	_	_
33	Menschen	Mensch	N	NN	Masc|Gen|Sg	28	gmod	_	_
34	zu	zu	P	PTKZU	_	35	part	_	_
35	entstrahlen	entstrahlen	V	VVINF	_	36	obji	_	_
36	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	21	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	371	371
2	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
3	diese	diese	A	PDAT	Masc|_|Pl	4	det	660	660
4	Tage	Tag	N	NN	Masc|_|Pl	7	obja	660	660
5	nur	nur	A	ADV	_	7	adv	_	_
6	zusammen	zusammen	A	ADV	_	7	adv	_	_
7	verplaudert	verplaudern	V	VVPP	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	K	KOKOM	_	7	par	_	_
10	Freunde	Freund	N	NN	Masc|_|Pl	9	cj	372	372
11	,	,	$	$,	_	0	root	372	372
12	die	die	P	PRELS	Masc|Nom|Pl	17	subj	372	372
13	einander	einander	P	PRF	_|_|Dat	17	objd	_	_
14	nach	nach	P	APPR	Dat	17	pp	_	_
15	langen	lang	A	ADJA	Pos|Neut|Dat|Pl|_|	16	attr	_	_
16	Jahren	Jahr	N	NN	Neut|Dat|Pl	14	pn	_	_
17	begegnen	begegnen	V	VVFIN	3|Pl|Pres|_	10	rel	_	_
18	und	und	K	KON	_	17	kon	_	_
19	sich	sie	P	PRF	3|_|_	21	obja	_	_
20	gleichsam	gleichsam	A	ADJD	_	21	adv	_	_
21	wiedererkennen	wiedererkennen	V	VVINF	_	22	aux	_	_
22	wollen	wollen	V	VMFIN	_|Pl|Pres|_	18	cj	_	_
23	,	,	$	$,	_	0	root	_	_
24	ehe	ehe	K	KOUS	_	34	konj	_	_
25	sie	sie	P	PPER	3|Pl|_|Nom	34	subj	371	371
26	die	die	A	ART	Def|Neut|_|Pl	29	det	_	_
27	alten	alt	A	ADJA	Pos|Neut|_|Pl|Wk|	29	attr	_	_
28	herzlichen	herzlich	A	ADJA	Pos|Neut|_|Pl|Wk|	29	attr	_	_
29	Worte	Wort	N	NN	Neut|_|Pl	34	obja	_	_
30	wieder	wieder	A	ADV	_	34	adv	_	_
31	mit	mit	P	APPR	Dat	34	pp	_	_
32	innigem	innig	A	ADJA	Pos|Neut|Dat|Sg|St|	33	attr	_	_
33	Empfinden	Empfinden	N	NN	Neut|Dat|Sg	31	pn	_	_
34	durchtränken	durchtrinken	V	VVFIN	3|Pl|_|_	2	neb	_	_
35	und	und	K	KON	_	0	root	_	_
36	den	die	A	ART	Def|Masc|Acc|Sg	37	det	_	_
37	Wert	Wert	N	NN	Masc|Acc|Sg	41	obja	_	_
38	der	die	A	ART	Def|Fem|Gen|Pl	40	det	_	_
39	alten	alt	A	ADJA	Pos|Fem|Gen|Pl|Wk|	40	attr	_	_
40	Stunden	Stunde	N	NN	Fem|Gen|Pl	37	gmod	_	_
41	erneuen	erneuen	V	VVINF	_	35	cj	_	_
42	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	bald	bald	A	ADV	_	3	adv	_	_
3	verband	verbinden	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	6	det	378	378
5	geheimes	geheim	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	378	378
6	Bedürfnis	Bedürfnis	N	NN	Neut|Nom|Sg	3	subj	378	378
7	diese	diese	A	PDAT	Masc|_|Pl	9	det	373	373
8	zwei	zwei	C	CARD	_	9	attr	373	373
9	Menschen	Mensch	N	NN	Masc|_|Pl	3	obja	373	373
10	,	,	$	$,	_	0	root	373	373
11	die	die	P	PRELS	Masc|Nom|Pl	15	subj	373	373
12	sich	sie	P	PRF	3|_|Dat	15	objd	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	ferne	fern	A	ADJA	Pos|_|Nom|_|_|	15	pred	_	_
15	waren	sein	V	VAFIN	3|Pl|Past|Ind	9	rel	_	_
16	und	und	K	KON	_	0	root	_	_
17	doch	doch	A	ADV	_	19	adv	_	_
18	so	so	A	ADV	_	19	adv	_	_
19	ähnlich	ähnlich	A	ADJD	Pos|	16	cj	_	_
20	in	in	P	APPR	Dat	19	pp	_	_
21	einer	eine	A	ART	Indef|Fem|Dat|Sg	23	det	_	_
22	gewissen	gewiss	A	ADJA	Pos|Fem|Dat|Sg|Wk|	23	attr	_	_
23	Einfachheit	Einfachheit	N	NN	Fem|Dat|Sg	20	pn	_	_
24	und	und	K	KON	_	23	kon	_	_
25	Einfalt	Einfalt	N	NN	Fem|Dat|Sg	24	cj	_	_
26	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	27	det	373	373
27	Empfindung	Empfindung	N	NN	Fem|Gen|Sg	23	gmod	_	_
28	:	\:	$	$.	_	0	root	_	_
29	der	die	A	ART	Def|_|_|_	30	part	_	_
30	eine	eine	P	PIS	_|_|Sg	0	root	_	_
31	ein	eine	A	ART	Indef|_|_|Sg	32	det	374	374
32	Mensch	Mensch	N	NN	_|_|Sg	0	root	374	374
33	,	,	$	$,	_	0	root	_	_
34	den	die	P	PRELS	Masc|Acc|Sg	0	root	374	374
35	das	die	A	ART	Def|Neut|Nom|Sg	36	det	375	375
36	Leben	Leben	N	NN	Neut|Nom|Sg	37	subj	375	375
37	gelehrt	lehren	V	VVPP	_	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	daß	daß	K	KOUS	_	49	konj	_	_
40	es	es	P	PPER	3|Sg|Neut|Nom	49	subj	_	_
41	in	in	P	APPR	Dat	49	pp	_	_
42	seinem	seine	A	PPOSAT	Masc|Dat|Sg	44	det	375	375
43	tiefsten	tief	A	ADJA	Sup|Masc|Dat|Sg|Wk|	44	attr	_	_
44	Grunde	Grund	N	NN	Masc|Dat|Sg	41	pn	_	_
45	nur	nur	A	ADV	_	49	adv	_	_
46	Klarheit	Klarheit	N	NN	Fem|Nom|Sg	49	pred	789	789
47	und	und	K	KON	_	46	kon	_	_
48	Stille	Stille	N	NN	_|Nom|_	47	cj	_	_
49	ist	sein	V	VAFIN	3|Sg|Pres|Ind	37	objc	_	_
50	,	,	$	$,	_	0	root	_	_
51	ein	eine	A	ART	Indef|_|_|Sg	52	det	_	_
52	Erfahrener	Erfahrene	N	NN	_|_|Sg	60	obja	_	_
53	,	,	$	$,	_	0	root	_	_
54	den	die	A	ART	Def|_|_|_	56	det	_	_
55	lange	lang	A	ADJA	Pos|_|_|_|_|	56	attr	_	_
56	Tage	Tag	N	NN	Masc|Acc|Sg	52	kon	_	_
57	und	und	K	KON	_	56	kon	_	_
58	Jahre	Jahr	N	NN	Neut|_|Pl	57	cj	330	330
59	schlicht	schlicht	A	ADJD	Pos|	60	pred	_	_
60	gemacht	machen	V	VVPP	_	49	neb	_	_
61	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	die	die	P	PDS	_|_|_	1	cj	_	_
3	andre	andere	P	PIS	_|_|_	0	root	_	_
4	eine	eine	A	ART	Indef|Fem|_|Sg	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	die	die	P	PRELS	Fem|Nom|Sg	11	subj	376	376
7	das	die	A	ART	Def|Neut|_|Sg	8	det	375	375
8	Leben	Leben	N	NN	Neut|_|Sg	11	obja	375	375
9	noch	noch	A	ADV	_	10	adv	_	_
10	nicht	nicht	P	PTKNEG	_	11	adv	_	_
11	empfand	empfinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	weil	weil	K	KOUS	_	19	konj	_	_
14	sie	sie	P	PPER	3|_|_|Nom	19	subj	376	376
15	wie	wie	K	KOKOM	_	19	kom	_	_
16	in	in	P	APPR	Dat	15	cj	_	_
17	einer	eine	A	ART	Indef|Fem|Dat|Sg	18	det	536	536
18	Dunkelheit	Dunkelheit	N	NN	Fem|Dat|Sg	16	pn	536	536
19	versponnen	versponnen	V	VVFIN	3|_|_|_	22	neb	_	_
20	sich	sie	P	PRF	3|_|_	21	obja	_	_
21	verträumt	verträumen	V	VVPP	_	22	aux	_	_
22	hatte	haben	V	VAFIN	_|Sg|Past|Ind	11	kon	_	_
23	und	und	K	KON	_	22	kon	_	_
24	den	die	A	ART	Def|Masc|Acc|Sg	26	det	377	377
25	ersten	erst	A	ADJA	_|Masc|Acc|Sg|_|	26	attr	377	377
26	Strahl	Strahl	N	NN	Masc|Acc|Sg	39	obja	377	377
27	,	,	$	$,	_	0	root	377	377
28	der	die	P	PRELS	Masc|Nom|Sg	35	subj	377	377
29	aus	aus	P	APPR	Dat	35	objp	_	_
30	der	die	A	ART	Def|Fem|Dat|Sg	32	det	_	_
31	lichten	licht	A	ADJA	Pos|Fem|Dat|Sg|Wk|	32	attr	_	_
32	Welt	Welt	N	NN	Fem|Dat|Sg	29	pn	_	_
33	zu	zu	P	APPR	Dat	29	kon	_	_
34	ihr	ihr	P	PPER	3|Sg|Fem|Dat	33	pn	376	376
35	kam	kommen	V	VVFIN	3|Sg|Past|Ind	26	rel	_	_
36	,	,	$	$,	_	0	root	_	_
37	im	in	P	APPRART	Dat	39	pp	_	_
38	Innersten	Innerste	N	NN	_|Dat|_	37	pn	725	725
39	auffing	auffangen	V	VVFIN	_|Sg|Past|Ind	23	cj	_	_
40	und	und	K	KON	_	39	kon	_	_
41	in	in	P	APPR	Dat	46	pp	_	_
42	einfarbigem	einfarbig	A	ADJA	Pos|Neut|Dat|Sg|St|	45	attr	_	_
43	,	,	$	$,	_	0	root	_	_
44	stillem	still	A	ADJA	Pos|_|Dat|Sg|St|	42	kon	_	_
45	Leuchten	Leuchte	N	NN	Neut|Dat|Sg	41	pn	_	_
46	zurückspiegelte	zurückspiegeln	V	VVFIN	_|Sg|Past|_	40	cj	_	_
47	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	beide	beide	P	PIS	_|Nom|Pl	3	subj	_	_
3	waren	sein	V	VAFIN	3|Pl|Past|Ind	1	cj	_	_
4	sie	sie	P	PPER	3|_|_|Nom	3	pred	378	378
5	allein	allein	A	ADV	_	6	adv	_	_
6	zwischen	zwischen	P	APPR	_	3	pp	_	_
7	den	die	A	ART	Def|Masc|_|_	8	det	379	379
8	Menschen	Mensch	N	NN	Masc|_|_	6	pn	379	379
9	;	;	$	$.	_	0	root	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
12	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	371	371
13	sich	sie	P	PRF	3|_|Dat	11	objd	_	_
14	ganz	ganz	A	ADV	_	15	adv	_	_
15	nahe	nahe	A	ADJD	_	11	pred	_	_
16	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Geschlechter	Geschlecht	N	NN	Masc|Nom|Sg	4	subj	_	_
3	Unterschied	Unterschied	N	NN	Masc|Nom|Sg	2	app	_	_
4	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	nicht	nicht	P	PTKNEG	_	4	adv	_	_
6	zwischen	zwischen	P	APPR	_	4	pp	_	_
7	beiden	beide	P	PIS	_|_|Pl	6	pn	_	_
8	;	;	$	$.	_	0	root	_	_
9	bei	bei	P	APPR	Dat	12	pp	_	_
10	dem	die	A	ART	Def|_|Dat|Sg	11	part	_	_
11	einen	eine	P	PIS	_|Dat|_	9	pn	_	_
12	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	380	380
14	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	12	subj	380	380
15	erloschen	erlöschen	V	VVPP	_	12	aux	_	_
16	und	und	K	KON	_	12	kon	_	_
17	warf	werfen	V	VVFIN	_|Sg|Past|Ind	16	cj	_	_
18	nur	nur	A	ADV	_	17	adv	_	_
19	noch	noch	A	ADV	_	17	adv	_	_
20	den	die	A	ART	Def|Masc|Acc|Sg	21	det	_	_
21	Abendschein	Abendschein	N	NN	Masc|Acc|Sg	17	obja	_	_
22	klärender	klärend	A	ADJA	Pos|Fem|Gen|Sg|St|<PPRES	23	attr	381	381
23	Erinnerung	Erinnerung	N	NN	Fem|Gen|Sg	21	gmod	381	381
24	herüber	herüber	A	ADV	_	17	adv	_	_
25	in	in	P	APPR	Acc	17	objp	_	_
26	sein	seine	A	PPOSAT	Neut|Acc|Sg	27	det	380	380
27	Leben	Leben	N	NN	Neut|Acc|Sg	25	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	und	und	K	KON	_	17	kon	_	_
30	dem	die	A	ART	Def|Neut|Dat|Sg	31	det	325	325
31	Mädchen	Mädchen	N	NN	Neut|Dat|Sg	41	objd	325	325
32	war	sein	V	VAFIN	3|Sg|Past|Ind	29	cj	_	_
33	das	die	A	ART	Def|Neut|Nom|Sg	35	det	_	_
34	dunkle	dunkel	A	ADJA	Pos|Neut|Nom|Sg|Wk|	35	attr	_	_
35	Empfinden	Empfinden	N	NN	Neut|Nom|Sg	32	subj	_	_
36	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	37	det	381	381
37	Weiblichkeit	Weiblichkeit	N	NN	Fem|Gen|Sg	35	gmod	_	_
38	noch	noch	A	ADV	_	39	adv	_	_
39	nicht	nicht	P	PTKNEG	_	41	adv	_	_
40	bewußt	bewußt	A	ADJD	Pos|	41	pred	_	_
41	geworden	werden	V	VAPP	_	32	aux	_	_
42	und	und	K	KON	_	32	kon	_	_
43	wirkte	wirken	V	VVFIN	_|Sg|Past|_	42	cj	_	_
44	nur	nur	A	ADV	_	43	adv	_	_
45	als	als	K	KOKOM	_	43	kom	_	_
46	milde	milde	A	ADJD	Pos|	45	cj	_	_
47	,	,	$	$,	_	0	root	_	_
48	sehr	sehr	A	ADV	_	49	adv	_	_
49	unsichere	unsicher	A	ADJA	Pos|_|_|_|_|	46	kon	_	_
50	und	und	K	KON	_	49	kon	_	_
51	unruhige	unruhig	A	ADJA	Pos|_|_|_|_|	50	cj	_	_
52	Sehnsucht	Sehnsucht	N	NN	Fem|Nom|Sg	43	pred	382	382
53	,	,	$	$,	_	0	root	_	_
54	die	die	P	PRELS	_|_|_	0	root	382	382
55	sich	sie	P	PRF	3|_|_	59	obja	_	_
56	noch	noch	A	ADV	_	59	adv	_	_
57	kein	keine	A	PIAT	Neut|Nom|Sg	58	det	_	_
58	Ziel	Ziel	N	NN	Neut|Nom|Sg	59	subj	_	_
59	weiß	wissen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
60	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	6	det	_	_
2	leise	leis	A	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	_
3	und	und	K	KON	_	2	kon	_	_
4	schon	schon	A	ADV	_	5	adv	_	_
5	erzitternde	erzitternd	A	ADJA	Pos|_|Nom|_|_|<PPRES	3	cj	_	_
6	Wand	Wand	N	NN	Fem|Nom|Sg	7	subj	_	_
7	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	noch	noch	A	ADV	_	7	adv	_	_
9	zwischen	zwischen	P	APPR	Dat	7	pp	_	_
10	ihnen	sie	P	PPER	3|Pl|_|Dat	9	pn	371	371
11	:	\:	$	$.	_	0	root	_	_
12	die	die	P	PDS	_|Nom|_	0	root	_	_
13	der	die	A	ART	Def|Fem|Gen|Sg	14	det	_	_
14	Fremdheit	Fremdheit	N	NN	Fem|Gen|Sg	12	gmod	_	_
15	des	die	A	ART	Def|Neut|Gen|Sg	16	det	55	55
16	Volkes	Volk	N	NN	Neut|Gen|Sg	14	gmod	55	55
17	und	und	K	KON	_	12	kon	_	_
18	der	die	A	ART	Def|_|_|_	19	det	_	_
19	Religionen	Religion	N	NN	Masc|Nom|Sg	17	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	die	die	A	ART	Def|Fem|Nom|Sg	22	det	_	_
22	Zucht	Zucht	N	NN	Fem|Nom|Sg	19	app	_	_
23	des	die	A	ART	Def|Neut|Gen|Sg	24	det	383	383
24	Blutes	Blut	N	NN	Neut|Gen|Sg	22	gmod	383	383
25	,	,	$	$,	_	0	root	_	_
26	sich	sie	P	PRF	3|_|_	29	obja	_	_
27	immer	immer	A	ADV	_	28	adv	_	_
28	fremd	fremd	A	ADJD	Pos|	29	adv	_	_
29	sehen	sehen	V	VVINF	_	31	aux	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	müssen	müssen	V	VMINF	_	19	obji	_	_
32	und	und	K	KON	_	0	root	_	_
33	feindlich	feindlich	A	ADJD	Pos|	32	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	ein	eine	A	ART	Indef|Neut|_|Sg	36	det	384	384
36	Mißtrauen	Mißtrauen	N	NN	Neut|_|Sg	38	obja	384	384
37	zu	zu	P	PTKZU	_	38	part	384	384
38	hegen	hegen	V	VVINF	_	33	obji	384	384
39	,	,	$	$,	_	0	root	384	384
40	das	die	P	PRELS	Neut|_|Sg	46	obja	384	384
41	erst	erst	A	ADV	_	43	adv	_	_
42	ein	eine	A	ART	Indef|Masc|Nom|Sg	43	det	_	_
43	Augenblick	Augenblick	N	NN	Masc|Nom|Sg	46	subj	_	_
44	großer	groß	A	ADJA	Pos|Fem|Gen|Sg|St|	45	attr	_	_
45	Liebe	Liebe	N	NN	Fem|Gen|Sg	43	gmod	_	_
46	überwindet	überwinden	V	VVFIN	3|Sg|Pres|Ind	36	rel	_	_
47	.	.	$	$.	_	0	root	_	_

1	Ohne	ohne	P	APPR	Acc	5	pp	_	_
2	diesen	diese	A	PDAT	Masc|Acc|Sg	4	det	_	_
3	unbewußten	unbewußt	A	ADJA	Pos|Masc|Acc|Sg|_|	4	attr	_	_
4	Halt	Halt	N	NN	Masc|Acc|Sg	1	pn	_	_
5	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
6	sich	sie	P	PRF	3|_|_	5	obja	_	_
7	längst	längst	A	ADV	_	5	adv	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	325	325
9	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	5	subj	325	325
10	,	,	$	$,	_	0	root	_	_
11	in	in	P	APPR	Dat	5	pp	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	385	385
13	Liebe	Liebe	N	NN	Fem|Dat|Sg	11	pn	385	385
14	,	,	$	$,	_	0	root	_	_
15	versparte	versparen	V	VVFIN	_|Sg|Past|_	5	kon	_	_
16	und	und	K	KON	_	15	kon	_	_
17	edelste	edel	A	ADJA	Sup|_|Nom|Sg|_|	18	attr	386	386
18	Liebe	Liebe	N	NN	_|Nom|Sg	21	subj	386	386
19	nach	nach	P	APPR	Dat	18	pp	386	386
20	vorwärts	vorwärts	A	ADV	_	19	adv	386	386
21	drängte	drängen	V	VVFIN	3|Sg|Past|_	16	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	weinend	weinen	A	ADJD	_|<PPRES	30	adv	_	_
24	an	an	P	APPR	Acc	30	objp	_	_
25	die	die	A	ART	Def|Fem|Acc|Sg	26	det	799	799
26	Brust	Brust	N	NN	Fem|Acc|Sg	24	pn	799	799
27	des	die	A	ART	Def|Masc|Gen|Sg	29	det	363	363
28	alten	alt	A	ADJA	Pos|Masc|Gen|Sg|_|	29	attr	363	363
29	Mannes	Mann	N	NN	Masc|Gen|Sg	26	gmod	363	363
30	geworfen	werfen	V	VVPP	_	21	neb	_	_
31	und	und	K	KON	_	30	kon	_	_
32	ihm	er	P	PPER	3|Sg|_|Dat	47	objd	363	363
33	ihre	ihre	A	PPOSAT	Masc|Acc|Pl	35	det	386	386
34	heimlichen	heimlich	A	ADJA	Pos|Masc|Acc|Pl|Wk|	35	attr	_	_
35	Schauer	Schauer	N	NN	Masc|Acc|Pl	47	obja	_	_
36	und	und	K	KON	_	35	kon	_	_
37	werdende	werdende	A	ADJA	_|Fem|Acc|Sg|_	38	attr	_	_
38	Sehnsucht	Sehnsucht	N	NN	Fem|Acc|Sg	36	cj	_	_
39	,	,	$	$,	_	0	root	_	_
40	den	die	A	ART	Def|Masc|Acc|Sg	41	det	29	29
41	Schmerz	Schmerz	N	NN	Masc|Acc|Sg	38	kon	29	29
42	und	und	K	KON	_	41	kon	_	_
43	Jubel	Jubel	N	NN	Masc|Acc|Sg	42	cj	969	969
44	ihrer	ihre	A	PPOSAT	Masc|Gen|Pl	46	det	386	386
45	einsamen	einsam	A	ADJA	Pos|Masc|Gen|Pl|Wk|	46	attr	_	_
46	Tage	Tag	N	NN	Masc|Gen|Pl	41	gmod	_	_
47	gestanden	gestehen	V	VVPP	_	31	cj	_	_
48	;	;	$	$.	_	0	root	_	_
49	so	so	A	ADV	_	50	adv	_	_
50	aber	aber	A	ADV	_	51	adv	_	_
51	verriet	verraten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
52	sie	sie	P	PPER	3|Sg|Fem|Nom	51	subj	386	386
53	das	die	A	ART	Def|Neut|_|Sg	54	det	_	_
54	Geheimste	Geheimste	N	NN	Neut|_|Sg	51	obja	_	_
55	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	56	det	386	386
56	Seele	Seele	N	NN	Fem|Gen|Sg	54	gmod	_	_
57	nur	nur	A	ADV	_	51	adv	_	_
58	in	in	P	APPR	_	51	pp	_	_
59	Blicken	Blick	N	NN	_|_|_	58	pn	_	_
60	und	und	K	KON	_	59	kon	_	_
61	Verschweigungen	Verschweigung	N	NN	Fem|_|Pl	60	cj	_	_
62	,	,	$	$,	_	0	root	_	_
63	in	in	P	APPR	_	58	kon	_	_
64	unruhigen	unruhig	A	ADJA	Pos|_|_|_|_|	65	attr	_	_
65	Gebärden	Gebärde	N	NN	_|_|_	63	pn	_	_
66	und	und	K	KON	_	65	kon	_	_
67	Andeutungen	Andeutung	N	NN	Fem|_|Pl	66	cj	_	_
68	,	,	$	$,	_	0	root	_	_
69	denn	denn	K	KON	_	51	kon	_	_
70	immer	immer	A	ADV	_	97	adv	_	_
71	,	,	$	$,	_	0	root	_	_
72	wenn	wenn	K	KOUS	_	74	konj	_	_
73	sie	sie	P	PPER	3|_|_|_	74	obja	386	386
74	fühlte	fühlen	V	VVFIN	_|Sg|Past|_	97	neb	_	_
75	,	,	$	$,	_	0	root	_	_
76	wie	wie	P	PWAV	_	82	adv	_	_
77	alles	alle	P	PIS	Neut|Nom|Sg	83	subj	_	_
78	in	in	P	APPR	Dat	82	pp	_	_
79	ihr	ihr	P	PPER	3|Sg|Fem|Dat	78	pn	386	386
80	zum	zu	P	APPRART	Dat	79	pp	_	_
81	Lichte	Licht	N	NN	Neut|Dat|Sg	80	pn	216	216
82	strömen	strömen	V	VVINF	_	83	aux	_	_
83	wollte	wollen	V	VMFIN	3|Sg|Past|_	74	subjc	_	_
84	und	und	K	KON	_	74	kon	_	_
85	sich	sie	P	PRF	3|_|_	94	obja	_	_
86	in	in	P	APPR	Dat	94	pp	_	_
87	den	die	A	ART	Def|Neut|Dat|Pl	91	det	_	_
88	klaren	klar	A	ADJA	Pos|Neut|Dat|Pl|_|	91	attr	_	_
89	und	und	K	KON	_	88	kon	_	_
90	überströmenden	überströmend	A	ADJA	Pos|_|Dat|_|_|<PPRES	89	cj	_	_
91	Worten	Wort	N	NN	Neut|Dat|Pl	86	pn	_	_
92	innigster	innig	A	ADJA	Sup|Fem|Gen|Sg|St|	93	attr	_	_
93	Empfindung	Empfindung	N	NN	Fem|Gen|Sg	91	gmod	_	_
94	verraten	verraten	V	VVFIN	_|Pl|Pres|_	84	cj	_	_
95	,	,	$	$,	_	0	root	_	_
96	da	da	A	ADV	_	97	adv	_	_
97	faßte	faßte	V	VVFIN	3|_|_|_	69	cj	_	_
98	sie	sie	P	PPER	3|_|_|Nom	97	subj	216	216
99	wie	wie	K	KOKOM	_	97	kom	_	_
