1	Oh	oh	I	ITJ	_	0	root	_	_
14	Schürze	Schürze	N	NN	Fem|Dat|Sg	11	pn	128	128
15	und	und	K	KON	_	14	kon	_	_
16	ihren	ihre	A	PPOSAT	_|Dat|_	17	det	128	128
17	zerstrubbelten	zerstrubbelten	N	NN	_|Dat|_	15	cj	130	130
18	weißen	weiß	A	ADJA	Pos|Neut|Dat|_|_|	19	attr	_	_
19	Haaren	Haar	N	NN	Neut|Dat|_	25	objd	_	_
20	hier	hier	A	ADV	_	25	adv	_	_
21	mitten	mitten	A	ADV	_	22	adv	_	_
22	im	in	P	APPRART	Dat	25	pp	_	_
23	Kaffeehausraum	Kaffeehausraum	N	NN	Masc|Dat|Sg	22	pn	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	stehen	stehen	V	VVINF	_	5	obji	_	_
26	,	,	$	$,	_	0	root	_	_
27	außerdem	außerdem	P	PROAV	_	28	pp	_	_
28	blickte	blicken	V	VVFIN	3|Sg|Past|_	5	kon	_	_
29	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	126	126
30	immer	immer	A	ADV	_	31	adv	_	_
31	ängstlich	ängstlich	A	ADJD	Pos|	28	adv	_	_
32	nach	nach	P	APPR	Dat	28	pp	_	_
33	rechts	rechts	A	ADV	_	32	adv	_	_
34	und	und	K	KON	_	33	kon	_	_
35	links	links	A	ADV	_	34	cj	_	_
36	,	,	$	$,	_	0	root	_	_
37	ob	ob	K	KOUS	_	42	konj	_	_
38	nicht	nicht	P	PTKNEG	_	42	adv	_	_
39	einer	eine	P	PIS	Fem|Dat|Sg	42	objd	_	_
40	der	die	A	ART	Def|Masc|Nom|Sg	41	det	113	113
41	Kellner	Kellner	N	NN	Masc|Nom|Sg	42	subj	113	113
42	zuhöre	zuhören	V	VVFIN	3|Sg|Pres|Subj	28	objc	_	_
43	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	schlug	schlagen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
4	ihr	ihre	A	PPOSAT	_|_|Sg	0	root	126	126
5	vor	vor	P	PTKVZ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wir	wir	P	PPER	1|Pl|_|Nom	8	subj	129	129
8	wollten	wollen	V	VMFIN	1|Pl|Past|_	0	root	_	_
9	hinein	hinein	A	ADV	_	8	adv	_	_
10	in	in	P	APPR	Acc	8	objp	_	_
11	das	die	A	ART	Def|Neut|Acc|Sg	12	det	_	_
12	Spielzimmer	Spielzimmer	N	NN	Neut|Acc|Sg	10	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	an	an	P	APPR	_	16	pp	_	_
15	Mendels	Mendels	N	NE	_|_|_	14	pn	65	65
16	alten	alt	A	ADJA	Pos|Masc|Acc|Sg|_|	17	attr	_	_
17	Platz	Platz	N	NN	Masc|Acc|Sg	12	app	_	_
18	:	\:	$	$.	_	0	root	_	_
19	Dort	dort	A	ADV	_	20	adv	_	_
20	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	20	subj	126	126
22	mir	ich	P	PPER	1|Sg|_|Dat	24	objd	121	121
23	alles	alle	P	PIS	_|_|Sg	22	app	_	_
24	berichten	berichten	V	VVINF	_	20	aux	_	_
25	.	.	$	$.	_	0	root	_	_

1	Gerührt	gerührt	A	ADJD	Pos|	2	adv	_	_
2	nickte	nicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	126	126
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	121	121
5	zu	zu	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	dankbar	dankbar	A	ADJD	Pos|	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	daß	daß	K	KOUS	_	12	konj	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	121	121
11	sie	sie	P	PPER	3|_|_|_	12	obja	126	126
12	verstand	verstehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	12	kon	_	_
15	ging	gehen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	_
16	voraus	voraus	P	PTKVZ	_	15	avz	_	_
17	,	,	$	$,	_	0	root	_	_
18	die	die	A	ART	Def|_|_|_	19	det	_	_
19	alte	alt	A	ADJA	_|Nom|_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	schon	schon	A	ADV	_	25	adv	_	_
22	ein	eine	A	ART	Indef|_|_|Sg	25	det	_	_
23	wenig	wenig	A	ADV	_	24	adv	_	_
24	schwankende	schwankend	A	ADJA	Pos|_|_|Sg|Wk|<PPRES	25	attr	_	_
25	Frau	Frau	N	NN	_|_|Sg	19	app	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	19	kon	_	_
28	ich	ich	P	PPER	1|Sg|_|Nom	27	cj	121	121
29	hinter	hinter	P	APPR	Dat	28	pp	_	_
30	ihr	ihr	P	PPER	3|Sg|Fem|Dat	29	pn	126	126
31	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Masc|Nom|Pl	3	det	_	_
2	beiden	beide	A	PIDAT	Masc|Nom|Pl	3	attr	_	_
3	Kellner	Kellner	N	NN	Masc|Nom|Pl	4	subj	_	_
4	staunten	staunen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	uns	wir	P	PPER	1|Pl|_|_	4	obja	129	129
6	nach	nach	P	PTKVZ	_	4	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	sie	sie	P	PPER	3|Pl|_|Nom	9	subj	130	130
9	spürten	spüren	V	VVFIN	3|Pl|Past|_	4	kon	_	_
10	da	da	A	ADV	_	9	adv	_	_
11	einen	eine	A	ART	Indef|Masc|Acc|Sg	12	det	_	_
12	Zusammenhang	Zusammenhang	N	NN	Masc|Acc|Sg	9	obja	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	9	kon	_	_
15	auch	auch	A	ADV	_	17	adv	_	_
16	einige	einige	A	PIAT	Masc|Nom|Pl	17	det	_	_
17	Gäste	Gast	N	NN	Masc|Nom|Pl	18	subj	_	_
18	verwunderten	verwundern	V	VVFIN	3|Pl|Past|_	14	cj	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	über	über	P	APPR	_	18	pp	_	_
21	uns	wir	P	PPER	1|Pl|_|_	20	pn	129	129
22	ungleiches	ungleich	A	ADJA	Pos|Neut|_|Sg|St|	23	attr	_	_
23	Paar	Paar	N	NN	Neut|_|Sg	0	root	_	_
24	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	drüben	drüben	N	NE	_|Nom|Sg	6	subj	131	131
3	an	an	P	APPR	Dat	2	pp	131	131
4	seinem	seine	A	PPOSAT	Masc|Dat|Sg	5	det	131	131
5	Tisch	Tisch	N	NN	Masc|Dat|Sg	3	pn	_	_
6	erzählte	erzählen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
7	sie	sie	P	PPER	3|_|_|_	6	obja	131	131
8	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	121	121
9	(	(	$	$(	_	0	root	_	_
10	manche	manche	A	PIAT	Fem|Nom|Sg	11	det	132	132
11	Einzelheit	Einzelheit	N	NN	Fem|Nom|Sg	12	subj	132	132
12	ergänzte	ergänzen	V	VVFIN	3|Sg|Past|_	8	par	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	121	121
14	später	spät	A	ADJD	_|	15	adv	_	_
15	anderer	anderer	A	ADJA	_|Masc|_|Sg|_	16	attr	_	_
16	Bericht	Bericht	N	NN	Masc|_|Sg	12	obja	_	_
17	)	)	$	$(	_	0	root	_	_
18	von	von	P	APPR	_	6	pp	_	_
19	Jakob	Jakob	N	NE	_|_|_	18	pn	65	65
20	Mendels	Mendels	N	NE	_|_|_	19	app	65	65
21	,	,	$	$,	_	0	root	_	_
22	von	von	P	APPR	_	18	kon	_	_
23	Buchmendels	Buchmendels	N	NE	_|Gen|_	24	gmod	_	_
24	Untergang	Untergang	N	NN	_|_|Sg	22	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	also	also	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	8	8
5	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	erzählte	erzählen	V	VVFIN	3|Sg|Past|_	5	par	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	132	132
10	,	,	$	$,	_	0	root	_	_
11	auch	auch	A	ADV	_	5	adv	_	_
12	nachher	nachher	A	ADV	_	5	adv	_	_
13	noch	noch	A	ADV	_	5	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	als	als	K	KOUS	_	36	konj	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	112	112
17	Krieg	Krieg	N	NN	Masc|Nom|Sg	23	subj	112	112
18	schon	schon	A	ADV	_	19	adv	_	_
19	begonnen	beginnen	V	VVPP	_	23	aux	_	_
20	,	,	$	$,	_	0	root	_	_
21	immer	immer	A	ADV	_	22	adv	_	_
22	noch	noch	A	ADV	_	23	adv	_	_
23	gekommen	kommen	V	VVPP	_	36	neb	_	_
24	,	,	$	$,	_	0	root	_	_
25	Tag	Tag	N	NN	_|_|Sg	26	grad	133	133
26	um	um	P	APPR	Acc	23	pp	_	_
27	Tag	Tag	N	NN	_|Acc|Sg	26	pn	133	133
28	um	um	P	APPR	_	23	pp	_	_
29	halb	halb	A	ADJD	Pos|	30	adv	_	_
30	acht	acht	C	CARD	_	31	attr	_	_
31	Uhr	Uhr	N	NN	Fem|_|Sg	28	pn	_	_
32	früh	früh	A	ADJD	Pos|	36	adv	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	32	kon	_	_
35	genauso	genauso	A	ADV	_	34	cj	_	_
36	sei	sein	V	VAFIN	3|Sg|Pres|Subj	5	neb	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	8	8
38	gesessen	sitzen	V	VVPP	_	36	aux	_	_
39	und	und	K	KON	_	36	kon	_	_
40	habe	haben	V	VAFIN	_|Sg|Pres|_	39	cj	_	_
41	er	er	P	PPER	3|Sg|Masc|Nom	0	root	8	8
42	den	die	A	ART	Def|Masc|Acc|Sg	44	det	_	_
43	ganzen	ganz	A	ADJA	Pos|Masc|Acc|Sg|_|	44	attr	_	_
44	Tag	Tag	N	NN	Masc|Acc|Sg	0	root	_	_
45	studiert	studieren	V	VVPP	_	0	root	_	_
46	wie	wie	K	KOKOM	_	0	root	_	_
47	immer	immer	A	ADV	_	46	cj	_	_
48	,	,	$	$,	_	0	root	_	_
49	ja	ja	P	PTKANT	_	0	root	_	_
50	,	,	$	$,	_	0	root	_	_
51	sie	sie	P	PPER	3|Pl|_|Nom	52	subj	130	130
52	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
53	alle	alle	P	PIS	_|_|_	56	obja	_	_
54	das	die	A	ART	Def|Neut|_|Sg	55	det	134	134
55	Gefühl	Gefühl	N	NN	Neut|_|Sg	56	obja	134	134
56	gehabt	haben	V	VAPP	_	52	aux	_	_
57	und	und	K	KON	_	56	kon	_	_
58	oft	oft	A	ADV	_	60	adv	_	_
59	darüber	darüber	P	PROAV	_	60	pp	_	_
60	geredet	reden	V	VVPP	_	57	cj	_	_
61	,	,	$	$,	_	0	root	_	_
62	ihm	er	P	PPER	3|Sg|_|Dat	70	objd	8	8
63	sei	sein	V	VAFIN	_|Sg|Pres|Subj	52	kon	_	_
64	'	'	$	$(	_	0	root	_	_
65	s	s	P	PPER	_|Sg|_|Nom	63	subj	132	132
66	gar	gar	A	ADV	_	67	adv	_	_
67	nicht	nicht	P	PTKNEG	_	70	adv	_	_
68	zum	zu	P	APPRART	Dat	70	objp	_	_
69	Bewußtsein	Bewußtsein	N	NN	Neut|Dat|Sg	68	pn	_	_
70	gekommen	kommen	V	VVPP	_	63	aux	_	_
71	,	,	$	$,	_	0	root	_	_
72	daß	daß	K	KOUS	_	74	konj	_	_
73	Krieg	Krieg	N	NN	Masc|Nom|Sg	74	subj	135	135
74	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
75	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	121	121
2	wisse	wissen	V	VVFIN	1|Sg|Pres|Subj	0	root	_	_
3	doch	doch	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	in	in	P	APPR	Acc	8	pp	_	_
6	eine	eine	A	ART	Indef|Fem|Acc|Sg	7	det	_	_
7	Zeitung	Zeitung	N	NN	Fem|Acc|Sg	5	pn	_	_
8	habe	haben	V	VAFIN	3|Sg|Pres|Subj	2	kon	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	135	135
10	nie	nie	A	ADV	_	11	adv	_	_
11	geschaut	schauen	V	VVPP	_	8	aux	_	_
12	und	und	K	KON	_	0	root	_	_
13	nie	nie	A	ADV	_	14	adv	_	_
14	mit	mit	P	APPR	Dat	12	cj	_	_
15	wem	wer	P	PWS	_|Dat|Sg	14	pn	_	_
16	andern	andere	P	PIS	_|Dat|_	15	app	_	_
17	gesprochen	sprechen	V	VVPP	_	0	root	_	_
18	;	;	$	$.	_	0	root	_	_
19	aber	aber	K	KON	_	0	root	_	_
20	auch	auch	A	ADV	_	36	adv	_	_
21	wenn	wenn	K	KOUS	_	29	konj	_	_
22	die	die	A	ART	Def|Masc|Nom|Pl	23	det	136	136
23	Ausrufer	Ausrufer	N	NN	Masc|Nom|Pl	29	subj	136	136
24	ihren	ihre	A	PPOSAT	Masc|_|Sg	25	det	136	136
25	Mordslärm	Mordslärm	N	NN	Masc|_|Sg	29	obja	_	_
26	mit	mit	P	APPR	Dat	29	pp	_	_
27	den	die	A	ART	Def|Neut|Dat|Pl	28	det	_	_
28	Extrablättern	Extrablatt	N	NN	Neut|Dat|Pl	26	pn	_	_
29	machten	machen	V	VVFIN	3|Pl|Past|_	36	neb	_	_
30	und	und	K	KON	_	29	kon	_	_
31	alle	alle	A	PIDAT	_|Nom|Pl	32	det	_	_
32	andern	andere	P	PIS	_|Nom|Pl	33	subj	_	_
33	zusammenliefen	zusammenlaufen	V	VVFIN	3|Pl|Past|_	30	cj	_	_
34	,	,	$	$,	_	0	root	_	_
35	nie	nie	A	ADV	_	36	adv	_	_
36	sei	sein	V	VAFIN	3|Sg|Pres|Subj	19	cj	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	135	135
38	da	da	A	ADV	_	39	adv	_	_
39	aufgestanden	aufgestehen	V	VVPP	_	36	aux	_	_
40	oder	oder	K	KON	_	36	kon	_	_
41	hätte	haben	V	VAFIN	_|Sg|Past|Subj	40	cj	_	_
42	zugehört	zugehören	V	VVPP	_	41	aux	_	_
43	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	135	135
2	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	auch	auch	A	ADV	_	6	adv	_	_
4	gar	gar	A	ADV	_	5	adv	_	_
5	nicht	nicht	P	PTKNEG	_	6	adv	_	_
6	gemerkt	merken	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	11	konj	_	_
9	der	die	A	ART	Def|Masc|Nom|Sg	10	det	_	_
10	Franz	Franz	N	NE	Masc|Nom|Sg	11	subj	_	_
11	fehle	fehlen	V	VVFIN	3|Sg|Pres|Subj	6	objc	_	_
12	,	,	$	$,	_	0	root	_	_
13	der	die	A	ART	Def|Masc|_|_	14	det	137	137
14	Kellner	Kellner	N	NN	Masc|_|_	0	root	137	137
15	(	(	$	$(	_	0	root	137	137
16	der	die	P	PRELS	Masc|Nom|Sg	20	subj	137	137
17	bei	bei	P	APPR	Dat	19	pp	_	_
18	Gorlice	Gorlice	N	NN	_|Dat|_	17	pn	138	138
19	gefallen	fallen	V	VVPP	_	20	aux	_	_
20	sei	sein	V	VAFIN	3|Sg|Pres|Subj	14	par	_	_
21	)	)	$	$(	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	0	root	_	_
24	nicht	nicht	P	PTKNEG	_	25	adv	_	_
25	gewußt	gewußt	V	VVPP	_	23	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	daß	daß	K	KOUS	_	37	konj	_	_
28	sie	sie	P	PPER	3|Pl|_|Nom	37	subj	138	138
29	den	die	A	ART	Def|Masc|Acc|Sg	30	det	_	_
30	Sohn	Sohn	N	NN	Masc|Acc|Sg	36	obja	_	_
31	von	von	P	APPR	_	30	pp	_	_
32	Herrn	Herrn	N	NN	_|_|_	31	pn	104	104
33	Standhartner	Standhartner	N	NE	_|_|_	32	app	104	104
34	bei	bei	P	APPR	Dat	36	pp	_	_
35	Przemysl	Przemysl	N	NE	_|Dat|_	34	pn	_	_
36	gefangen	fangen	V	VVPP	_	37	aux	_	_
37	hatten	haben	V	VAFIN	3|Pl|Past|Ind	53	neb	_	_
38	,	,	$	$,	_	0	root	_	_
39	und	und	K	KON	_	37	kon	_	_
40	nie	nie	A	ADV	_	41	adv	_	_
41	kein	keine	A	PIAT	Neut|_|Sg	42	det	_	_
42	Wort	Wort	N	NN	Neut|_|Sg	45	obja	_	_
43	habe	haben	V	VAFIN	3|Sg|Pres|Subj	39	cj	_	_
44	er	er	P	PPER	3|Sg|Masc|Nom	43	subj	137	137
45	gesagt	sagen	V	VVPP	_	43	aux	_	_
46	,	,	$	$,	_	0	root	_	_
47	wie	wie	P	PWAV	_	52	adv	_	_
48	das	die	A	ART	Def|Neut|Nom|Sg	49	det	_	_
49	Brot	Brot	N	NN	Neut|Nom|Sg	53	subj	_	_
50	immer	immer	A	ADV	_	51	adv	_	_
51	miserabler	miserabel	A	ADJD	Comp|	52	pred	_	_
52	geworden	werden	V	VAPP	_	53	aux	_	_
53	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
54	und	und	K	KON	_	0	root	_	_
55	man	man	P	PIS	_|Nom|Sg	63	subj	_	_
56	ihm	er	P	PPER	3|Sg|_|Dat	64	objd	137	137
57	statt	statt	P	APPR	_	63	pp	_	_
58	der	die	A	ART	Def|Fem|_|Sg	59	det	139	139
59	Milch	Milch	N	NN	Fem|_|Sg	57	pn	139	139
60	das	die	A	ART	Def|Neut|_|Sg	62	det	_	_
61	elende	elend	A	ADJA	Pos|Neut|_|Sg|Wk|	62	attr	_	_
62	Feigenkaffeegschlader	Feigenkaffeegschlader	N	NN	Neut|_|Sg	64	obja	_	_
63	hat	haben	V	VAFIN	3|Sg|Pres|Ind	54	cj	_	_
64	geben	geben	V	VVINF	_	65	aux	_	_
65	müssen	müssen	V	VMINF	_	63	aux	_	_
66	.	.	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	2	adv	_	_
2	einmal	einmal	A	ADV	_	3	adv	_	_
3	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	137	137
5	sich	sie	P	PRF	3|_|_	6	obja	_	_
6	gewundert	wundern	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	13	konj	_	_
9	jetzt	jetzt	A	ADV	_	13	adv	_	_
10	so	so	A	ADV	_	11	adv	_	_
11	wenig	wenig	A	PIDAT	Masc|Nom|Pl	12	det	_	_
12	Studenten	Student	N	NN	Masc|Nom|Pl	13	subj	_	_
13	kämen	kommen	V	VVFIN	3|Pl|Past|Subj	6	objc	_	_
14	,	,	$	$,	_	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	16	subj	_	_
16	war	sein	V	VAFIN	3|Sg|Past|Ind	3	kon	_	_
17	alles	alle	P	PIS	Neut|Nom|Sg	16	pred	_	_
18	.	.	$	$.	_	0	root	_	_

1	–	–	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Mein	meine	A	PPOSAT	Masc|Nom|Sg	4	det	121	121
4	Gott	Gott	N	NN	Masc|Nom|Sg	11	subj	140	140
5	,	,	$	$,	_	0	root	140	140
6	der	die	A	ART	Def|Masc|Nom|Sg	8	det	140	140
7	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	140	140
8	Mensch	Mensch	N	NN	Masc|Nom|Sg	4	app	140	140
9	,	,	$	$,	_	0	root	_	_
10	den	die	P	PDS	Masc|Acc|Sg	14	obja	_	_
11	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
12	doch	doch	A	ADV	_	14	adv	_	_
13	nichts	nichts	P	PIS	_	14	obja	_	_
14	gefreut	freuen	V	VVPP	_	11	aux	_	_
15	und	und	K	KON	_	14	kon	_	_
16	gekümmert	kümmern	V	VVPP	_	15	cj	_	_
17	als	als	K	KOKOM	_	14	kom	_	_
18	seine	seine	A	PPOSAT	_|_|_	19	det	140	140
19	Bücher	Buch	N	NN	_|_|_	17	cj	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	4	adv	_	_
3	eines	eine	A	ART	Indef|Masc|Gen|Sg	4	det	_	_
4	Tages	Tag	N	NN	Masc|Gen|Sg	1	cj	_	_
5	,	,	$	$,	_	0	root	_	_
6	da	da	A	ADV	_	7	adv	_	_
7	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	227	227
9	Unglück	Unglück	N	NN	Neut|Nom|Sg	7	subj	227	227
10	geschehen	geschehen	V	VVINF	_	0	root	_	_
11	.	.	$	$.	_	0	root	_	_

1	Um	um	P	APPR	_	10	pp	_	_
2	elf	elf	C	CARD	_	3	attr	_	_
3	Uhr	Uhr	N	NN	Fem|_|Sg	1	pn	_	_
4	vormittags	vormittags	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	am	an	P	APPRART	Dat	3	pp	_	_
7	hellichten	hellicht	A	ADJA	Pos|_|Dat|Sg|Wk|	8	attr	_	_
8	Tag	Tag	N	NN	_|Dat|Sg	6	pn	_	_
9	,	,	$	$,	_	0	root	_	_
10	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
11	ein	eine	A	ART	Indef|Masc|Nom|Sg	12	det	_	_
12	Wachmann	Wachmann	N	NN	Masc|Nom|Sg	10	subj	_	_
13	gekommen	kommen	V	VVPP	_	10	aux	_	_
14	mit	mit	P	APPR	Dat	13	pp	_	_
15	einem	eine	A	ART	Indef|Masc|Dat|Sg	16	det	146	146
16	Geheimpolizisten	Geheimpolizist	N	NN	Masc|Dat|Sg	14	pn	146	146
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PDS	Masc|Nom|Sg	19	subj	_	_
19	hätte	haben	V	VAFIN	3|Sg|Past|Subj	10	kon	_	_
20	die	die	A	ART	Def|Fem|_|Sg	21	det	_	_
21	Rosette	Rosette	N	NN	Fem|_|Sg	22	obja	_	_
22	gezeigt	zeigen	V	VVPP	_	19	aux	_	_
23	am	an	P	APPRART	Dat	22	pp	_	_
24	Knopfloch	Knopfloch	N	NN	_|Dat|Sg	23	pn	_	_
25	und	und	K	KON	_	0	root	_	_
26	gefragt	fragen	V	VVPP	_	25	cj	_	_
27	,	,	$	$,	_	0	root	_	_
28	ob	ob	K	KOUS	_	33	konj	_	_
29	hier	hier	A	ADV	_	33	adv	_	_
30	ein	eine	A	ART	Indef|_|Nom|Sg	31	det	29	29
31	Jakob	Jakob	N	NE	_|Nom|Sg	33	subj	29	29
32	Mendel	Mendel	N	NE	_|Nom|Sg	31	app	29	29
33	verkehre	verkehren	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
34	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	wären	sein	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	2	subj	45	45
4	gleich	gleich	A	ADV	_	8	adv	_	_
5	an	an	P	APPR	Acc	8	pp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	27	27
7	Tisch	Tisch	N	NN	Masc|Acc|Sg	5	pn	27	27
8	gegangen	gehen	V	VVPP	_	2	aux	_	_
9	zum	zu	P	APPRART	Dat	8	pp	_	_
10	Mendel	Mendel	N	NN	_|Dat|_	9	pn	29	29
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	2	kon	_	_
13	der	die	P	PDS	Masc|Nom|Sg	14	subj	_	_
14	hätte	haben	V	VAFIN	3|Sg|Past|Subj	12	cj	_	_
15	ahnungslos	ahnungslos	A	ADJD	Pos|	17	adv	_	_
16	noch	noch	A	ADV	_	17	adv	_	_
17	geglaubt	glauben	V	VVPP	_	14	aux	_	_
18	,	,	$	$,	_	0	root	_	_
19	sie	sie	P	PPER	3|Pl|_|Nom	20	subj	45	45
20	wollten	wollen	V	VMFIN	3|Pl|Past|_	17	s	_	_
21	Bücher	Buch	N	NN	_|_|_	22	obja	141	141
22	verkaufen	verkaufen	V	VVINF	_	20	aux	_	_
23	oder	oder	K	KON	_	22	kon	_	_
24	ihn	er	P	PPER	3|Sg|Masc|Acc	26	obja	141	141
25	was	was	P	PIS	_	26	obja	_	_
26	fragen	fragen	V	VVINF	_	23	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	gleich	gleich	A	ADJD	Pos|	3	adv	_	_
3	hätten	haben	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
4	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	45	45
5	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	141	141
6	aufgefordert	auffordern	V	VVPP	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	mitzukommen	mitkommen	V	VVIZU	_	6	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	0	root	_	_
11	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	141	141
12	weggeführt	wegführen	V	VVPP	_	10	cj	_	_
13	.	.	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|Nom|Sg	3	det	145	145
2	rechte	recht	A	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	145	145
3	Schande	Schande	N	NN	Fem|Nom|Sg	4	subj	145	145
4	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	9	pred	_	_
6	für	für	P	APPR	Acc	9	pp	_	_
7	das	die	A	ART	Def|Neut|Acc|Sg	8	det	142	142
8	Kaffeehaus	Kaffeehaus	N	NN	Neut|Acc|Sg	6	pn	142	142
9	gewesen	sein	V	VAPP	_	4	aux	_	_
10	,	,	$	$,	_	0	root	_	_
11	alle	alle	A	PIDAT	_|Nom|Pl	12	det	144	144
12	Leute	Leute	N	NN	_|Nom|Pl	13	subj	144	144
13	hätten	haben	V	VAFIN	3|Pl|Past|Subj	4	kon	_	_
14	sich	sie	P	PRF	3|_|_	15	obja	_	_
15	herumgestellt	herumstellen	V	VVPP	_	13	aux	_	_
