1	Berlin	Berlin	N	NE	_|_|Sg	8	vok	305	305
51	Konsistorium	Konsistorium	N	NN	_|Dat|_	50	pn	_	_
52	säße	sitzen	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
53	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	A	ADV	_	3	adv	_	_
3	leg	leg	V	VVFIN	1|Sg|_|_	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	469	469
5	denn	denn	A	ADV	_	3	adv	_	_
6	(	(	$	$(	_	0	root	_	_
7	weil	weil	K	KOUS	_	15	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	469	469
9	nun	nun	A	ADV	_	15	adv	_	_
10	mal	mal	A	ADV	_	15	adv	_	_
11	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
12	Tugend	Tugend	N	NN	Fem|_|Sg	15	obja	_	_
13	oder	oder	K	KON	_	12	kon	_	_
14	Untugend	Untugend	N	NN	Fem|_|Sg	13	cj	_	_
15	habe	haben	V	VAFIN	1|Sg|Pres|_	5	par	_	_
16	,	,	$	$,	_	0	root	_	_
17	mir	ich	P	PPER	1|Sg|_|Dat	21	objd	469	469
18	alles	alle	P	PIS	_|_|Sg	17	app	_	_
19	gleich	gleich	A	ADJD	Pos|	21	adv	_	_
20	leibhaftig	leibhaftig	A	ADJD	Pos|	21	adv	_	_
21	vorzustellen	vorstellen	V	VVIZU	_	15	obji	_	_
22	)	)	$	$(	_	0	root	_	_
23	während	während	P	APPR	Gen	3	pp	_	_
24	des	die	A	ART	Def|Neut|Gen|Sg	25	det	_	_
25	Schreibens	Schreiben	N	NN	Neut|Gen|Sg	23	pn	_	_
26	die	die	A	ART	Def|Fem|_|Sg	27	det	470	470
27	Feder	Feder	N	NN	Fem|_|Sg	3	obja	470	470
28	hin	hin	P	PTKVZ	_	3	avz	_	_
29	,	,	$	$,	_	0	root	_	_
30	um	um	K	KOUI	_	34	konj	_	_
31	mich	ich	P	PRF	1|Sg|Acc	34	obja	_	_
32	erst	erst	A	ADV	_	34	adv	_	_
33	herzlich	herzlich	A	ADJD	Pos|	34	adv	_	_
34	auszulachen	auslachen	V	VVIZU	_	3	neb	_	_
35	.	.	$	$.	_	0	root	_	_

1	Au	Au	F	FM	_	0	root	_	_
2	fond	fond	F	FM	_	1	app	_	_
3	freilich	freilich	A	ADV	_	4	adv	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	viel	viel	A	ADV	_	7	adv	_	_
7	weniger	weniger	A	ADV	_	8	adv	_	_
8	lächerlich	lächerlich	A	ADJD	Pos|	4	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOUS	_	15	konj	_	_
11	es	es	P	PPER	3|Sg|Neut|Nom	15	subj	_	_
12	im	in	P	APPRART	Dat	15	pp	_	_
13	ersten	erst	A	ADJA	_|Masc|Dat|Sg|Wk|	14	attr	471	471
14	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	12	pn	471	471
15	erscheint	erscheinen	V	VVFIN	3|Sg|Pres|Ind	4	neb	_	_
16	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	471	471
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	etwas	etwas	A	PIAT	_	4	det	_	_
4	konsistorialrätlich-Feierliches	konsistorialrätlich-feierlich	A	ADJA	Neut|_|Sg	2	obja	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	wenn	wenn	K	KOUS	_	11	konj	_	_
8	mich	ich	P	PPER	1|Sg|_|Acc	11	obja	469	469
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	alles	alle	P	PIS	Neut|Nom|Sg	11	subj	_	_
11	täuscht	täuschen	V	VVFIN	3|Sg|Pres|Ind	14	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	cj	_	_
15	es	es	P	PPER	3|Sg|Neut|_	14	expl	_	_
16	gerade	gerade	A	ADV	_	17	adv	_	_
17	dies	dies	P	PDS	Neut|Nom|Sg	14	subj	_	_
18	Feierliche	Feierliche	N	NN	_|Nom|_	14	pred	472	472
19	,	,	$	$,	_	0	root	_	_
20	was	was	P	PRELS	Neut|Nom|Sg	26	subj	472	472
21	Bülow	Bülow	N	NN	_	26	obja	11	11
22	so	so	A	ADV	_	23	adv	_	_
23	sehr	sehr	A	ADV	_	26	adv	_	_
24	gegen	gegen	P	APPR	Acc	26	pp	_	_
25	ihn	er	P	PPER	3|Sg|Masc|Acc	24	pn	471	471
26	einnimmt	einnehmen	V	VVFIN	3|Sg|Pres|Ind	14	objc	_	_
27	.	.	$	$.	_	0	root	_	_

1	Viel	Viel	A	ADV	_	4	adv	_	_
2	,	,	$	$,	_	0	root	_	_
3	viel	viel	A	ADV	_	4	adv	_	_
4	mehr	mehr	A	ADV	_	0	root	_	_
5	als	als	K	KOKOM	_	4	kom	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	Unterschied	Unterschied	N	NN	Masc|Nom|Sg	5	cj	_	_
8	der	die	A	ART	Def|Fem|Gen|Pl	9	det	890	890
9	Meinungen	Meinung	N	NN	Fem|Gen|Pl	7	gmod	890	890
10	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	beinah	beinah	A	ADV	_	3	adv	_	_
3	klingt	klingen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	0	root	_	_
7	ob	ob	K	KOUS	_	14	konj	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	469	469
9	mich	ich	P	PRF	1|Sg|Acc	14	obja	_	_
10	in	in	P	APPR	Dat	14	pp	_	_
11	meiner	meine	A	PPOSAT	Fem|Dat|Sg	12	det	11	11
12	Schilderung	Schilderung	N	NN	Fem|Dat|Sg	10	pn	469)	469)
13	Bülow	Bülow	N	NE	Fem|Dat|Sg	12	app	11	11
14	anschlösse	anschließen	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Wirklich	wirklich	A	ADJD	Pos|	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wüßtest	wüßtest	V	VVFIN	2|Sg|_|_	0	root	_	_
4	Du	du	P	PPER	2|Sg|_|Nom	3	subj	473	473
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_	3	obja	_	_
7	nicht	nicht	P	PTKNEG	_	3	adv	_	_
8	besser	gut	A	ADJD	Comp|	3	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	Du	du	P	PPER	2|Sg|_|Nom	11	subj	473	473
11	würdest	werden	V	VAFIN	2|Sg|Past|Subj	3	kon	_	_
12	dieser	diese	A	PDAT	Fem|Dat|Sg	13	det	_	_
13	Charakteristik	Charakteristik	N	NN	Fem|Dat|Sg	17	objd	_	_
14	unsres	unsre	A	PPOSAT	Masc|Gen|Sg	15	det	_	_
15	Freundes	Freund	N	NN	Masc|Gen|Sg	13	gmod	_	_
16	nicht	nicht	P	PTKNEG	_	17	adv	_	_
17	entnehmen	entnehmen	V	VVINF	_	18	aux	_	_
18	können	können	V	VMINF	_	11	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	wie	wie	P	PWAV	_	24	adv	_	_
21	sehr	sehr	A	ADV	_	24	adv	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	469	469
23	ihn	er	P	PPER	3|Sg|Masc|Acc	24	obja	5	5
24	schätze	schätzen	V	VVFIN	1|Sg|Pres|_	17	objc	_	_
25	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	mehr	mehr	A	ADV	_	4	adv	_	_
4	denn	denn	K	KOKOM	_	0	root	_	_
5	je	je	A	ADV	_	4	cj	_	_
6	,	,	$	$,	_	0	root	_	_
7	trotzdem	trotzdem	K	KOUS	_	13	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|Nom	13	subj	_	_
9	an	an	P	APPR	Dat	13	objp	_	_
10	manchem	manche	A	PIAT	_|Dat|Sg	11	det	_	_
11	Schmerzlichen	Schmerzliche	N	NN	_|Dat|Sg	9	pn	_	_
12	nicht	nicht	P	PTKNEG	_	13	adv	_	_
13	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	in	in	P	APPR	Dat	5	pp	_	_
3	meiner	meine	A	PPOSAT	Fem|Dat|Sg	4	det	469	469
4	Lage	Lage	N	NN	Fem|Dat|Sg	2	pn	_	_
5	lernt	lernen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	milde	milde	A	ADJD	Pos|	8	pred	_	_
8	sein	sein	V	VAINF	_	5	obji	_	_
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	11	obja	_	_
11	trösten	trösten	V	VVINF	_	8	kon	_	_
12	,	,	$	$,	_	0	root	_	_
13	verzeihn	verzeihn	N	NE	_	5	vok	_	_
14	.	.	$	$.	_	0	root	_	_

1	Hätt	Hätt	V	VVFIN	1|Sg|_|_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	subj	469	469
3	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	gelernt	lernen	V	VVPP	_	1	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	8	adv	_	_
8	könnt	können	V	VMFIN	2|Pl|Pres|Ind	5	objc	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	0	root	469	469
10	leben	leben	V	VVINF	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	0	root	469	469
13	,	,	$	$,	_	0	root	_	_
14	die	die	P	PRELS	_|_|_	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	469	469
16	so	so	A	ADV	_	17	adv	_	_
17	gern	gern	A	ADV	_	18	adv	_	_
18	lebe	leben	V	VVFIN	1|Sg|Pres|_	0	root	_	_
19	!	!	$	$.	_	0	root	_	_

1	Eine	eine	A	ART	Indef|Fem|_|Sg	2	det	474	474
2	Schwäche	Schwäche	N	NN	Fem|_|Sg	0	root	474	474
3	,	,	$	$,	_	0	root	_	_
4	die	die	P	PRELS	_|_|_	0	root	474	474
5	(	(	$	$(	_	0	root	_	_
6	wie	wie	P	PWAV	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	469	469
8	einmal	einmal	A	ADV	_	9	adv	_	_
9	gelesen	lesen	V	VVPP	_	0	root	_	_
10	)	)	$	$(	_	0	root	_	_
11	alle	alle	A	PIDAT	_|_|_	0	root	_	_
12	diejenigen	diejenige	P	PDS	_|Nom|Pl	14	subj	_	_
13	haben	haben	V	VAINF	_	14	aux	_	_
14	sollen	sollen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	von	von	P	APPR	Dat	22	pp	_	_
17	denen	die	P	PRELS	_|Dat|Pl	16	pn	_	_
18	man	man	P	PIS	_|Nom|Sg	22	subj	_	_
19	es	es	P	PPER	3|Sg|Neut|_	22	obja	_	_
20	am	am	P	PTKA	_	21	adv	_	_
21	wenigsten	wenigsten	A	ADJD	_	22	adv	_	_
22	begreift	begreifen	V	VVFIN	3|Sg|Pres|Ind	12	rel	_	_
23	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	469	469
3	sprach	sprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
4	von	von	P	APPR	Dat	3	pp	_	_
5	manchem	manche	A	PIAT	_|Dat|Sg	6	det	_	_
6	Schmerzlichen	Schmerzliche	N	NN	_|Dat|Sg	4	pn	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	drängt	drängen	V	VVFIN	3|Sg|Pres|Ind	8	cj	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	obja	469	469
12	,	,	$	$,	_	0	root	_	_
13	Dir	du	P	PPER	2|Sg|_|Dat	0	root	_	_
14	davon	davon	P	PROAV	_	0	root	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	erzählen	erzählen	V	VVINF	_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	erst	erst	A	ADV	_	2	adv	_	_
4	gestern	gestern	A	ADV	_	2	adv	_	_
5	auf	auf	P	APPR	Dat	2	pp	_	_
6	unsrer	unsre	A	PPOSAT	Fem|Dat|Sg	7	det	475	475
7	Spazierfahrt	Spazierfahrt	N	NN	Fem|Dat|Sg	5	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	4	kom	1135	1135
2	wir	wir	P	PPER	1|Pl|_|Nom	1	cj	475	475
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Gang	Gang	N	NN	Masc|Acc|Sg	11	obja	_	_
5	aus	aus	P	APPR	Dat	4	pp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	7	det	_	_
7	Dorf	Dorf	N	NN	Neut|Dat|Sg	5	pn	_	_
8	in	in	P	APPR	Acc	7	pp	_	_
9	die	die	A	ART	Def|Fem|Acc|Sg	10	det	289	289
10	Kirche	Kirche	N	NN	Fem|Acc|Sg	8	pn	289	289
11	machten	machen	V	VVFIN	_|Pl|Past|_	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	führte	führen	V	VVFIN	3|Sg|Past|_	11	kon	_	_
14	Schach	Schach	N	NN	Fem|_|Sg	13	obja	_	_
15	Mama	Mama	N	NN	Fem|_|Sg	14	app	_	_
16	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	zufällig	zufällig	A	ADJD	Pos|	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	es	es	P	PPER	3|Sg|Neut|Nom	5	subj	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
6	arrangiert	arrangieren	V	VVPP	_	5	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	0	root	_	_
9	zwar	zwar	A	ADV	_	10	adv	_	_
10	durch	durch	P	APPR	Acc	8	cj	_	_
11	mich	ich	P	PPER	1|Sg|_|Acc	10	pn	476	476
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	476	476
2	ließ	lassen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	beide	beide	P	PIS	_|_|Pl	2	obja	_	_
4	zurück	zurück	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	weil	weil	K	KOUS	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	0	root	476	476
8	eine	eine	A	ART	Indef|Fem|_|Sg	9	det	_	_
9	Aussprache	Aussprache	N	NN	Fem|_|Sg	0	root	_	_
10	(	(	$	$(	_	0	root	_	_
11	Du	du	P	PPER	2|Sg|_|Nom	12	subj	_	_
12	weißt	weißen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	welche	welche	A	PWAT	_|_|_	0	root	_	_
15	)	)	$	$(	_	0	root	_	_
16	zwischen	zwischen	P	APPR	_	18	pp	_	_
17	beiden	beide	P	PIS	_|_|Pl	16	pn	_	_
18	herbeiführen	herbeiführen	V	VVINF	_	19	aux	_	_
19	wollte	wollen	V	VMFIN	_|Sg|Past|_	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Solche	solche	A	PIDAT	Masc|_|Pl	3	det	_	_
2	stillen	still	A	ADJA	Pos|Masc|_|Pl|Wk|	3	attr	_	_
3	Abende	Abend	N	NN	Masc|_|Pl	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	wo	wo	P	PWAV	_	9	adv	_	_
6	man	man	P	PIS	_|Nom|Sg	9	subj	_	_
7	über	über	P	APPR	_	9	pp	_	_
8	Feld	Feld	N	NN	Neut|_|Sg	7	pn	477	477
9	schreitet	schreiten	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	_
10	und	und	K	KON	_	9	kon	_	_
11	nichts	nichts	P	PIS	_|Nom|Sg	12	subj	_	_
12	hört	hören	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
13	als	als	K	KOKOM	_	12	kom	_	_
14	das	die	A	ART	Def|Neut|_|Sg	15	det	_	_
15	Anschlagen	Anschlagen	N	NN	Neut|_|Sg	13	cj	_	_
16	der	die	A	ART	Def|Fem|Gen|Sg	17	det	_	_
17	Abendglocke	Abendglocke	N	NN	Fem|Gen|Sg	15	gmod	_	_
18	,	,	$	$,	_	0	root	_	_
19	heben	heben	V	VVFIN	_|Pl|Pres|_	12	kon	_	_
20	uns	wir	P	PPER	1|Pl|_|_	19	obja	475	475
21	über	über	P	APPR	Acc	19	pp	_	_
22	kleine	klein	A	ADJA	Pos|_|Acc|_|_|	23	attr	478	478
23	Rücksichten	Rücksicht	N	NN	_|Acc|_	21	pn	478	478
24	fort	fort	P	PTKVZ	_	19	avz	_	_
25	und	und	K	KON	_	19	kon	_	_
26	machen	machen	V	VVFIN	_|Pl|Pres|_	25	cj	_	_
27	uns	wir	P	PPER	1|Pl|_|_	26	obja	475	475
28	freier	frei	A	ADJD	Comp|	26	pred	_	_
29	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sind	sein	V	VAFIN	_|Pl|Pres|Ind	1	cj	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	pred	475	475
4	erst	erst	A	ADV	_	3	adv	_	_
5	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	findet	finden	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	auch	auch	A	ADV	_	8	adv	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	13	det	_	_
12	rechte	recht	A	ADJA	Pos|Neut|Nom|Sg|Wk|	13	attr	_	_
13	Wort	Wort	N	NN	Neut|Nom|Sg	8	subj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|Nom|Sg	5	subj	_	_
2	zwischen	zwischen	P	APPR	Dat	4	pp	_	_
3	ihnen	sie	P	PPER	3|Pl|_|Dat	2	pn	478	478
4	gesprochen	sprechen	V	VVPP	_	5	aux	_	_
5	wurde	werden	V	VAFIN	3|Sg|Past|Ind	7	objc	_	_
6	,	,	$	$,	_	0	root	_	_
7	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	476	476
9	nicht	nicht	P	PTKNEG	_	7	adv	_	_
10	,	,	$	$,	_	0	root	_	_
11	jedenfalls	jedenfalls	A	ADV	_	12	adv	_	_
12	nicht	nicht	P	PTKNEG	_	13	adv	_	_
13	das	die	P	PDS	Neut|_|Sg	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	was	was	P	PRELS	Neut|Nom|Sg	18	subj	_	_
16	gesprochen	sprechen	V	VVPP	_	17	aux	_	_
17	werden	werden	V	VAINF	_	18	aux	_	_
18	sollte	sollen	V	VMFIN	3|Sg|Past|_	13	rel	_	_
19	.	.	$	$.	_	0	root	_	_

1	Zuletzt	zuletzt	A	ADV	_	2	adv	_	_
2	traten	treten	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	475	475
4	in	in	P	APPR	Acc	2	objp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	479	479
6	Kirche	Kirche	N	NN	Fem|Acc|Sg	4	pn	479	479
7	,	,	$	$,	_	0	root	479	479
8	die	die	P	PRELS	Fem|Nom|Sg	13	subj	479	479
9	vom	von	P	APPRART	Dat	13	pp	_	_
10	Abendrot	Abendrot	N	NN	Neut|Dat|Sg	9	pn	_	_
11	wie	wie	K	KOKOM	_	13	kom	_	_
12	durchglüht	durchglühen	V	VVPP	_	11	cj	_	_
13	war	sein	V	VAFIN	3|Sg|Past|Ind	6	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	alles	alle	P	PIS	Neut|Nom|Sg	16	subj	_	_
16	gewann	gewinnen	V	VVFIN	3|Sg|Past|Ind	13	kon	_	_
17	Leben	Leben	N	NN	Neut|_|_	16	obja	_	_
18	,	,	$	$,	_	0	root	480)	480)
19	und	und	K	KON	_	16	kon	480)	480)
20	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	480)	480)
21	war	sein	V	VAFIN	_|Sg|Past|Ind	19	cj	480)	480)
22	unvergeßlich	unvergeßlich	A	ADJD	Pos|	21	adv	480)	480)
23	schön	schön	A	ADJD	Pos|	21	pred	480)	480)
24	.	.	$	$.	_	0	root	480)	480)

1	Auf	auf	P	APPR	Dat	4	pp	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	481	481
3	Heimwege	Heimweg	N	NN	Masc|Dat|Sg	1	pn	481	481
4	tauschte	tauschen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	Schach	Schach	N	NN	Neut|Nom|Sg	4	subj	99	99
6	und	und	K	KON	_	4	kon	_	_
7	führte	führen	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	mich	ich	P	PPER	1|Sg|_|Acc	7	obja	476	476
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	481	481
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	anziehend	anziehen	A	ADJD	_|<PPRES	2	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	4	kon	_	_
7	in	in	P	APPR	Dat	6	cj	_	_
8	einem	eine	A	ART	Indef|Masc|Dat|Sg	9	det	482	482
9	Tone	Ton	N	NN	Masc|Dat|Sg	7	pn	482	482
10	,	,	$	$,	_	0	root	482	482
11	der	die	P	PRELS	Masc|Nom|Sg	15	subj	482	482
12	mir	ich	P	PPER	1|Sg|_|Dat	15	objd	476	476
13	ebenso	ebenso	A	ADV	_	14	adv	_	_
14	wohl	wohl	A	ADV	_	15	adv	_	_
15	tat	tun	V	VVFIN	3|Sg|Past|Ind	9	rel	_	_
16	,	,	$	$,	_	0	root	_	_
17	als	als	K	KOUS	_	20	konj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	481	481
19	mich	ich	P	PPER	1|Sg|_|Acc	20	obja	476	476
20	überraschte	überraschen	V	VVFIN	3|Sg|Past|_	15	neb	_	_
21	.	.	$	$.	_	0	root	_	_

1	Jedes	jede	A	PIDAT	Neut|Nom|Sg	2	det	_	_
2	Wort	Wort	N	NN	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	476	476
5	noch	noch	A	ADV	_	9	adv	_	_
6	in	in	P	APPR	Dat	9	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	_	_
8	Erinnerung	Erinnerung	N	NN	Fem|Dat|Sg	6	pn	_	_
9	geblieben	bleiben	V	VVPP	_	3	aux	_	_
10	und	und	K	KON	_	3	kon	_	_
11	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	10	cj	_	_
12	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	476	476
13	zu	zu	P	PTKZU	_	14	part	_	_
14	denken	denken	V	VVINF	_	11	obji	_	_
15	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	was	was	P	PWS	Neut|Nom|Sg	3	subj	_	_
3	geschah	geschehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	?	?	$	$.	_	0	root	_	_

1	Als	Als	K	KOKOM	_	4	kom	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	1	cj	_	_
3	wieder	wieder	A	ADV	_	2	adv	_	_
4	am	an	P	APPRART	Dat	8	pp	_	_
5	Eingange	Eingang	N	NN	Masc|Dat|Sg	4	pn	484	484
6	des	die	A	ART	Def|Neut|Gen|Sg	7	det	483	483
7	Dorfes	Dorf	N	NN	Neut|Gen|Sg	5	gmod	483	483
8	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wurd	wurd	K	KOUS	_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	0	root	484	484
12	schweigsamer	schweigsam	A	ADJD	Comp|	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	wartete	warten	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	auf	auf	P	APPR	Acc	14	pp	_	_
16	die	die	A	ART	Def|Fem|Acc|Sg	17	det	280	280
17	Mama	Mama	N	NN	Fem|Acc|Sg	15	pn	280	280
18	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	bot	bieten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	484	484
4	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	280	280
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	447	447
6	Arm	Arm	N	NN	Masc|Acc|Sg	2	obja	447	447
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	2	kon	_	_
9	so	so	A	ADV	_	10	adv	_	_
10	gingen	gehen	V	VVFIN	3|Pl|Past|_	8	cj	_	_
11	sie	sie	P	PPER	3|Pl|_|Nom	10	subj	_	_
12	durch	durch	P	APPR	Acc	10	pp	_	_
13	das	die	A	ART	Def|Neut|Acc|Sg	14	det	483	483
14	Dorf	Dorf	N	NN	Neut|Acc|Sg	12	pn	483	483
15	nach	nach	P	APPR	Dat	10	pp	_	_
16	dem	die	A	ART	Def|Neut|Dat|Sg	17	det	448	448
17	Gasthause	Gasthaus	N	NN	Neut|Dat|Sg	15	pn	448	448
18	zurück	zurück	P	PTKVZ	_	10	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	wo	wo	P	PWAV	_	23	adv	_	_
21	die	die	A	ART	Def|_|Nom|Pl	22	det	832	832
22	Wagen	Wage	N	NN	_|Nom|Pl	23	subj	832	832
23	hielten	halten	V	VVFIN	3|Pl|Past|_	10	rel	_	_
24	und	und	K	KON	_	23	kon	_	_
25	viele	viele	A	PIDAT	_|Nom|Pl	26	det	_	_
26	Leute	Leute	N	NN	_|Nom|Pl	28	subj	_	_
27	versammelt	versammeln	V	VVPP	_	28	aux	_	_
28	waren	sein	V	VAFIN	3|Pl|Past|Ind	24	cj	_	_
