1	O	O	N	NN	Neut|_|_	5	vok	34	34
12	schon	schon	A	ADV	_	13	adv	_	_
13	wissen	wissen	V	VVINF	_	11	aux	_	_
14	,	,	$	$,	_	0	root	_	_
15	wie	wie	P	PWAV	_	16	adv	_	_
16	weit	weit	A	ADJD	Pos|	19	adv	_	_
17	meine	meine	A	PPOSAT	_|Nom|Sg	18	det	173	173
18	Langmut	Langmut	N	NN	_|Nom|Sg	19	subj	206	206
19	reicht	reichen	V	VVFIN	3|Sg|Pres|Ind	13	objc	_	_
20	!	!	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	nickte	nicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	206	206
4	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	173	173
5	zu	zu	P	PTKVZ	_	2	avz	_	_
6	:	\:	$	$.	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Gewiß	gewiß	A	ADJD	Pos|	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	173	173
11	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
12	auch	auch	A	ADV	_	14	adv	_	_
13	gnädig	gnädig	A	ADJD	Pos|	14	pred	_	_
14	sein	sein	V	VAINF	_	11	aux	_	_
15	!	!	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Ein	ein	A	ART	Indef|_|_|Sg	5	det	_	_
4	paar	paar	A	PIDAT	Masc|Nom|Pl	5	attr	_	_
5	Tage	Tag	N	NN	Masc|Nom|Pl	6	subj	_	_
6	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
7	hingegangen	hingehen	V	VVPP	_	6	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	6	kon	_	_
10	diese	diese	P	PDS	Fem|Nom|Sg	11	subj	_	_
11	erregte	erregen	V	VVFIN	3|Sg|Past|_	9	cj	_	_
12	Heiterkeit	Heiterkeit	N	NN	Fem|_|Sg	11	obja	_	_
13	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
14	mich	ich	P	PPER	1|Sg|_|Acc	16	obja	173	173
15	jedesmal	jedesmal	A	ADV	_	16	adv	_	_
16	empfangen	empfangen	V	VVINF	_	0	root	_	_
17	;	;	$	$.	_	0	root	_	_
18	ich	ich	P	PPER	1|Sg|_|Nom	19	subj	173	173
19	glaubte	glauben	V	VVFIN	1|Sg|Past|_	0	root	_	_
20	nun	nun	A	ADV	_	19	adv	_	_
21	bald	bald	A	ADV	_	19	adv	_	_
22	dort	dort	A	ADV	_	24	adv	_	_
23	zu	zu	P	PTKZU	_	24	part	_	_
24	sein	sein	V	VAINF	_	19	obji	_	_
25	,	,	$	$,	_	0	root	_	_
26	wo	wo	P	PWAV	_	30	adv	_	_
27	das	die	A	ART	Def|Neut|Nom|Sg	28	det	_	_
28	Siegel	Siegel	N	NN	Neut|Nom|Sg	32	subj	_	_
29	mir	ich	P	PPER	1|Sg|_|Dat	30	objd	173	173
30	gebrochen	brechen	V	VVPP	_	31	aux	_	_
31	werden	werden	V	VAINF	_	32	aux	_	_
32	sollte	sollen	V	VMFIN	3|Sg|Past|_	24	objc	_	_
33	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	0	root	173	173
3	aber	aber	A	ADV	_	5	adv	_	_
4	eines	eine	A	ART	Indef|_|Gen|Sg	5	det	_	_
5	Mittags	Mittag	N	NN	_|Gen|Sg	0	root	_	_
6	ins	in	P	APPRART	Acc	5	pp	_	_
7	Haus	Haus	N	NN	Neut|Acc|Sg	6	pn	41	41
8	trat	treten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	fand	finden	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	173	173
12	Elsi	Elsi	N	NE	_	10	obja	157	157
13	weder	weder	K	KON	_	0	root	_	_
14	im	in	P	APPRART	_|Dat	0	root	_	_
15	Wohn-	Wohn-	T	TRUNC	Dat	0	root	_	_
16	noch	noch	K	KON	_	15	kon	_	_
17	im	in	P	APPRART	Dat	16	cj	_	_
18	Eßzimmer	Eßzimmer	N	NN	Neut|Dat|Sg	17	pn	_	_
19	,	,	$	$,	_	0	root	_	_
20	auch	auch	A	ADV	_	21	adv	_	_
21	draußen	draußen	A	ADV	_	17	kon	_	_
22	nicht	nicht	P	PTKNEG	_	17	adv	_	_
23	.	.	$	$.	_	0	root	_	_

1	Auf	auf	P	APPR	Acc	7	pp	_	_
2	meine	meine	A	PPOSAT	Fem|Acc|Sg	3	det	173	173
3	Frage	Frage	N	NN	Fem|Acc|Sg	1	pn	_	_
4	an	an	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	207	207
6	Hausmagd	Hausmagd	N	NN	Fem|Acc|Sg	4	pn	207	207
7	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	9	objd	173	173
9	berichtet	berichten	V	VVPP	_	7	aux	_	_
10	:	\:	$	$.	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	Frau	Frau	N	NN	Masc|Nom|Sg	14	pred	407	407
13	Doktor	Doktor	N	NN	Masc|Nom|Sg	12	app	407	407
14	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
15	unwohl	unwohl	A	ADJD	_	14	adv	_	_
16	und	und	K	KON	_	14	kon	_	_
17	haben	haben	V	VAFIN	_|Pl|Pres|_	16	cj	_	_
18	sich	sie	P	PRF	3|_|_	21	obja	_	_
19	ins	in	P	APPRART	Acc	21	objp	_	_
20	Bett	Bett	N	NN	Neut|Acc|Sg	19	pn	208	208
21	gelegt	legen	V	VVPP	_	17	aux	_	_
22	;	;	$	$.	_	0	root	_	_
23	Frau	Frau	N	NN	Masc|_|Sg	25	obja	_	_
24	Rechtsanwalt	Rechtsanwalt	N	NN	Masc|_|Sg	23	app	_	_
25	leisten	leisten	V	VVFIN	_|Pl|Pres|_	0	root	_	_
26	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	27	det	207	207
27	Gesellschaft	Gesellschaft	N	NN	Masc|Nom|Sg	0	root	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	173	173
2	lief	laufen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
4	die	die	A	ART	Def|Fem|_|Pl	5	det	211	211
5	Treppen	Treppe	N	NN	Fem|_|Pl	2	obja	211	211
6	hinauf	hinauf	A	ADV	_	2	adv	_	_
7	nach	nach	P	APPR	Dat	2	pp	_	_
8	unserem	unsre	A	PPOSAT	Neut|Dat|Sg	9	det	210	210
9	Schlafzimmer	Schlafzimmer	N	NN	Neut|Dat|Sg	7	pn	_	_
10	und	und	K	KON	_	2	kon	_	_
11	sah	sehen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	beim	bei	P	APPRART	Dat	11	pp	_	_
13	Eintritt	Eintritt	N	NN	Masc|Dat|Sg	12	pn	_	_
14	schon	schon	A	ADV	_	11	adv	_	_
15	Frau	Frau	N	NN	Fem|_|Sg	11	obja	172	172
16	Käthe	Käthe	N	NE	Fem|_|Sg	15	app	172	172
17	an	an	P	APPR	_	11	pp	_	_
18	Elsis	Elsis	N	NE	_|_|_	17	pn	227	227
19	Bette	Bett	N	NN	Neut|Dat|Sg	11	objd	208	208
20	sitzen	sitzen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Doktor	Doktor	N	NN	Masc|_|Sg	0	root	209	209
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	sie	sie	P	PPER	3|Sg|Fem|Nom	7	subj	172	172
9	mir	ich	P	PPER	1|Sg|_|Dat	7	objd	173	173
10	entgegen	entgegen	P	PTKVZ	_	7	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	da	da	A	ADV	_	14	adv	_	_
14	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
15	unser	unsre	A	PPOSAT	Masc|Nom|Sg	17	det	210	210
16	junger	jung	A	ADJA	Pos|Masc|Nom|Sg|St|	17	attr	_	_
17	Übermut	Übermut	N	NN	Masc|Nom|Sg	14	subj	_	_
18	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	173	173
2	denk	denk	V	VVFIN	1|Sg|_|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Ihr	ihre	A	PPOSAT	Masc|Nom|Sg	5	det	172	172
5	Anblick	Anblick	N	NN	Masc|Nom|Sg	6	subj	_	_
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	2	kon	_	_
7	sie	sie	P	PPER	3|_|_|_	11	obja	172	172
8	wohl	wohl	A	ADV	_	11	adv	_	_
9	am	am	P	PTKA	_	10	adv	_	_
10	schnellsten	schnellsten	A	ADJD	_	11	adv	_	_
11	heilen	heilen	V	VVINF	_	6	aux	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
3	Übermut	Übermut	N	NN	Masc|Acc|Sg	17	obja	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sagte	sagen	V	VVFIN	1|Sg|Past|_	3	par	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	173	173
8	,	,	$	$,	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
11	Sie	sie	P	PPER	3|Pl|_|Nom	10	subj	211	211
12	zuerst	zuerst	A	ADV	_	17	adv	_	_
13	an	an	P	APPR	Dat	17	pp	_	_
14	meinem	meine	A	PPOSAT	Neut|Dat|Sg	16	det	173	173
15	zaghaften	zaghaft	A	ADJA	Pos|Neut|Dat|Sg|Wk|	16	attr	_	_
16	Weibe	Weib	N	NN	Neut|Dat|Sg	13	pn	_	_
17	entdeckt	entdecken	V	VVPP	_	18	aux	_	_
18	haben	haben	V	VAINF	_	10	aux	_	_
19	!	!	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
4	möglich	möglich	A	ADJD	Pos|	3	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	Doktor	Doktor	N	NN	Masc|_|Sg	3	vok	209	209
7	;	;	$	$.	_	0	root	_	_
8	aber	aber	K	KON	_	0	root	_	_
9	haben	haben	V	VAFIN	3|Pl|Pres|_	8	cj	_	_
10	Sie	sie	P	PPER	3|Pl|_|Nom	9	subj	211	211
11	Lateiner	Lateiner	N	NN	_	9	obja	_	_
12	nicht	nicht	P	PTKNEG	_	14	adv	_	_
13	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	_	_
14	Sprichwort	Sprichwort	N	NN	Neut|_|Sg	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	25	konj	_	_
17	die	die	A	ART	Def|Fem|Nom|Sg	18	det	212	212
18	Natur	Natur	N	NN	Fem|Nom|Sg	25	subj	212	212
19	selbst	selbst	A	ADV	_	24	adv	_	_
20	mit	mit	P	APPR	Dat	24	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	_	_
22	Furke	Furke	N	NN	Fem|Dat|Sg	20	pn	_	_
23	nicht	nicht	P	PTKNEG	_	24	adv	_	_
24	herauszutreiben	heraustreiben	V	VVIZU	_	25	obji	_	_
25	sei	sein	V	VAFIN	3|Sg|Pres|Subj	14	objc	_	_
26	?	?	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nun	nun	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	und	und	K	KON	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wart	sein	V	VAFIN	2|Pl|Past|Ind	0	root	_	_
5	nur	nur	A	ADV	_	4	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	Elsi	Elsi	N	NE	Fem|Nom|Sg	0	root	181	181
8	«	«	$	$(	_	0	root	181	181
9	,	,	$	$,	_	0	root	181	181
10	unterbrach	unterbrechen	V	VVFIN	3|Sg|Past|Ind	0	root	181	181
11	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	181	181
12	sich	sie	P	PRF	3|_|_	10	obja	_	_
13	und	und	K	KON	_	10	kon	_	_
14	ergriff	ergreifen	V	VVFIN	_|Sg|Past|Ind	13	cj	_	_
15	deren	die	A	PDAT	Fem|_|Pl	17	det	_	_
16	beide	beide	A	PIDAT	Fem|_|Pl	17	attr	_	_
17	Hände	Hand	N	NN	Fem|_|Pl	14	obja	_	_
18	,	,	$	$,	_	0	root	_	_
19	die	die	P	PRELS	Fem|Nom|Sg	26	subj	181	181
20	sie	sie	P	PPER	3|_|_|_	25	obja	212	212
21	vom	von	P	APPRART	Dat	25	pp	_	_
22	Bett	Bett	N	NN	Neut|Dat|Sg	21	pn	208	208
23	aus	aus	A	APZR	_	21	part	_	_
24	mir	ich	P	PPER	1|Sg|_|Dat	25	objd	213	213
25	entgegenstrecken	entgegenstrecken	V	VVINF	_	26	aux	_	_
26	wollte	wollen	V	VMFIN	3|Sg|Past|_	7	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	ich	ich	P	PPER	1|Sg|_|Nom	30	subj	213	213
30	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
31	es	es	P	PPER	3|Sg|Neut|_	33	obja	_	_
32	schon	schon	A	ADV	_	33	adv	_	_
33	erzählen	erzählen	V	VVINF	_	30	aux	_	_
34	:	\:	$	$.	_	0	root	_	_
35	Sie	sie	P	PPER	3|Pl|_|Nom	36	subj	211	211
36	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	_
37	nämlich	nämlich	A	ADV	_	38	adv	_	_
38	wissen	wissen	V	VVINF	_	36	aux	_	_
39	,	,	$	$,	_	0	root	_	_
40	Doktor	Doktor	N	NN	Masc|_|Sg	0	root	209	209
41	,	,	$	$,	_	0	root	_	_
42	dies	dies	P	PDS	Neut|_|Sg	0	root	_	_
43	junge	jung	A	ADJA	Pos|Neut|Nom|Sg|Wk|	45	attr	215	215
44	zarte	zart	A	ADJA	Pos|Neut|Nom|Sg|Wk|	45	attr	215	215
45	Geschöpf	Geschöpf	N	NN	Neut|Nom|Sg	46	subj	215	215
46	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
47	seit	seit	P	APPR	Dat	46	pp	_	_
48	jenem	jene	A	PDAT	Masc|Dat|Sg	49	det	_	_
49	Ohnmachtsabend	Ohnmachtsabend	N	NN	Masc|Dat|Sg	47	pn	_	_
50	in	in	P	APPR	Dat	46	pp	_	_
51	unserem	unsre	A	PPOSAT	Neut|Dat|Sg	52	det	218	218
52	Hause	Haus	N	NN	Neut|Dat|Sg	50	pn	_	_
53	an	an	P	APPR	Dat	46	pp	_	_
54	jedem	jede	A	PIAT	_|Dat|Sg	55	det	_	_
55	Vormittage	Vormittag	N	NN	_|Dat|Sg	53	pn	_	_
56	und	und	K	KON	_	0	root	_	_
57	-	-	$	$(	_	0	root	_	_
58	nicht	nicht	P	PTKNEG	_	59	adv	_	_
59	wahr	wahr	A	ADJD	Pos|	0	root	_	_
60	,	,	$	$,	_	0	root	_	_
61	Elsi	Elsi	N	NE	_	0	root	157	157
62	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	hinter	hinter	P	APPR	Dat	17	pp	_	_
3	dem	die	A	ART	Def|_|Dat|Sg	4	det	214	214
4	Rücken	Rücken	N	NN	_|Dat|Sg	2	pn	214	214
5	ihres	ihre	A	PPOSAT	Masc|Gen|Sg	7	det	214	214
6	ärztlichen	ärztlich	A	ADJA	Pos|Masc|Gen|Sg|_|	7	attr	_	_
7	Ehemannes	Ehemann	N	NN	Masc|Gen|Sg	4	gmod	_	_
8	bei	bei	P	APPR	Dat	17	pp	_	_
9	jener	jene	A	PDAT	Fem|Dat|Sg	11	det	_	_
10	schrecklichen	schrecklich	A	ADJA	Pos|Fem|Dat|Sg|Wk|	11	attr	_	_
11	Patientin	Patientin	N	NN	Fem|Dat|Sg	8	pn	_	_
12	,	,	$	$,	_	0	root	_	_
13	der	die	A	ART	Def|Fem|Dat|Sg	15	det	_	_
14	alten	alt	A	ADJA	Pos|Fem|Dat|Sg|Wk|	15	attr	_	_
15	Hinz	Hinz	N	NN	Fem|Dat|Sg	11	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	gewesen	sein	V	VAPP	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	um	um	K	KOUI	_	22	konj	_	_
20	sie	sie	P	PPER	3|_|_|_	22	obja	215	215
21	zu	zu	P	PTKZU	_	22	part	_	_
22	trösten	trösten	V	VVINF	_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	erquicken	erquicken	V	VVINF	_	22	obji	_	_
26	-	-	$	$(	_	0	root	_	_
27	vor	vor	P	APPR	Dat	0	root	_	_
28	allem	alle	P	PIS	_|Dat|Sg	27	pn	_	_
29	aber	aber	A	ADV	_	27	adv	_	_
30	,	,	$	$,	_	0	root	_	_
31	um	um	K	KOUI	_	0	root	_	_
32	diesem	diese	A	PDAT	Masc|Dat|Sg	33	det	_	_
33	Ehemann	Ehemann	N	NN	Masc|Dat|Sg	34	objd	_	_
34	zuliebe	zulieben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
35	eine	eine	A	ART	Indef|Fem|Nom|Sg	36	det	_	_
36	Radikalkur	Radikalkur	N	NN	Fem|Nom|Sg	34	subj	_	_
37	gegen	gegen	P	APPR	Acc	36	pp	_	_
38	die	die	A	ART	Def|Fem|Acc|Sg	39	det	216	216
39	Weichheit	Weichheit	N	NN	Fem|Acc|Sg	37	pn	216	216
40	ihrer	ihre	A	PPOSAT	Fem|Gen|Sg	42	det	216	216
41	eigenen	eigen	A	ADJA	Pos|Fem|Gen|Sg|Wk|	42	attr	_	_
42	Seele	Seele	N	NN	Fem|Gen|Sg	39	gmod	_	_
43	zu	zu	P	PTKZU	_	44	part	_	_
44	vollbringen	vollbringen	V	VVINF	_	34	obji	_	_
45	;	;	$	$.	_	0	root	_	_
46	da	da	A	ADV	_	47	adv	_	_
47	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
48	nun	nun	A	ADV	_	56	adv	_	_
49	aber	aber	A	ADV	_	56	adv	_	_
50	die	die	A	ART	Def|_|_|_	52	det	_	_
51	arme	arm	A	ADJA	Pos|_|_|_|_|	52	attr	_	_
52	Alte	Alt	N	NN	_|_|_	56	obja	_	_
53	heute	heute	A	ADV	_	56	adv	_	_
54	ihren	ihre	A	PPOSAT	Masc|_|Sg	55	det	216	216
55	Anfall	Anfall	N	NN	Masc|_|Sg	56	obja	484	484
56	bekommen	bekommen	V	VVPP	_	47	aux	_	_
57	und	und	K	KON	_	56	kon	_	_
58	diese	diese	A	PDAT	Fem|Nom|Sg	59	det	_	_
59	Kur	Kur	N	NN	Fem|Nom|Sg	64	pred	_	_
60	damit	damit	P	PROAV	_	59	pp	_	_
61	ihr	ihre	A	PPOSAT	Neut|_|Sg	63	det	216	216
62	vorschnelles	vorschnell	A	ADJA	Pos|Neut|_|Sg|St|	63	attr	_	_
63	Ende	Ende	N	NN	Neut|_|Sg	64	obja	_	_
64	gefunden	finden	V	VVPP	_	57	cj	_	_
65	.	.	$	$.	_	0	root	_	_

1	Sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	211	211
3	nun	nun	A	ADV	_	1	adv	_	_
4	selber	selber	A	ADV	_	1	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	wie	wie	P	PWAV	_	16	adv	_	_
7	Sie	sie	P	PPER	3|Pl|_|Nom	16	subj	211	211
8	mit	mit	P	APPR	Dat	16	pp	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	11	det	_	_
10	wenig	wenig	A	PIDAT	Fem|Dat|Sg	11	attr	_	_
11	Kunst	Kunst	N	NN	Fem|Dat|Sg	8	pn	_	_
12	und	und	K	KON	_	11	kon	_	_
13	Liebe	Liebe	N	NN	Fem|Dat|Sg	12	cj	_	_
14	den	die	A	ART	Def|_|_|_	15	det	217	217
15	Schaden	Schaden	N	NN	Masc|Acc|Sg	16	obja	217	217
16	heilen	heilen	V	VVFIN	3|Pl|Pres|_	1	objc	217	217
17	,	,	$	$,	_	0	root	217	217
18	den	die	P	PRELS	Masc|Acc|Sg	25	obja	217	217
19	die	die	A	ART	Def|Fem|Nom|Sg	20	det	_	_
20	Rache	Rache	N	NN	Fem|Nom|Sg	26	subj	_	_
21	der	die	A	ART	Def|Fem|Gen|Sg	22	det	212	212
22	Natur	Natur	N	NN	Fem|Gen|Sg	20	gmod	212	212
23	unserem	unsre	A	PPOSAT	Neut|Dat|Sg	24	det	218	218
24	Kinde	Kind	N	NN	Neut|Dat|Sg	25	objd	_	_
25	zugefügt	zufügen	V	VVPP	_	26	aux	_	_
26	hat	haben	V	VAFIN	3|Sg|Pres|Ind	15	rel	_	_
27	.	.	$	$.	_	0	root	_	_
28	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	213	213
2	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	10	obja	_	_
4	indessen	indessen	A	ADV	_	10	adv	_	_
5	auf	auf	P	APPR	Acc	10	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	312	312
7	Rand	Rand	N	NN	Masc|Acc|Sg	5	pn	312	312
8	des	die	A	ART	Def|Neut|Gen|Sg	9	det	219	219
9	Bettes	Bett	N	NN	Neut|Gen|Sg	7	gmod	219	219
10	gesetzt	setzen	V	VVPP	_	2	aux	_	_
11	;	;	$	$.	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	213	213
13	sah	sehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	daß	daß	K	KOUS	_	19	konj	_	_
16	Else	Else	N	NE	_|Nom|Sg	19	subj	156	156
17	stark	stark	A	ADJD	Pos|	18	adv	_	_
18	geweint	weinen	V	VVPP	_	19	aux	_	_
19	hatte	haben	V	VAFIN	3|Sg|Past|Ind	13	objc	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	19	kon	_	_
22	ihr	ihre	A	PPOSAT	Masc|Nom|Sg	23	det	156	156
23	Puls	Puls	N	NN	Masc|Nom|Sg	24	subj	_	_
24	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	21	cj	_	_
25	wie	wie	K	KOKOM	_	24	kom	_	_
26	im	in	P	APPRART	Dat	25	cj	_	_
27	Fieber	Fieber	N	NN	Neut|Dat|Sg	26	pn	_	_
28	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	156	156
2	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	ihre	ihre	A	PPOSAT	Fem|_|Sg	5	det	156	156
4	heiße	heiß	A	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	_
5	Stirn	Stirn	N	NN	Fem|_|Sg	2	obja	_	_
6	auf	auf	P	APPR	Acc	2	objp	_	_
7	meine	meine	A	PPOSAT	Fem|Acc|Pl	8	det	213	213
8	Hände	Hand	N	NN	Fem|Acc|Pl	6	pn	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
13	so	so	A	ADV	_	12	adv	_	_
14	,	,	$	$,	_	0	root	_	_
15	Franz	Franz	N	NE	_|_|Sg	0	root	34	34
16	,	,	$	$,	_	0	root	_	_
17	wie	wie	P	PWAV	_	21	adv	_	_
18	Käthe	Käthe	N	NE	Fem|Nom|Sg	22	subj	172	172
19	es	es	P	PPER	3|Sg|Neut|_	21	obja	_	_
20	dir	du	P	PPER	2|Sg|_|Dat	21	objd	220	220
21	gesagt	sagen	V	VVPP	_	22	aux	_	_
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	22	kon	_	_
25	das	die	P	PDS	Neut|Nom|Sg	26	subj	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	24	cj	_	_
27	die	die	A	ART	Def|Fem|Nom|Sg	29	det	_	_
28	traurige	traurig	A	ADJA	Pos|Fem|Nom|Sg|_|	29	attr	_	_
29	Lösung	Lösung	N	NN	Fem|Nom|Sg	26	pred	_	_
30	meines	meine	A	PPOSAT	Neut|Gen|Sg	31	det	213	213
31	Geheimnisses	Geheimnis	N	NN	Neut|Gen|Sg	29	gmod	_	_
32	;	;	$	$.	_	0	root	_	_
33	ich	ich	P	PPER	1|Sg|_|Nom	38	pred	213	213
34	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
35	dir	du	P	PRF	2|Sg|Dat	38	objd	_	_
36	eine	eine	A	ART	Indef|Fem|_|Sg	37	det	_	_
37	Freud	Freud	N	NN	Fem|_|Sg	38	obja	_	_
38	machen	machen	V	VVINF	_	34	aux	_	_
39	,	,	$	$,	_	0	root	_	_
40	und	und	K	KON	_	34	kon	_	_
41	es	es	P	PPER	3|Sg|Neut|Nom	42	subj	_	_
42	ist	sein	V	VAFIN	3|Sg|Pres|Ind	40	cj	_	_
43	nun	nun	A	ADV	_	42	adv	_	_
44	Trübsal	Trübsal	N	NN	Fem|Nom|Sg	42	pred	_	_
45	.	.	$	$.	_	0	root	_	_
46	«	«	$	$(	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	213	213
2	suchte	suchen	V	VVFIN	1|Sg|Past|_	0	root	_	_
3	sie	sie	P	PPER	3|_|_|_	5	obja	25	25
4	zu	zu	P	PTKZU	_	5	part	_	_
5	beruhigen	beruhigen	V	VVINF	_	2	obji	_	_
