1	Selbige	selbige	P	PDS	_|Nom|Sg	3	subj	_	_
20	träumet	träumen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
21	Ihr	ihr	P	PPER	2|Pl|_|Nom	20	subj	_	_
22	denn	denn	A	ADV	_	20	adv	_	_
23	?	?	$	$.	_	0	root	_	_
24	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	flog	fliegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
4	schmerzlich	schmerzlich	A	ADJD	Pos|	5	adv	_	_
5	Lächeln	Lächeln	N	NN	Neut|Nom|Sg	2	subj	_	_
6	über	über	P	APPR	Acc	2	pp	_	_
7	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	8	det	418	418
8	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	6	pn	_	_
9	:	\:	$	$.	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	Ich	ich	P	PPER	1|Sg|_|Nom	12	subj	389	389
12	glaub	glaub	V	VVFIN	1|Sg|_|_	0	root	_	_
13	wohl	wohl	A	ADV	_	12	adv	_	_
14	fast	fast	A	ADV	_	12	adv	_	_
15	,	,	$	$,	_	0	root	_	_
16	Johannes	Johannes	N	NE	Masc|_|Sg	12	vok	129	129
17	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Das	die	A	ART	Def|Neut|Nom|Sg	3	det	34	34
3	Leben	Leben	N	NN	Neut|Nom|Sg	4	subj	34	34
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	so	so	A	ADV	_	6	adv	_	_
6	hart	hart	A	ADJD	Pos|	4	pred	_	_
7	;	;	$	$.	_	0	root	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
9	Traum	Traum	N	NN	Masc|Nom|Sg	10	subj	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
11	süß	süß	A	ADJD	Pos|	10	pred	_	_
12	!	!	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	Als	Als	K	KOUS	_	12	konj	_	_
2	aber	aber	A	ADV	_	12	adv	_	_
3	von	von	P	APPR	_	12	pp	_	_
4	unten	unten	A	ADV	_	3	adv	_	_
5	aus	aus	P	APPR	Dat	12	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	14	14
7	Garten	Garten	N	NN	Masc|Dat|Sg	5	pn	14	14
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	_	_
9	Geheul	Geheul	N	NN	Neut|Nom|Sg	12	subj	_	_
10	aufs	auf	P	APPRART	Acc	12	pp	_	_
11	Neu	Neu	N	NN	_|Acc|_	10	pn	_	_
12	heraufkam	heraufkommen	V	VVFIN	3|Sg|Past|Ind	14	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	418	418
16	erschreckt	erschrecken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
17	empor	empor	P	PTKVZ	_	16	avz	_	_
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Die	die	A	ART	Def|Masc|_|Pl	3	det	_	_
3	Hunde	Hund	N	NN	Masc|_|Pl	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Johannes	Johannes	N	NE	Masc|_|Sg	3	app	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	418	418
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|Nom|Sg	3	pred	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
5	mit	mit	P	APPR	Dat	3	pp	_	_
6	den	die	A	ART	Def|Masc|Dat|Pl	7	det	169	169
7	Hunden	Hund	N	NN	Masc|Dat|Pl	5	pn	169	169
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	193	193
3	«	«	$	$(	_	0	root	193	193
4	,	,	$	$,	_	0	root	193	193
5	sagte	sagen	V	VVFIN	1|Sg|Past|_	2	par	193	193
6	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	193	193
7	,	,	$	$,	_	0	root	419)	419)
8	»	»	$	$(	_	0	root	419)	419)
9	wenn	wenn	K	KOUS	_	13	konj	419)	419)
10	ich	ich	P	PPER	1|Sg|_|Nom	13	subj	419	419
11	Euch	ihr	P	PPER	2|Pl|_|Dat	12	objd	_	_
12	dienen	dienen	V	VVINF	_	13	aux	_	_
13	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	16	neb	_	_
14	,	,	$	$,	_	0	root	_	_
15	so	so	A	ADV	_	16	adv	_	_
16	glaub	glaub	V	VVFIN	1|Sg|_|_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	419	419
18	,	,	$	$,	_	0	root	_	_
19	es	es	P	PPER	3|Sg|Neut|Nom	20	subj	_	_
20	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	16	kon	_	_
21	bald	bald	A	ADV	_	22	adv	_	_
22	geschehen	geschehen	V	VVINF	_	20	aux	_	_
23	;	;	$	$.	_	0	root	_	_
24	denn	denn	K	KON	_	0	root	_	_
25	es	es	P	PPER	3|Sg|Neut|Nom	26	subj	_	_
26	fehlt	fehlen	V	VVFIN	3|Sg|Pres|Ind	24	cj	_	_
27	viel	viel	P	PIS	_|Dat|_	26	objd	_	_
28	,	,	$	$,	_	0	root	_	_
29	daß	daß	K	KOUS	_	40	konj	_	_
30	ich	ich	P	PPER	1|Sg|_|Nom	40	subj	419	419
31	noch	noch	A	ADV	_	39	adv	_	_
32	einmal	einmal	A	ADV	_	39	adv	_	_
33	durch	durch	P	APPR	Acc	39	pp	_	_
34	die	die	A	ART	Def|_|Acc|_	35	det	398	398
35	Thür	Thür	N	NN	_|Acc|_	33	pn	398	398
36	in	in	P	APPR	Acc	39	objp	_	_
37	dieses	diese	A	PDAT	Neut|Acc|Sg	38	det	57	57
38	Haus	Haus	N	NN	Neut|Acc|Sg	36	pn	57	57
39	gelangen	gelangen	V	VVINF	_	40	aux	_	_
40	sollte	sollen	V	VMFIN	1|Sg|Past|_	26	objc	_	_
41	.	.	$	$.	_	0	root	_	_
42	«	«	$	$(	_	0	root	_	_
43	Dabei	Dabei	P	PROAV	_	44	pp	_	_
44	hatte	haben	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
45	ich	ich	P	PPER	1|Sg|_|Nom	44	subj	419	419
46	den	die	A	ART	Def|Masc|Acc|Sg	47	det	376	376
47	Brief	Brief	N	NN	Masc|Acc|Sg	51	obja	376	376
48	aus	aus	P	APPR	Dat	51	pp	_	_
49	meinem	meine	A	PPOSAT	Neut|Dat|Sg	50	det	419	419
50	Täschlein	Täschlein	N	NN	Neut|Dat|Sg	48	pn	_	_
51	hervorgezogen	hervorziehen	V	VVPP	_	44	aux	_	_
52	und	und	K	KON	_	0	root	_	_
53	erzählete	erzählete	N	NE	_	52	cj	723	723
54	auch	auch	A	ADV	_	53	adv	723	723
55	,	,	$	$,	_	0	root	_	_
56	wie	wie	P	PWAV	_	64	adv	_	_
57	ich	ich	P	PPER	1|Sg|_|Nom	64	subj	419	419
58	im	in	P	APPRART	Dat	64	pp	_	_
59	Kruge	Krug	N	NN	Masc|Dat|Sg	58	pn	420	420
60	drunten	drunten	N	NE	_|Nom|_	64	pred	421	421
61	mit	mit	P	APPR	Dat	64	pp	_	_
62	den	die	A	ART	Def|Masc|Dat|Pl	63	det	244	244
63	Junkern	Junker	N	NN	Masc|Dat|Pl	61	pn	244	244
64	sei	sein	V	VAFIN	1|Sg|Pres|Subj	0	root	_	_
65	in	in	P	APPR	_	64	pp	_	_
66	Streit	Streit	N	NN	Masc|_|Sg	65	pn	451	451
67	gerathen	gerathen	N	NE	Masc|_|Sg	66	app	451	451
68	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	421	421
2	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	345	345
4	Schreiben	Schreibe	N	NN	Neut|_|Sg	2	obja	345	345
5	in	in	P	APPR	Acc	2	objp	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
7	hellen	hell	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Mondenschein	Mondenschein	N	NN	Masc|Acc|Sg	5	pn	_	_
9	und	und	K	KON	_	2	kon	_	_
10	las	lesen	V	VVFIN	_|Sg|Past|Ind	9	cj	_	_
11	;	;	$	$.	_	0	root	_	_
12	dann	dann	A	ADV	_	13	adv	_	_
13	schaute	schauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	421	421
15	mich	ich	P	PPER	1|Sg|_|Acc	13	obja	419	419
16	voll	voll	A	ADJD	Pos|	13	adv	_	_
17	und	und	K	KON	_	16	kon	_	_
18	herzlich	herzlich	A	ADJD	Pos|	17	cj	_	_
19	an	an	P	PTKVZ	_	13	avz	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	13	kon	_	_
22	wir	wir	P	PPER	1|Pl|_|Nom	23	subj	422	422
23	beredeten	bereden	V	VVFIN	1|Pl|Past|_	21	cj	_	_
24	,	,	$	$,	_	0	root	_	_
25	wie	wie	P	PWAV	_	32	adv	_	_
26	wir	wir	P	PPER	1|Pl|_|Nom	33	subj	422	422
27	uns	wir	P	PRF	1|Pl|_	32	obja	_	_
28	morgen	morgen	A	ADV	_	32	adv	_	_
29	in	in	P	APPR	Dat	32	pp	_	_
30	dem	die	A	ART	Def|Masc|Dat|Sg	31	det	_	_
31	Tannenwalde	Tannenwald	N	NN	Masc|Dat|Sg	29	pn	_	_
32	treffen	treffen	V	VVINF	_	33	aux	_	_
33	wollten	wollen	V	VMFIN	1|Pl|Past|_	23	objc	_	_
34	;	;	$	$.	_	0	root	_	_
35	denn	denn	K	KON	_	0	root	_	_
36	Katharina	Katharina	N	NN	Fem|Nom|Sg	37	subj	115	115
37	sollte	sollen	V	VMFIN	3|Sg|Past|_	35	cj	_	_
38	noch	noch	A	ADV	_	40	adv	_	_
39	zuvor	zuvor	A	ADV	_	40	adv	_	_
40	erkunden	erkunden	V	VVINF	_	37	aux	_	_
41	,	,	$	$,	_	0	root	_	_
42	auf	auf	P	APPR	Acc	53	pp	_	_
43	welchen	welche	A	PWAT	Masc|Acc|Sg	44	det	_	_
44	Tag	Tag	N	NN	Masc|Acc|Sg	42	pn	_	_
45	des	die	A	ART	Def|_|Gen|Sg	46	det	_	_
46	Junker	Junker	N	NN	_|Gen|Sg	44	gmod	_	_
47	Wulfen	Wulfen	N	NE	_|Nom|Sg	53	subj	423	423
48	Abreise	Abreise	N	NN	Fem|Nom|Sg	53	pred	_	_
49	zum	zu	P	APPRART	Dat	53	pp	_	_
50	Kieler	Kieler	A	ADJA	Pos|_|Dat|_|_|	51	attr	_	_
51	Johannismarkte	Johannismarkte	N	NN	_|Dat|_	49	pn	_	_
52	festgesetzet	festgesetzet	N	NE	_|Dat|_	51	app	_	_
53	sei	sein	V	VAFIN	3|Sg|Pres|Subj	40	objc	_	_
54	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	nun	nun	A	ADV	_	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	Katharina	Katharina	N	NN	Fem|_|Sg	0	root	115	115
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sprach	sprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	419	419
10	,	,	$	$,	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	habt	haben	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
13	Ihr	ihr	P	PPER	2|Pl|_|Nom	12	subj	_	_
14	nicht	nicht	P	PTKNEG	_	12	adv	_	_
15	etwas	etwas	P	PIS	Neut|_|Sg	12	obja	_	_
16	,	,	$	$,	_	0	root	_	_
17	das	die	P	PRELS	Neut|Nom|Sg	21	subj	_	_
18	einer	eine	A	ART	Indef|Fem|Dat|Sg	19	det	_	_
19	Waffe	Waffe	N	NN	Fem|Dat|Sg	21	objd	_	_
20	gleich	gleich	A	ADJD	Pos|	21	adv	_	_
21	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	15	rel	_	_
22	,	,	$	$,	_	0	root	_	_
23	ein	eine	A	ART	Indef|Neut|_|Sg	25	det	_	_
24	eisern	eisern	A	ADJA	_|Neut|_|Sg|_	25	attr	_	_
25	Ellenmaß	Ellenmaß	N	NN	Neut|_|Sg	15	app	_	_
26	oder	oder	K	KON	_	25	kon	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	dergleichen	dergleichen	P	PIS	Neut|_|Sg	26	cj	_	_
29	,	,	$	$,	_	0	root	_	_
30	damit	damit	K	KOUS	_	0	root	_	_
31	ich	ich	P	PPER	1|Sg|_|Nom	0	root	419	419
32	der	die	A	ART	Def|_|_|_	0	root	_	_
33	beiden	beide	A	PIDAT	Neut|Nom|Pl	34	attr	_	_
34	Thiere	Thier	N	NN	Neut|Nom|Pl	35	subj	_	_
35	drunten	drunten	V	VVFIN	_|Pl|_|_	0	root	_	_
36	mich	ich	P	PPER	1|Sg|_|Acc	35	obja	419	419
37	erwehren	erwehren	V	VVINF	_	0	root	_	_
38	könne	können	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
39	?	?	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

1	Sie	sie	P	PPER	3|_|_|_	0	root	46	46
2	aber	aber	A	ADV	_	3	adv	_	_
3	schrak	schrak	A	ADJD	_	4	adv	_	_
4	jäh	jäh	A	ADJD	Pos|	0	root	_	_
5	wie	wie	K	KOKOM	_	4	kom	_	_
6	aus	aus	P	APPR	Dat	5	cj	_	_
7	einem	eine	A	ART	Indef|Masc|Dat|Sg	8	det	_	_
8	Traum	Traum	N	NN	Masc|Dat|Sg	6	pn	_	_
9	empor	empor	P	PTKVZ	_	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	sprichst	sprechen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	425	425
5	,	,	$	$,	_	0	root	_	_
6	Johannes	Johannes	N	NE	Masc|Nom|Sg	4	app	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	sie	sie	P	PPER	3|Sg|Fem|Nom	9	subj	46	46
11	;	;	$	$.	_	0	root	_	_
12	und	und	K	KON	_	0	root	_	_
13	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	14	det	46	46
14	Hände	Hand	N	NN	Fem|Nom|Pl	23	subj	424	424
15	,	,	$	$,	_	0	root	424	424
16	so	so	A	ADV	_	17	adv	424	424
17	bislang	bislang	A	ADV	_	18	adv	424	424
18	in	in	P	APPR	Dat	14	pp	424	424
19	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	20	det	424	424
20	Schoß	Schoß	N	NN	Masc|Dat|Sg	18	pn	_	_
21	geruhet	geruhet	N	NE	Masc|Dat|Sg	20	app	_	_
22	,	,	$	$,	_	0	root	_	_
23	griffen	greifen	V	VVFIN	3|Pl|Past|_	12	cj	_	_
24	nach	nach	P	APPR	Dat	23	objp	_	_
25	den	die	P	PDS	Masc|Acc|Sg	24	pn	_	_
26	meinen	meinen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
27	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	0	root	_	_
5	fort	fort	P	PTKVZ	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	0	root	_	_
8	fort	fort	P	PTKVZ	_	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	3	konj	_	_
2	drunten	drunten	N	NE	_|Nom|Sg	3	subj	421	421
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	178	178
5	Tod	Tod	N	NN	Masc|Nom|Sg	3	pred	178	178
6	;	;	$	$.	_	0	root	_	_
7	und	und	K	KON	_	0	root	_	_
8	gehst	gehen	V	VVFIN	2|Sg|Pres|Ind	7	cj	_	_
9	du	du	P	PPER	2|Sg|_|Nom	8	subj	425	425
10	,	,	$	$,	_	0	root	_	_
11	so	so	A	ADV	_	12	adv	_	_
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	kon	_	_
13	auch	auch	A	ADV	_	12	adv	_	_
14	hier	hier	A	ADV	_	12	adv	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	178	178
16	Tod	Tod	N	NN	Masc|Nom|Sg	12	subj	178	178
17	!	!	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	426	426
4	vor	vor	P	APPR	Acc	2	pp	_	_
5	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	6	det	421	421
6	hingeknieet	hingeknieet	N	NN	Neut|Acc|Sg	4	pn	_	_
7	und	und	K	KON	_	2	kon	_	_
8	lag	liegen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	an	an	P	APPR	Dat	8	objp	_	_
10	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	12	det	421	421
11	jungen	jung	A	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	_	_
12	Brust	Brust	N	NN	Fem|Dat|Sg	9	pn	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	8	kon	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	16	subj	_	_
16	umfingen	umfangen	V	VVFIN	1|Pl|Past|_	14	cj	_	_
17	uns	wir	P	PRF	1|Pl|_	16	obja	_	_
18	in	in	P	APPR	Dat	16	pp	_	_
19	großer	groß	A	ADJA	Pos|Fem|Dat|Sg|St|	20	attr	_	_
20	Herzensnoth	Herzensnoth	N	NN	Fem|Dat|Sg	18	pn	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ach	ach	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Käthe	Käthe	N	NE	Fem|_|Sg	0	root	428	428
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	sprach	sprechen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	426	426
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	was	was	P	PWS	Neut|_|Sg	12	obja	_	_
12	vermag	vermag	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
13	die	die	A	ART	Def|Fem|Nom|Sg	15	det	_	_
14	arme	arm	A	ADJA	Pos|Fem|Nom|Sg|_|	15	attr	_	_
15	Liebe	Liebe	N	NN	Fem|Nom|Sg	12	subj	_	_
16	denn	denn	A	ADV	_	12	adv	_	_
17	!	!	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	7	konj	_	_
2	auch	auch	A	ADV	_	7	adv	_	_
3	dein	deine	A	PPOSAT	Masc|Nom|Sg	4	det	114	114
4	Bruder	Bruder	N	NN	Masc|Nom|Sg	7	subj	425)	425)
5	Wulf	Wulf	N	NE	Masc|Nom|Sg	4	app	114	114
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
8	;	;	$	$.	_	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	426	426
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
11	kein	keine	A	PIAT	Masc|Nom|Sg	12	det	_	_
12	Edelmann	Edelmann	N	NN	Masc|Nom|Sg	10	pred	_	_
13	und	und	K	KON	_	10	kon	_	_
14	darf	dürfen	V	VMFIN	_|Sg|Pres|Ind	13	cj	_	_
15	nicht	nicht	P	PTKNEG	_	18	adv	_	_
16	um	um	P	APPR	Acc	18	pp	_	_
17	dich	du	P	PPER	2|Sg|_|Acc	16	pn	425	425
18	werben	werben	V	VVINF	_	14	aux	_	_
19	.	.	$	$.	_	0	root	_	_
20	«	«	$	$(	_	0	root	_	_

1	Sehr	sehr	A	ADV	_	2	adv	_	_
2	süß	süß	A	ADJD	Pos|	5	adv	_	_
3	und	und	K	KON	_	2	kon	_	_
4	sorglich	sorglich	A	ADJD	Pos|	3	cj	_	_
5	schauete	schauete	V	VVFIN	3|_|_|_	0	root	_	_
6	sie	sie	P	PPER	3|_|_|Nom	5	subj	46	46
7	mich	ich	P	PPER	1|Sg|_|Acc	5	obja	426	426
8	an	an	P	PTKVZ	_	5	avz	_	_
9	;	;	$	$.	_	0	root	_	_
10	dann	dann	A	ADV	_	11	adv	_	_
11	aber	aber	A	ADV	_	12	adv	_	_
12	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	12	subj	_	_
14	wie	wie	K	KOKOM	_	12	kom	_	_
15	Schelmerei	Schelmerei	N	NE	_	14	cj	_	_
16	aus	aus	P	APPR	Dat	12	objp	_	_
17	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	18	det	46	46
18	Munde	Mund	N	NN	Masc|Dat|Sg	16	pn	_	_
19	:	\:	$	$.	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	Kein	keine	A	PIAT	Masc|Nom|Sg	22	det	_	_
22	Edelmann	Edelmann	N	NN	Masc|Nom|Sg	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	Johannes	Johannes	N	NE	Masc|Nom|Sg	22	app	_	_
25	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	426	426
3	dächte	denken	V	VVFIN	1|Sg|Past|Subj	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	0	root	427	427
6	seiest	seiest	N	NE	_|Nom|Sg	5	app	427	427
7	auch	auch	A	ADV	_	6	adv	_	_
8	das	die	P	PDS	Neut|_|Sg	0	root	_	_
9	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	ach	ach	I	ITJ	_	0	root	_	_
4	nein	nein	P	PTKANT	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Dein	deine	A	PPOSAT	Masc|Nom|Sg	2	det	427	427
2	Vater	Vater	N	NN	Masc|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	nur	nur	A	ADV	_	3	adv	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	6	det	9	9
6	Freund	Freund	N	NN	Masc|Nom|Sg	3	pred	9	9
7	des	die	A	ART	Def|_|Gen|Sg	0	root	_	_
8	meinen	meine	P	PPOSS	_|_|_	0	root	_	_
9	-	-	$	$(	_	0	root	_	_
10	das	die	P	PDS	Neut|Nom|Sg	11	subj	_	_
11	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	der	die	A	ART	Def|Fem|Dat|Sg	13	det	404	404
13	Welt	Welt	N	NN	Fem|Dat|Sg	11	objd	404	404
14	wohl	wohl	A	ADV	_	11	adv	_	_
15	nicht	nicht	P	PTKNEG	_	11	adv	_	_
16	!	!	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nein	nein	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Käthe	Käthe	N	NE	Fem|_|Sg	0	root	428	428
5	;	;	$	$.	_	0	root	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	das	die	P	PDS	Neut|_|Sg	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	sicherlich	sicherlich	A	ADV	_	11	adv	_	_
11	nicht	nicht	P	PTKNEG	_	12	adv	_	_
12	hier	hier	A	ADV	_	9	cj	_	_
13	«	«	$	$(	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	entgegnete	entgegnen	V	VVFIN	1|Sg|Past|_	0	root	_	_
16	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	426	426
17	und	und	K	KON	_	15	kon	_	_
18	umfaßte	umfaßte	V	VVFIN	_	17	cj	_	_
19	fester	fest	A	ADJD	Comp|	18	adv	_	_
20	ihren	ihre	A	PPOSAT	Masc|_|Sg	22	det	428	428
21	jungfräulichen	jungfräulich	A	ADJA	Pos|Masc|_|Sg|_|	22	attr	_	_
22	Leib	Leib	N	NN	Masc|_|Sg	18	obja	_	_
23	;	;	$	$.	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	aber	aber	A	ADV	_	26	adv	_	_
26	drüben	drüben	A	ADJD	_	0	root	_	_
27	in	in	P	APPR	_	26	pp	_	_
28	Holland	Holland	N	NE	Neut|_|Sg	27	pn	459	459
29	,	,	$	$,	_	0	root	_	_
30	dort	dort	A	ADV	_	31	adv	_	_
31	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
32	ein	eine	A	ART	Indef|Masc|Nom|Sg	34	det	_	_
33	tüchtiger	tüchtig	A	ADJA	Pos|Masc|Nom|Sg|St|	34	attr	_	_
34	Maler	Maler	N	NN	Masc|Nom|Sg	31	subj	_	_
35	wohl	wohl	A	ADV	_	31	adv	_	_
36	einen	eine	A	ART	Indef|Masc|Acc|Sg	38	det	_	_
37	deutschen	deutsch	A	ADJA	Pos|Masc|Acc|Sg|_|	38	attr	_	_
38	Edelmann	Edelmann	N	NN	Masc|Acc|Sg	31	obja	_	_
39	;	;	$	$.	_	0	root	_	_
40	die	die	A	ART	Def|Fem|Nom|Sg	41	det	_	_
41	Schwelle	Schwelle	N	NN	Fem|Nom|Sg	49	subj	_	_
42	von	von	P	APPR	Dat	41	pp	_	_
43	Mynherr	Mynherr	N	NE	Masc|Dat|Sg	42	pn	_	_
44	van	van	N	NE	Masc|Dat|Sg	43	app	_	_
45	Dycks	Dycks	N	NE	Masc|Dat|Sg	44	app	_	_
46	Palaste	Palast	N	NN	Masc|Dat|Sg	45	app	_	_
47	zu	zu	P	APPR	Dat	42	kon	_	_
48	Amsterdam	Amsterdam	N	NE	Neut|Dat|Sg	47	pn	429	429
