1	Wer	wer	P	PWS	_|Nom|Sg	2	pred	_	_
14	,	,	$	$,	_	0	root	_	_
15	wenn	wenn	K	KOUS	_	21	konj	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	740	740
17	Wildmeister	Wildmeister	N	NN	Masc|Nom|Sg	21	subj	740	740
18	wirklich	wirklich	A	ADJD	Pos|	21	adv	_	_
19	wieder	wieder	A	ADV	_	21	adv	_	_
20	da	da	A	ADV	_	21	adv	_	_
21	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
22	!	!	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	hob	heben	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
3	ihr	ihre	A	PPOSAT	Neut|Nom|Sg	5	det	782	782
4	bleiches	bleich	A	ADJA	Pos|Neut|Nom|Sg|St|	5	attr	953)	953)
5	Haupt	Haupt	N	NN	Neut|Nom|Sg	2	subj	782	782
6	:	\:	$	$.	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Der	die	P	PDS	Masc|Nom|Sg	9	subj	_	_
9	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
10	zu	zu	P	PTKA	_	11	adv	_	_
11	spät	spät	A	ADJD	Pos|	9	adv	_	_
12	,	,	$	$,	_	0	root	_	_
13	Herr	Herr	N	NN	Masc|_|Sg	9	vok	_	_
14	Oberst	Oberst	N	NN	Masc|_|Sg	13	app	_	_
15	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	gebet	geben	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	954	954
5	ein	eine	A	ART	Indef|Neut|_|Sg	6	det	_	_
6	Pferd	Pferd	N	NN	Neut|_|Sg	3	obja	_	_
7	!	!	$	$.	_	0	root	_	_

1	Gott	Gott	N	NN	Masc|Nom|Sg	2	subj	311	311
2	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	4	objd	954	954
4	helfen	helfen	V	VVINF	_	2	aux	_	_
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	Weibersache	Weibersache	N	NN	Fem|Nom|Sg	3	pred	_	_
6	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	weshalb	weshalb	P	PWAV	_	3	adv	_	_
3	soll	sollen	V	VMFIN	_|Sg|Pres|Ind	1	cj	_	_
4	denn	denn	A	ADV	_	5	adv	_	_
5	geritten	reiten	V	VVPP	_	6	aux	_	_
6	werden	werden	V	VAINF	_	3	aux	_	_
7	?	?	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	6	obja	_	_
2	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	_	_
4	doch	doch	A	ADV	_	6	adv	_	_
5	zuerst	zuerst	A	ADV	_	6	adv	_	_
6	wissen	wissen	V	VVINF	_	2	aux	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	277	277
2	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	3	subj	277	277
3	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	verwirrt	verwirrt	A	ADJD	Pos|	3	adv	_	_
5	zu	zu	P	APPR	Dat	3	pp	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	pn	11	11
7	auf	auf	P	PTKVZ	_	3	avz	_	_
8	:	\:	$	$.	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	Ja	ja	P	PTKANT	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	ja	ja	P	PTKANT	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	Herr	Herr	N	NN	Masc|_|Sg	0	root	_	_
15	Oberst	Oberst	N	NN	Masc|_|Sg	14	app	_	_
16	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|_|_|_	1	cj	_	_
3	Junker	Junker	N	NN	Masc|Dat|Sg	5	objd	596	596
4	Rolf	Rolf	N	NE	Masc|Dat|Sg	3	app	596	596
5	stehet	stehen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
6	mit	mit	P	APPR	Dat	5	pp	_	_
7	einem	eine	A	ART	Indef|_|Dat|Sg	8	det	_	_
8	Posten	Posten	N	NN	_|Dat|Sg	6	pn	_	_
9	schwedischer	schwedisch	A	ADJA	Pos|Masc|Gen|Pl|St|	10	attr	153	153
10	Dragoner	Dragoner	N	NN	Masc|Gen|Pl	8	gmod	153	153
11	drunten	drunten	N	NE	Masc|Gen|Pl	10	app	153	153
12	an	an	P	APPR	Dat	5	pp	_	_
13	dem	die	A	ART	Def|Masc|Dat|Sg	14	det	955	955
14	Flusse	Fluss	N	NN	Masc|Dat|Sg	12	pn	955	955
15	;	;	$	$.	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	955	955
17	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
18	die	die	A	ART	Def|Fem|_|Sg	19	det	1008	1008
19	Brücke	Brücke	N	NN	Fem|_|Sg	20	obja	1008	1008
20	halten	halten	V	VVINF	_	17	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	denn	denn	K	KON	_	17	kon	_	_
23	die	die	A	ART	Def|Masc|Nom|Pl	24	det	956	956
24	Russen	Russ	N	NN	Masc|Nom|Pl	25	subj	956	956
25	wollen	wollen	V	VMFIN	3|Pl|Pres|_	22	cj	_	_
26	dort	dort	A	ADV	_	25	adv	_	_
27	hinüber	hinüber	A	ADV	_	25	adv	_	_
28	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	957	957
2	meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	der	die	A	ART	Def|_|_|_	5	det	_	_
5	Stadt	Stadt	N	NN	Fem|Dat|Sg	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	würd	würd	F	FM	Neut|_|Sg	5	app	_	_
9	'	'	$	$(	_	0	root	_	_
10	noch	noch	A	ADV	_	2	adv	_	_
11	Tage	Tag	N	NN	Masc|_|_	2	zeit	_	_
12	ausstehen	ausstehen	V	VVINF	_	0	root	_	_
13	;	;	$	$.	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	583	583
16	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	14	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	die	die	A	ART	Def|Masc|Nom|Pl	19	det	956	956
19	Russen	Russ	N	NN	Masc|Nom|Pl	20	subj	956	956
20	kommen	kommen	V	VVFIN	3|Pl|Pres|_	16	kon	_	_
21	noch	noch	A	ADV	_	20	adv	_	_
22	in	in	P	APPR	Dat	20	pp	_	_
23	dieser	diese	A	PDAT	Fem|Dat|Sg	24	det	50	50
24	Nacht	Nacht	N	NN	Fem|Dat|Sg	22	pn	50	50
25	!	!	$	$.	_	0	root	_	_

1	Lasset	lassen	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	55	55
3	Junker	Junker	N	NN	Masc|Acc|Sg	4	obja	55	55
4	warnen	warnen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	Herr	Herr	N	NN	Masc|_|Sg	4	vok	98	98
7	!	!	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	957	957
2	könnten	können	V	VMFIN	3|Pl|Past|Subj	0	root	_	_
3	sonst	sonst	A	ADV	_	5	adv	_	_
4	alle	alle	P	PIS	_|_|_	5	adv	_	_
5	verhauen	verhauen	V	VVPP	_	6	aux	_	_
6	werden	werden	V	VAINF	_	2	aux	_	_
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Herr	Herr	N	NN	_|_|Sg	6	vok	_	_
3	Pastor	Pastor	N	NN	_|_|Sg	2	app	_	_
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	583	583
8	Oberst	Oberst	N	NN	Masc|Nom|Sg	6	subj	583	583
9	,	,	$	$,	_	0	root	_	_
10	nachdem	nachdem	K	KOUS	_	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	0	root	583	583
12	einen	eine	A	ART	Indef|Masc|Acc|Sg	13	det	_	_
13	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	0	root	_	_
14	totenbleich	totenbleich	F	FM	Masc|Acc|Sg	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	wie	wie	K	KOKOM	_	14	par	_	_
17	suchend	suchen	A	ADJD	_|<PPRES	16	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	um	um	K	KOUI	_	0	root	_	_
20	sich	sie	P	PRF	3|_|_	0	root	_	_
21	her	her	A	APZR	_	0	root	_	_
22	gesehen	sehen	V	VVPP	_	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
26	Er	er	P	PPER	3|Sg|Masc|Nom	25	subj	583	583
27	die	die	A	ART	Def|Masc|_|Pl	28	det	951	951
28	Knechte	Knecht	N	NN	Masc|_|Pl	25	obja	951	951
29	wecken	wecken	V	VVINF	_	0	root	_	_
30	?	?	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	ging	gehen	V	VVFIN	1|Sg|Past|Ind	1	cj	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	583	583
5	hinaus	hinaus	P	PTKVZ	_	3	avz	_	_
6	und	und	K	KON	_	3	kon	_	_
7	schüttelte	schütteln	V	VVFIN	_|Sg|Past|_	6	cj	_	_
8	die	die	A	ART	Def|Masc|_|Pl	9	det	953	953
9	Kerle	Kerl	N	NN	Masc|_|Pl	7	obja	953	953
10	aus	aus	P	APPR	Dat	7	pp	_	_
11	ihren	ihre	A	PPOSAT	Neut|Dat|_	13	det	953	953
12	schweren	schwer	A	ADJA	Pos|Neut|Dat|_|_|	13	attr	_	_
13	Betten	Bett	N	NN	Neut|Dat|_	10	pn	_	_
14	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	583	583
3	ihrer	ihre	A	PPOSAT	_|Gen|Pl	4	det	953	953
4	drei	drei	C	CARD	_|_|_	6	objd	_	_
5	beisammen	beisammen	A	ADV	_	6	adv	_	_
6	hatte	haben	V	VAFIN	1|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	trat	treten	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	583	583
10	mit	mit	P	APPR	Dat	8	pp	_	_
11	ihnen	sie	P	PPER	3|Pl|_|Dat	10	pn	957	957
12	wieder	wieder	A	ADV	_	8	adv	_	_
13	in	in	P	APPR	Acc	19	pp	_	_
14	das	die	A	ART	Def|Neut|Acc|Sg	15	det	659	659
15	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	13	pn	659	659
16	und	und	K	KON	_	15	kon	_	_
17	hörete	hörete	N	NE	Neut|Acc|Sg	16	cj	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Oberst	Oberst	N	NN	Masc|Acc|Sg	8	obja	_	_
20	zu	zu	P	APPR	Dat	8	objp	_	_
21	dem	die	A	ART	Def|Neut|Dat|Sg	22	det	277	277
22	Mädchen	Mädchen	N	NN	Neut|Dat|Sg	20	pn	277	277
23	sagen	sagen	V	VVINF	_	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	das	die	P	PRELS	Neut|Nom|Sg	29	subj	277	277
26	an	an	P	APPR	Dat	29	pp	_	_
27	seinem	seine	A	PPOSAT	Masc|Dat|Sg	28	det	277	277
28	Sessel	Sessel	N	NN	Masc|Dat|Sg	26	pn	_	_
29	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
30	:	\:	$	$.	_	0	root	_	_
31	»	»	$	$(	_	0	root	_	_
32	Hätte	haben	V	VAFIN	1|Sg|Past|Subj	0	root	_	_
33	ich	ich	P	PPER	1|Sg|_|Nom	32	subj	583	583
34	den	die	A	ART	Def|Masc|Acc|Sg	35	det	575	575
35	Verwalter	Verwalter	N	NN	Masc|Acc|Sg	38	obja	575	575
36	nur	nur	A	ADV	_	38	adv	_	_
37	nicht	nicht	P	PTKNEG	_	38	adv	_	_
38	fortgesendet	fortsenden	V	VVPP	_	32	aux	_	_
39	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	0	root	583	583
3	selber	selber	A	ADV	_	2	adv	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	Und	und	K	KON	_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	575	575
8	wiegte	wiegen	V	VVFIN	3|Sg|Past|_	6	cj	_	_
9	wie	wie	K	KOKOM	_	8	kom	_	_
10	ratlos	ratlos	A	ADJD	Pos|	9	cj	_	_
11	seinen	seine	A	PPOSAT	Masc|_|Sg	12	det	575	575
12	Kopf	Kopf	N	NN	Masc|_|Sg	8	obja	_	_
13	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	575	575
3	aber	aber	A	ADV	_	6	adv	_	_
4	die	die	A	ART	Def|Masc|_|Pl	5	det	958	958
5	Knechte	Knecht	N	NN	Masc|_|Pl	6	obja	958	958
6	sah	sehen	V	VVFIN	3|Sg|Past|Ind	16	neb	958	958
7	,	,	$	$,	_	0	root	958	958
8	welche	welche	P	PRELS	Masc|Nom|Pl	14	subj	958	958
9	sich	sie	P	PRF	3|_|_	14	obja	_	_
10	schläfrig	schläfrig	A	ADJD	Pos|	14	adv	_	_
11	an	an	P	APPR	Dat	14	pp	_	_
12	den	die	A	ART	Def|Fem|Dat|Pl	13	det	313	313
13	Türen	Tür	N	NN	Fem|Dat|Pl	11	pn	313	313
14	aufstellten	aufstellen	V	VVFIN	3|Pl|Past|_	5	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
17	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	575	575
18	:	\:	$	$.	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	Nun	nun	A	ADV	_	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	Leute	Leute	N	NN	_|_|Pl	0	root	961	961
23	,	,	$	$,	_	0	root	_	_
24	wer	wer	P	PWS	_|Nom|Sg	27	subj	_	_
25	von	von	P	APPR	Dat	27	pp	_	_
26	euch	ihr	P	PPER	2|Pl|_|Dat	25	pn	_	_
27	will	wollen	V	VMFIN	3|Sg|Pres|Ind	31	subjc	_	_
28	eurem	eure	A	PPOSAT	_|Dat|Sg	30	det	958	958
29	jungen	jung	A	ADJA	Pos|_|Dat|Sg|Wk|	30	attr	_	_
30	Herrn	Herrn	N	NN	_|Dat|Sg	27	objd	_	_
31	zuliebe	zulieben	V	VVFIN	_|Sg|Pres|_	0	root	_	_
32	heute	heute	A	ADV	_	31	adv	_	_
33	nacht	nacht	A	ADJD	_	31	adv	_	_
34	noch	noch	A	ADV	_	31	adv	_	_
35	einen	eine	A	ART	Indef|Masc|Acc|Sg	36	det	_	_
36	Ritt	Ritt	N	NN	Masc|Acc|Sg	31	obja	_	_
37	tun	tun	V	VVINF	_	0	root	_	_
38	?	?	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_
40	U	U	N	NN	_|_|_	0	root	959	959
41	er	er	P	PPER	3|Sg|Masc|Nom	42	subj	575	575
42	berichtete	berichten	V	VVFIN	3|Sg|Past|_	0	root	_	_
43	,	,	$	$,	_	0	root	_	_
44	was	was	P	PRELS	Neut|_|Sg	0	root	959	959
45	zu	zu	P	PTKZU	_	46	part	_	_
46	wissen	wissen	V	VVINF	_	0	root	_	_
47	ihnen	sie	P	PPER	3|Pl|_|Dat	49	objd	313	313
48	not	not	A	ADJD	Pos|	49	pred	_	_
49	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
50	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Pl|_|Nom	3	subj	313	313
3	antworteten	antworten	V	VVFIN	3|Pl|Past|_	1	cj	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	575	575
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	schielten	schielen	V	VVFIN	_|Pl|Past|_	3	kon	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	an	an	P	PTKVZ	_	7	avz	_	_
10	und	und	K	KON	_	7	kon	_	_
11	stießen	stoßen	V	VVFIN	_|Pl|Past|_	10	cj	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	mit	mit	P	APPR	Dat	11	pp	_	_
14	den	die	A	ART	Def|Masc|Dat|Pl	15	det	_	_
15	Ellenbogen	Ellenbogen	N	NN	Masc|Dat|Pl	13	pn	_	_
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	euer	eure	A	PPOSAT	_|_|Sg	0	root	313	313
6	Schade	schade	A	ADJD	Pos|	0	root	_	_
7	sein	sein	V	VAINF	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	583	583
12	Oberst	Oberst	N	NN	Masc|Nom|Sg	10	subj	583	583
13	wieder	wieder	A	ADV	_	10	adv	_	_
14	und	und	K	KON	_	10	kon	_	_
15	bot	bieten	V	VVFIN	3|Sg|Past|Ind	14	cj	_	_
16	ihnen	sie	P	PPER	3|Pl|_|Dat	15	objd	313	313
17	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	_	_
18	Summe	Summe	N	NN	Fem|_|Sg	15	obja	_	_
19	Geldes	Geld	N	NN	Neut|_|_	18	app	_	_
20	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	der	die	A	ART	Def|_|_|_	4	det	_	_
4	größte	groß	A	ADJA	Masc|Nom|Sg	2	subj	_	_
5	von	von	P	APPR	Dat	2	pp	_	_
6	den	die	A	ART	Def|Masc|Dat|Pl	7	det	953	953
7	Kerlen	Kerl	N	NN	Masc|Dat|Pl	5	pn	953	953
8	:	\:	$	$.	_	0	root	_	_
9	»	»	$	$(	_	0	root	_	_
10	Herr	Herr	N	NE	_	0	root	240	240
11	,	,	$	$,	_	0	root	_	_
12	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	_	_
13	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	_
14	ja	ja	A	ADV	_	13	adv	_	_
15	die	die	A	ART	Def|_|_|_	17	det	_	_
16	schlimmen	schlimm	A	ADJA	Pos|_|_|Pl|Wk|	17	attr	_	_
17	Tag	Tag	N	NN	_|_|_	13	obja	_	_
18	'	'	$	$(	_	0	root	_	_
19	;	;	$	$.	_	0	root	_	_
20	man	man	P	PIS	_|Nom|Sg	0	root	_	_
21	lebet	leben	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
22	doch	doch	A	ADV	_	21	adv	_	_
23	nur	nur	A	ADV	_	21	adv	_	_
24	einmal	einmal	A	ADV	_	21	adv	_	_
25	.	.	$	$.	_	0	root	_	_
26	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wisset	wissen	V	VVFIN	2|Pl|Pres|Subj	6	neb	_	_
3	ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	960	960
4	«	«	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	583	583
8	Oberst	Oberst	N	NN	Masc|Nom|Sg	6	subj	583	583
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	daß	daß	K	KOUS	_	16	konj	_	_
12	ihr	ihr	P	PPER	2|Pl|_|Nom	16	subj	960	960
13	des	die	A	ART	Def|Masc|Gen|Sg	14	det	55	55
14	Junkers	Junker	N	NN	Masc|Gen|Sg	16	objg	55	55
15	Leute	Leute	N	NN	_|Nom|Pl	16	pred	961	961
16	seid	sein	V	VAFIN	2|Pl|Pres|Ind	0	root	_	_
17	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	583	583
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	euch	ihr	P	PRF	2|Pl|_	4	obja	_	_
4	schicken	schicken	V	VVINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	ohne	ohne	K	KOUI	_	9	konj	_	_
7	euch	ihr	P	PRF	2|Pl|_	9	obja	_	_
8	zu	zu	P	PTKZU	_	9	part	_	_
9	fragen	fragen	V	VVINF	_	2	neb	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	da	da	K	KOUS	_	5	konj	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	5	subj	961	961
4	abermals	abermals	A	ADV	_	5	adv	_	_
5	schwiegen	schweigen	V	VVFIN	3|Pl|Past|_	7	neb	_	_
6	,	,	$	$,	_	0	root	_	_
7	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	277	277
9	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	7	subj	277	277
10	wie	wie	K	KOKOM	_	7	kom	_	_
11	in	in	P	APPR	_	10	cj	_	_
12	Zorn	Zorn	N	NN	Masc|_|Sg	11	pn	848	848
13	und	und	K	KON	_	12	kon	_	_
14	Verachtung	Verachtung	N	NN	Fem|_|Sg	13	cj	_	_
15	die	die	A	ART	Def|Fem|_|Pl	16	det	165	165
16	Hände	Hand	N	NN	Fem|_|Pl	7	obja	165	165
17	ineinander	ineinander	P	PTKVZ	_	7	avz	_	_
18	:	\:	$	$.	_	0	root	_	_
19	»	»	$	$(	_	0	root	_	_
20	Die	die	P	PDS	_|Nom|Pl	21	subj	_	_
21	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
22	nicht	nicht	P	PTKNEG	_	25	adv	_	_
23	zum	zu	P	APPRART	Dat	25	pp	_	_
24	Heile	Heile	N	NN	_|_|_	23	pn	_	_
25	reiten	reiten	V	VVINF	_	21	aux	_	_
26	;	;	$	$.	_	0	root	_	_
27	aber	aber	K	KON	_	0	root	_	_
28	gebet	geben	V	VVFIN	2|Pl|Pres|Subj	27	cj	_	_
29	mir	ich	P	PPER	1|Sg|_|Dat	28	objd	583	583
30	das	die	A	ART	Def|Neut|_|Sg	31	det	545	545
31	Pferd	Pferd	N	NN	Neut|_|Sg	28	obja	545	545
32	,	,	$	$,	_	0	root	_	_
33	wenn	wenn	K	KOUS	_	37	konj	_	_
34	sich	sie	P	PRF	3|_|_	37	obja	_	_
35	die	die	A	ART	Def|_|Nom|Pl	36	det	_	_
36	Mannsleut	Mannsleut	N	NN	_|Nom|Pl	37	subj	_	_
37	fürchten	fürchten	V	VVFIN	3|Pl|Pres|_	28	neb	_	_
38	!	!	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	nicht	nicht	P	PTKNEG	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Jungfer	Jungfer	N	NN	Fem|_|Sg	0	root	828	828
6	Abel	Abel	N	NE	_|_|Sg	5	app	828	828
7	!	!	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	rief	rufen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
10	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	583	583
11	;	;	$	$.	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	583	583
14	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
15	kein	keine	A	PIAT	Masc|Nom|Sg	16	det	_	_
16	Reiter	Reiter	N	NN	Masc|Nom|Sg	14	pred	_	_
17	;	;	$	$.	_	0	root	_	_
18	aber	aber	K	KON	_	0	root	_	_
19	so	so	A	ADV	_	18	cj	_	_
20	man	man	P	PIS	_|Nom|Sg	0	root	_	_
21	mich	ich	P	PPER	1|Sg|_|Acc	22	obja	583	583
22	verlanget	verlangen	V	VVFIN	2|Pl|Pres|Subj	24	s	_	_
23	,	,	$	$,	_	0	root	_	_
24	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	24	subj	583	583
26	gleich	gleich	A	ADJD	Pos|	24	pred	_	_
27	Ihr	ihre	A	PPOSAT	_|_|Sg	0	root	82	82
28	dazu	dazu	P	PROAV	_	29	pp	_	_
29	bereit	bereit	A	ADJD	Pos|	0	root	_	_
30	!	!	$	$.	_	0	root	_	_
31	«	«	$	$(	_	0	root	_	_

1	Da	Da	K	KOUS	_	15	konj	_	_
2	,	,	$	$,	_	0	root	_	_
3	während	während	K	KOUS	_	13	konj	_	_
4	sich	sie	P	PRF	3|_|_	12	obja	_	_
5	allmählich	allmählich	A	ADJD	Pos|	12	adv	_	_
6	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
7	Haufen	Haufe	N	NN	_|Nom|Sg	13	subj	_	_
8	Gesindes	Gesinde	N	NN	Neut|Gen|Sg	7	app	_	_
9	in	in	P	APPR	Acc	12	objp	_	_
10	das	die	A	ART	Def|Neut|Acc|Sg	11	det	659	659
11	Zimmer	Zimmer	N	NN	Neut|Acc|Sg	9	pn	659	659
12	gedrängt	drängen	V	VVPP	_	13	aux	_	_
