1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	840	840
28	ich	ich	P	PPER	1|Sg|_|Nom	38	subj	858	858
29	im	in	P	APPRART	Dat	37	pp	_	_
30	Hofe	Hof	N	NN	Masc|Dat|Sg	29	pn	728	728
31	mich	ich	P	PPER	1|Sg|_|Acc	37	obja	8	8
32	gegen	gegen	P	APPR	Acc	37	pp	_	_
33	die	die	A	ART	Def|Fem|Acc|Sg	34	det	_	_
34	Übermacht	Übermacht	N	NN	Fem|Acc|Sg	32	pn	_	_
35	der	die	A	ART	Def|Masc|Gen|Pl	36	det	860	860
36	Angreifer	Angreifer	N	NN	Masc|Gen|Pl	34	gmod	860	860
37	gewehrt	wehren	V	VVPP	_	38	aux	_	_
38	hatte	haben	V	VAFIN	1|Sg|Past|Ind	24	rel	_	_
39	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	4	subj	_	_
4	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	2	cj	_	_
5	dieses	diese	A	PDAT	Neut|_|Sg	6	det	17	17
6	Haus	Haus	N	NN	Neut|_|Sg	9	obja	17	17
7	wirklich	wirklich	A	ADJD	Pos|	9	adv	_	_
8	nicht	nicht	P	PTKNEG	_	9	adv	_	_
9	kennen	kennen	V	VVINF	_	4	aux	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	ihn	er	P	PPER	3|Sg|Masc|Acc	12	obja	8	8
14	der	die	A	ART	Def|Masc|Nom|Sg	15	det	145	145
15	Kadi	Kadi	N	NN	Masc|Nom|Sg	12	subj	145	145
16	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	861	861
3	kenne	kennen	V	VVFIN	1|Sg|Pres|_	8	s	_	_
4	es	es	P	PPER	3|Sg|Neut|_	3	obja	_	_
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	antwortete	antworten	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	8	8
10	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
3	warst	sein	V	VAFIN	2|Sg|Past|Ind	0	root	_	_
4	noch	noch	A	ADV	_	3	adv	_	_
5	niemals	niemals	A	ADV	_	3	adv	_	_
6	hier	hier	A	ADV	_	3	adv	_	_
7	?	?	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nie	Nie	N	NE	_	0	root	_	_
3	in	in	P	APPR	Dat	2	pp	_	_
4	meinem	meine	A	PPOSAT	Neut|Dat|Sg	5	det	861	861
5	Leben	Leben	N	NN	Neut|Dat|Sg	3	pn	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	wendete	wenden	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	369	369
5	Beamte	Beamter	N	NN	Masc|Nom|Sg	2	subj	369	369
6	an	an	P	APPR	Acc	2	objp	_	_
7	mich	ich	P	PPER	1|Sg|_|Acc	6	pn	861	861
8	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	3	adv	_	_
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
4	doch	doch	A	ADV	_	7	adv	_	_
5	kein	keine	A	PIAT	_|Nom|Sg	6	det	_	_
6	Mensch	Mensch	N	NN	_|Nom|Sg	3	subj	_	_
7	leugnen	leugnen	V	VVINF	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Effendi	Effendi	N	NE	_	3	vok	54	54
10	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	861	861
2	beginne	beginnen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	zu	zu	P	PTKZU	_	4	part	_	_
4	glauben	glauben	V	VVINF	_	2	obji	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	10	konj	_	_
7	Du	du	P	PPER	2|Sg|_|Nom	10	subj	_	_
8	Dich	Dich	N	NE	_	10	obja	55	55
9	wirklich	wirklich	A	ADJD	Pos|	10	adv	_	_
10	irrst	irren	V	VVFIN	2|Sg|Pres|Ind	4	objc	_	_
11	!	!	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Dann	dann	A	ADV	_	3	adv	_	_
3	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
4	auch	auch	A	ADV	_	7	adv	_	_
5	Isla	Isla	N	NE	Masc|Nom|Sg	3	subj	23	23
6	sich	sie	P	PRF	3|_|_	7	obja	23	23
7	irren	irren	V	VVINF	_	3	aux	23	23
8	,	,	$	$,	_	0	root	23	23
9	der	die	P	PRELS	Masc|Nom|Sg	14	subj	23	23
10	ihn	er	P	PPER	3|Sg|Masc|Acc	13	obja	8	8
11	in	in	P	APPR	_	13	pp	_	_
12	Stambul	Stambul	N	NN	_|_|_	11	pn	103	103
13	gesehen	sehen	V	VVPP	_	14	aux	_	_
14	hat	haben	V	VAFIN	3|Sg|Pres|Ind	5	rel	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	möglich	möglich	A	ADJD	Pos|	2	pred	_	_
6	?	?	$	$.	_	0	root	_	_

1	Viele	viele	A	PIDAT	Masc|Nom|Pl	2	det	_	_
2	Menschen	Mensch	N	NN	Masc|Nom|Pl	3	subj	_	_
3	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	ähnlich	ähnlich	A	ADJD	Pos|	3	adv	_	_
6	.	.	$	$.	_	0	root	_	_

1	Dieser	diese	A	PDAT	Masc|Nom|Sg	2	det	_	_
2	Fischer	Fischer	N	NN	Masc|Nom|Sg	5	subj	_	_
3	aus	aus	P	APPR	Dat	2	pp	_	_
4	Inada	Inada	N	NE	_|Dat|_	3	pn	774	774
5	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
6	sehr	sehr	A	ADV	_	7	adv	_	_
7	unschuldig	unschuldig	A	ADJD	Pos|	8	pred	_	_
8	sein	sein	V	VAINF	_	5	aux	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	2	subj	863	863
4	einmal	einmal	A	ADV	_	10	adv	_	_
5	mit	mit	P	APPR	Dat	10	pp	_	_
6	mir	ich	P	PPER	1|Sg|_|Dat	5	pn	862	862
7	auf	auf	P	APPR	Acc	10	objp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	493	493
9	Seite	Seite	N	NN	Fem|Acc|Sg	7	pn	493	493
10	kommen	kommen	V	VVINF	_	2	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	o	o	P	PWAV	_	0	root	_	_
13	Kadi	Kadi	N	NN	Masc|_|Sg	0	root	244	244
14	?	?	$	$.	_	0	root	_	_
15	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Warum	Warum	P	PWAV	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	862	862
3	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	0	root	_	_
4	Dir	du	P	PPER	2|Sg|_|Dat	6	objd	863	863
5	etwas	etwas	P	PIS	Neut|_|Sg	6	obja	_	_
6	sagen	sagen	V	VVINF	_	3	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	14	obja	_	_
9	diese	diese	A	PDAT	_|Nom|Pl	10	det	297	297
10	Anderen	Anderen	N	NN	_|Nom|Pl	14	subj	297	297
11	nicht	nicht	P	PTKNEG	_	13	adv	_	_
12	zu	zu	P	PTKZU	_	13	part	_	_
13	hören	hören	V	VVINF	_	14	obji	_	_
14	brauchen	brauchen	V	VVFIN	3|Pl|Pres|_	5	rel	_	_
15	.	.	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	8	8
2	zuckte	zucken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	_	_
4	Achsel	Achsel	N	NN	Fem|_|Sg	2	obja	_	_
5	und	und	K	KON	_	2	kon	_	_
6	antwortete	antworten	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Diese	diese	A	PDAT	_|Nom|Pl	3	det	848	848
3	Leute	Leute	N	NN	_|Nom|Pl	4	subj	848	848
4	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	_
5	Alles	alle	P	PIS	Neut|_|Sg	6	obja	_	_
6	hören	hören	V	VVINF	_	4	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PRELS	Neut|_|Sg	12	obja	_	_
9	Du	du	P	PPER	2|Sg|_|Nom	13	subj	863	863
10	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	862	862
11	zu	zu	P	PTKZU	_	12	part	_	_
12	sagen	sagen	V	VVINF	_	13	aux	_	_
13	hast	haben	V	VAFIN	2|Sg|Pres|Ind	5	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	Effendi	Effendi	N	NE	_	4	vok	54	54
16	!	!	$	$.	_	0	root	_	_
17	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	2	subj	863	863
4	,	,	$	$,	_	0	root	_	_
5	daß	daß	K	KOUS	_	8	konj	_	_
6	sie	sie	P	PPER	3|Pl|_|Nom	8	subj	848	848
7	Worte	Wort	N	NN	Neut|_|Pl	8	obja	864	864
8	hören	hören	V	VVFIN	3|Pl|Pres|_	2	objc	864	864
9	,	,	$	$,	_	0	root	864	864
10	welche	welche	P	PRELS	Neut|Nom|Pl	17	subj	864	864
11	in	in	P	APPR	_	16	pp	_	_
12	Deinen	deine	A	PPOSAT	Neut|_|Pl	13	det	863	863
13	Ohren	Ohr	N	NN	Neut|_|Pl	11	pn	_	_
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	angenehm	angenehm	A	ADJD	Pos|	16	pred	_	_
16	klingen	klingen	V	VVINF	_	17	aux	_	_
17	können	können	V	VMFIN	3|Pl|Pres|_	7	rel	_	_
18	?	?	$	$.	_	0	root	_	_
19	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	8	8
2	besann	besinnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	doch	doch	A	ADV	_	2	adv	_	_
5	und	und	K	KON	_	2	kon	_	_
6	sagte	sagen	V	VVFIN	_|Sg|Past|_	5	cj	_	_
7	dann	dann	A	ADV	_	6	adv	_	_
8	in	in	P	APPR	Dat	6	pp	_	_
9	fast	fast	A	ADV	_	10	adv	_	_
10	strengem	streng	A	ADJA	Pos|Masc|Dat|Sg|St|	11	attr	_	_
11	Tone	Ton	N	NN	Masc|Dat|Sg	8	pn	_	_
12	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	863	863
3	wirst	werden	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	5	adv	_	_
5	wagen	wagen	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	ein	eine	A	ART	Indef|Neut|_|Sg	9	det	865	865
8	einziges	einzig	A	ADJA	Pos|Neut|_|Sg|St|	9	attr	865	865
9	Wort	Wort	N	NN	Neut|_|Sg	10	obja	865	865
10	auszusprechen	aussprechen	V	VVIZU	_	5	obji	865	865
11	,	,	$	$,	_	0	root	865	865
12	das	die	P	PRELS	Neut|_|Sg	16	obja	865	865
13	ich	ich	P	PPER	1|Sg|_|Nom	17	subj	862	862
14	nicht	nicht	P	PTKNEG	_	16	adv	_	_
15	gern	gern	A	ADV	_	16	adv	_	_
16	hören	hören	V	VVINF	_	17	aux	_	_
17	möchte	mögen	V	VMFIN	1|Sg|Past|Subj	9	rel	_	_
18	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	862	862
3	werde	werden	V	VAFIN	1|Sg|Pres|_	1	cj	_	_
4	gnädig	gnädig	A	ADJD	Pos|	5	pred	_	_
5	sein	sein	V	VAINF	_	3	aux	_	_
6	und	und	K	KON	_	5	kon	_	_
7	Dir	du	P	PPER	2|Sg|_|Dat	10	objd	863	863
8	Deine	deine	A	PPOSAT	Fem|_|Sg	9	det	863	863
9	Bitte	Bitte	N	NN	Fem|_|Sg	10	obja	_	_
10	erfüllen	erfüllen	V	VVINF	_	6	cj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Komm	Komm	N	NE	_	0	root	309	309
2	und	und	K	KON	_	0	root	_	_
3	sprich	sprechen	V	VVIMP	Sg	2	cj	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_

