1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	406	406
21	Schooßrock	Schooßrock	N	NN	Masc|Acc|Sg	18	cj	_	_
22	für	für	P	APPR	Acc	21	pp	_	_
23	mich	ich	P	PRF	1|Sg|Acc	22	pn	_	_
24	selbst	selbst	A	ADV	_	22	adv	_	_
25	;	;	$	$.	_	0	root	_	_
26	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	422	422
27	braucht	brauchen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
28	sie	sie	P	PPER	3|_|_|_	27	obja	426	426
29	auch	auch	A	ADV	_	27	adv	_	_
30	gar	gar	A	ADV	_	31	adv	_	_
31	nicht	nicht	P	PTKNEG	_	27	adv	_	_
32	,	,	$	$,	_	0	root	_	_
33	denn	denn	K	KON	_	27	kon	_	_
34	heute	heute	A	ADV	_	35	adv	_	_
35	früh	früh	A	ADJD	Pos|	36	adv	_	_
36	ist	sein	V	VAFIN	3|Sg|Pres|Ind	33	cj	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	426	426
38	gleich	gleich	A	ADJD	Pos|	43	adv	_	_
39	in	in	P	APPR	Dat	43	pp	_	_
40	einem	eine	A	ART	Indef|Masc|Dat|Sg	42	det	_	_
41	funkelnagelneuen	funkelnagelneu	A	ADJA	Pos|Masc|Dat|Sg|Wk|	42	attr	_	_
42	Anzuge	Anzug	N	NN	Masc|Dat|Sg	39	pn	_	_
43	heruntergekommen	herunterkommen	V	VVPP	_	36	aux	_	_
44	.	.	$	$.	_	0	root	_	_
45	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	rückte	rücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	die	die	A	ART	Def|Fem|_|Sg	4	det	427	427
4	Brille	Brille	N	NN	Fem|_|Sg	2	obja	427	427
5	zurecht	zurecht	P	PTKVZ	_	2	avz	_	_
6	und	und	K	KON	_	2	kon	_	_
7	verlas	verlesen	V	VVFIN	_|Sg|Past|Ind	6	cj	_	_
8	das	die	A	ART	Def|Neut|_|Sg	9	det	428	428
9	Evangelium	Evangelium	N	NN	Neut|_|Sg	7	obja	428	428
10	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
4	ein	eine	A	ART	Indef|Neut|_|Sg	12	det	429	429
5	altes	alt	A	ADJA	Pos|Neut|_|Sg|St|	12	attr	429	429
6	,	,	$	$,	_	0	root	429	429
7	vielgebrauchtes	vielgebraucht	A	ADJA	Pos|Neut|_|Sg|St|	5	kon	429	429
8	,	,	$	$,	_	0	root	429	429
9	in	in	P	APPR	_	11	pp	429	429
10	Schweinsleder	Schweinsleder	N	NN	Neut|_|_	9	pn	429	429
11	gebundenes	gebunden	A	ADJA	Pos|Neut|_|Sg|St|	7	kon	429	429
12	Gebetbuch	Gebetbuch	N	NN	Neut|_|Sg	2	obja	429	429
13	auf	auf	P	PTKVZ	_	2	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	aus	aus	P	APPR	Dat	0	root	_	_
16	welchem	welche	P	PRELS	_|Dat|Sg	15	pn	429	429
17	er	er	P	PPER	Neut|Nom|Sg	0	root	7	7
18	ein	eine	A	ART	Indef|Neut|_|Sg	20	det	_	_
19	»	»	$	$(	_	0	root	_	_
20	Abendgebet	Abendgebet	N	NN	Neut|_|Sg	17	app	_	_
21	für	für	P	APPR	Acc	20	pp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	23	det	430	430
23	Sonntag	Sonntag	N	NN	Masc|Acc|Sg	21	pn	430	430
24	«	«	$	$(	_	0	root	_	_
25	buchstabirte	buchstabirte	N	NE	_	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	0	root	_	_
28	wollte	wollen	V	VMFIN	3|Sg|Past|_	27	cj	_	_
29	eben	eben	A	ADV	_	28	adv	_	_
30	nach	nach	P	APPR	Dat	28	pp	_	_
31	dem	die	A	ART	Def|Neut|Dat|Sg	33	det	_	_
32	»	»	$	$(	_	0	root	_	_
33	Amen	Amen	N	NN	Neut|Dat|Sg	30	pn	_	_
34	«	«	$	$(	_	0	root	_	_
35	das	die	A	ART	Def|Neut|Nom|Sg	36	det	431	431
36	Buch	Buch	N	NN	Neut|Nom|Sg	28	subj	431	431
37	wieder	wieder	A	ADV	_	28	adv	_	_
38	schließen	schließen	V	VVINF	_	0	root	_	_
39	,	,	$	$,	_	0	root	_	_
40	als	als	K	KOUS	_	45	konj	_	_
41	die	die	A	ART	Def|Fem|Nom|Sg	42	det	432	432
42	Thür	Thür	N	NN	Fem|Nom|Sg	45	subj	432	432
43	geräuschlos	geräuschlos	A	ADJD	Pos|	44	adv	_	_
44	geöffnet	öffnen	V	VVPP	_	45	aux	_	_
45	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
46	und	und	K	KON	_	45	kon	_	_
47	der	die	A	ART	Def|Masc|Nom|Sg	48	det	277	277
48	Geselle	Geselle	N	NN	Masc|Nom|Sg	49	subj	277	277
49	eintrat	eintreten	V	VVFIN	3|Sg|Past|Ind	46	cj	_	_
50	.	.	$	$.	_	0	root	_	_

1	Nach	nach	P	APPR	Dat	8	pp	_	_
2	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	_	_
3	kurzen	kurz	A	ADJA	Pos|Masc|Dat|Sg|Wk|	6	attr	_	_
4	»	»	$	$(	_	0	root	_	_
5	Guten	gut	A	ADJA	Pos|Masc|Dat|Sg|Wk|	6	attr	_	_
6	Abend	Abend	N	NN	Masc|Dat|Sg	1	pn	_	_
7	«	«	$	$(	_	0	root	_	_
8	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	sich	sie	P	PRF	3|_|_	8	obja	_	_
10	derselbe	dieselbe	P	PDS	Masc|Nom|Sg	8	subj	_	_
11	an	an	P	APPR	Acc	8	objp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	433	433
13	Tisch	Tisch	N	NN	Masc|Acc|Sg	11	pn	433	433
14	,	,	$	$,	_	0	root	_	_
15	nahm	nehmen	V	VVFIN	_|Sg|Past|Ind	8	kon	_	_
16	dem	die	A	ART	Def|Masc|Dat|Sg	17	det	263	263
17	Meister	Meister	N	NN	Masc|Dat|Sg	15	objd	263	263
18	das	die	A	ART	Def|Neut|_|Sg	19	det	431	431
19	Buch	Buch	N	NN	Neut|_|Sg	15	obja	431	431
20	aus	aus	P	APPR	Dat	15	pp	_	_
21	der	die	A	ART	Def|Fem|Dat|Sg	22	det	216	216
22	Hand	Hand	N	NN	Fem|Dat|Sg	20	pn	216	216
23	,	,	$	$,	_	0	root	_	_
24	blätterte	blättern	V	VVFIN	3|Sg|Past|_	15	kon	_	_
25	einige	einige	A	PIAT	Fem|_|Sg	26	det	_	_
26	Zeit	Zeit	N	NN	Fem|_|Sg	24	obja	_	_
27	suchend	suchen	A	ADJD	_|<PPRES	24	adv	_	_
28	darin	darin	P	PROAV	_	27	pp	_	_
29	herum	herum	P	PTKVZ	_	24	avz	_	_
30	und	und	K	KON	_	15	kon	_	_
31	begann	beginnen	V	VVFIN	_|Sg|Past|Ind	30	cj	_	_
32	dann	dann	A	ADV	_	31	adv	_	_
33	mit	mit	P	APPR	Dat	31	pp	_	_
34	fesselndem	fesselnd	A	ADJA	Pos|Masc|Dat|Sg|St|_	35	attr	_	_
35	Ausdrucke	Ausdruck	N	NN	Masc|Dat|Sg	33	pn	_	_
36	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Horch	Horch	N	NE	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	klopfte	klopfen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	nicht	nicht	P	PTKNEG	_	4	adv	_	_
7	an	an	P	APPR	Acc	4	objp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	_	_
9	Pforte	Pforte	N	NN	Fem|Acc|Sg	7	pn	_	_
10	?	?	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	naht	nahen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	von	von	P	APPR	Dat	6	pp	_	_
5	Himmelsduft	Himmelsduft	N	NN	Masc|Dat|Sg	4	pn	_	_
6	umrauscht	umrauschen	V	VVPP	_	2	neb	_	_
7	?	?	$	$.	_	0	root	_	_

1	Woher	Woher	P	PWAV	_	0	root	_	_
2	des	die	A	ART	Def|_|Gen|Sg	0	root	_	_
3	Trostes	Trost	N	NN	Masc|Gen|Sg	5	gmod	434	434
4	süße	süß	A	ADJA	Pos|Neut|_|Pl|St|	5	attr	434	434
5	Worte	Wort	N	NN	Neut|_|Pl	0	root	434	434
6	,	,	$	$,	_	0	root	434	434
7	Auf	auf	P	APPR	Acc	13	pp	434	434
8	die	die	P	PRELS	Neut|Acc|Pl	7	pn	434	434
9	mein	meine	A	PPOSAT	_|Nom|Sg	10	det	_	_
10	Herz	Herz	N	NN	_|Nom|Sg	13	subj	_	_
11	voll	voll	P	APPR	_	13	pp	_	_
12	Andacht	Andacht	N	NN	Fem|_|Sg	11	pn	_	_
13	lauscht	lauschen	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	_
14	?	?	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	2	subj	_	_
2	neigt	neigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	wenn	wenn	K	KOUS	_	7	konj	_	_
5	alle	alle	A	PIDAT	Masc|Nom|Pl	6	det	_	_
6	Sterne	Stern	N	NN	Masc|Nom|Pl	7	subj	_	_
7	sanken	sinken	V	VVFIN	3|Pl|Past|Ind	2	neb	_	_
8	Mit	mit	P	APPR	Dat	7	pp	_	_
9	mildem	mild	A	ADJA	Pos|Neut|Dat|Sg|St|	10	attr	_	_
10	Licht	Licht	N	NN	Neut|Dat|Sg	8	pn	_	_
11	und	und	K	KON	_	10	kon	_	_
12	stiller	still	A	ADJA	Pos|Fem|Dat|Sg|St|	13	attr	_	_
13	Huld	Huld	N	NN	Fem|Dat|Sg	11	cj	_	_
14	Sich	sie	P	PRF	3|_|Dat	7	objd	_	_
15	zu	zu	P	APPR	Dat	7	pp	_	_
16	dem	die	A	ART	Def|_|Dat|Sg	17	det	_	_
17	Staub-	Staub-	T	TRUNC	_|Dat|Sg	15	pn	_	_
18	und	und	K	KON	_	17	kon	_	_
19	Erdenkranken	Erdenkranke	N	NN	_|_|_	18	cj	_	_
20	?	?	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Engel	Engel	N	NN	Masc|Nom|Sg	2	pred	_	_
5	der	die	A	ART	Def|Fem|Gen|Sg	6	det	_	_
6	Geduld	Geduld	N	NN	Fem|Gen|Sg	4	gmod	_	_
7	!	!	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	0	root	358	358
2	,	,	$	$,	_	0	root	_	_
3	laß	laß	V	VVIMP	_	0	root	_	_
4	den	die	A	ART	Def|Masc|Acc|Sg	5	det	_	_
5	Gram	Gram	N	NN	Masc|Acc|Sg	3	obja	_	_
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	mächtig	mächtig	A	ADJD	Pos|	3	adv	_	_
8	werden	werden	V	VAINF	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	Du	du	P	PPER	2|Sg|_|Nom	0	root	435	435
11	tiefbetrübtes	tiefbetrübt	A	ADJA	Pos|Neut|_|Sg|St|	12	attr	_	_
12	Menschenkind	Menschenkind	N	NN	Neut|_|Sg	0	root	_	_
13	!	!	$	$.	_	0	root	_	_

1	Wiß	Wiß	N	NE	_	0	root	436	436
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	12	konj	_	_
4	die	die	A	ART	Def|_|Nom|Pl	5	det	_	_
5	Leiden	Leiden	N	NN	_|Nom|Pl	12	subj	_	_
6	dieser	diese	A	PDAT	Fem|Gen|Pl	7	det	_	_
7	Erden	Erde	N	NN	Fem|Gen|Pl	5	gmod	_	_
8	Des	die	A	ART	Def|Masc|Gen|Sg	9	det	130	130
9	Himmels	Himmel	N	NN	Masc|Gen|Sg	7	gmod	130	130
10	beste	gut	A	ADJA	Sup|Fem|Nom|Pl|St|	11	attr	_	_
11	Gaben	Gabe	N	NN	Fem|Nom|Pl	12	pred	_	_
12	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	Und	und	K	KON	_	0	root	_	_
15	daß	daß	K	KOUS	_	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	wenn	wenn	K	KOUS	_	20	konj	_	_
18	Sorgen	Sorge	N	NN	Fem|Nom|Pl	20	subj	311	311
19	Dich	Dich	N	NE	Fem|Nom|Pl	18	app	311	311
20	umwogen	umwiegen	V	VVFIN	3|Pl|_|_	0	root	_	_
21	Und	und	K	KON	_	20	kon	_	_
22	Dich	Dich	N	NE	_|Nom|Sg	23	subj	311	311
23	umhüllt	umhüllen	V	VVFIN	3|Sg|Pres|Ind	21	cj	_	_
24	des	die	A	ART	Def|_|Gen|Sg	25	det	_	_
25	Zweifels	Zweifel	N	NN	Fem|Gen|Sg	0	root	_	_
26	Nacht	Nacht	N	NN	Fem|Gen|Sg	25	app	_	_
27	,	,	$	$,	_	0	root	_	_
28	Dort	dort	A	ADV	_	38	adv	_	_
29	an	an	P	APPR	Dat	38	pp	_	_
30	dem	die	A	ART	Def|_|Dat|Sg	31	det	_	_
31	glanzumfloss	glanzumfloss	F	FM	_|Dat|Sg	29	pn	_	_
32	'	'	$	$(	_	0	root	_	_
33	nen	nen	A	ADJA	_|Masc|Dat|_|_	34	attr	_	_
34	Bogen	Bogen	N	NN	Masc|Dat|_	31	app	_	_
35	Ein	ein	A	ART	Indef|Neut|Nom|Sg	37	det	_	_
36	treues	treu	A	ADJA	Pos|Neut|Nom|Sg|St|	37	attr	_	_
37	Vaterauge	Vaterauge	N	NN	Neut|Nom|Sg	38	subj	_	_
38	wacht	wachen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
39	!	!	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	0	root	358	358
2	,	,	$	$,	_	0	root	_	_
3	laß	laß	V	VVFIN	_	8	s	_	_
4	Dir	du	P	PPER	2|Sg|_|Dat	3	objd	435	435
5	nicht	nicht	P	PTKNEG	_	3	adv	_	_
6	zu	zu	P	APPR	Dat	3	pp	_	_
7	Herzen	Herzen	N	NN	Neut|Dat|Sg	6	pn	_	_
8	steigen	steigen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
9	Die	die	A	ART	Def|_|Nom|Pl	10	det	_	_
10	langverhalt	langverhalt	N	NN	_|Nom|Pl	8	subj	_	_
11	'	'	$	$(	_	0	root	_	_
12	ne	ne	F	FM	_|Nom|Pl	10	app	_	_
13	Thränenfluth	Thränenfluth	F	FM	_|Nom|Pl	12	app	_	_
14	!	!	$	$.	_	0	root	_	_

1	Wiß	Wiß	N	NE	_	0	root	436	436
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	11	konj	_	_
4	grad	grad	A	ADV	_	11	adv	_	_
5	in	in	P	APPR	Dat	11	pp	_	_
6	den	die	A	ART	Def|Neut|Dat|Pl	8	det	_	_
7	schmerzensreichen	schmerzensreich	A	ADJA	Pos|Neut|Dat|Pl|_|	8	attr	_	_
8	Geschicken	Geschick	N	NN	Neut|Dat|Pl	5	pn	_	_
9	tiefe	tief	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	_	_
10	Weisheit	Weisheit	N	NN	Fem|Nom|Sg	11	subj	_	_
11	ruht	ruhen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	Und	und	K	KON	_	11	kon	_	_
14	daß	daß	K	KOUS	_	27	konj	_	_
15	,	,	$	$,	_	0	root	_	_
16	wenn	wenn	K	KOUS	_	20	konj	_	_
17	sonst	sonst	A	ADV	_	20	adv	_	_
18	Dir	du	P	PPER	2|Sg|_|Dat	20	objd	435	435
19	nichts	nichts	P	PIS	_|Nom|Sg	20	subj	_	_
20	verbliebe	verbleiben	V	VVFIN	3|Sg|Past|Subj	27	neb	_	_
21	,	,	$	$,	_	0	root	_	_
22	Die	die	A	ART	Def|Fem|Nom|Sg	23	det	393	393
23	Hoffnung	Hoffnung	N	NN	Fem|Nom|Sg	27	subj	393	393
24	doch	doch	A	ADV	_	27	adv	_	_
25	Dir	du	P	PPER	2|Sg|_|Dat	27	objd	435	435
26	immer	immer	A	ADV	_	27	adv	_	_
27	lacht	lachen	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	_
28	,	,	$	$,	_	0	root	_	_
29	Da	Da	K	KOUS	_	40	konj	_	_
30	über	über	P	APPR	_	40	pp	_	_
31	Dich	Dich	N	NN	_|_|_	30	pn	311	311
32	in	in	P	APPR	_	40	pp	_	_
33	ew	ew	F	FM	_|_|_	32	pn	_	_
34	'	'	$	$(	_	0	root	_	_
35	ger	ger	A	ADJA	_|_|_|_|_	36	attr	_	_
36	Liebe	Liebe	N	NN	_|_|_	33	app	_	_
37	Ein	ein	A	ART	Indef|Neut|Nom|Sg	39	det	_	_
38	treues	treu	A	ADJA	Pos|Neut|Nom|Sg|St|	39	attr	_	_
39	Vaterauge	Vaterauge	N	NN	Neut|Nom|Sg	40	subj	_	_
40	wacht	wachen	V	VVFIN	3|Sg|Pres|Ind	27	neb	_	_
41	!	!	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	3	vok	358	358
2	,	,	$	$,	_	0	root	_	_
3	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
4	nie	nie	A	ADV	_	7	adv	_	_
5	Dich	Dich	N	NE	_|Nom|Sg	3	subj	311	311
6	einsam	einsam	A	ADJD	Pos|	7	pred	_	_
7	fühlen	fühlen	V	VVINF	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Obgleich	obgleich	K	KOUS	_	15	konj	_	_
10	kein	keine	A	PIAT	_|Nom|Sg	11	det	_	_
11	Aug	Aug	N	NN	_|Nom|Sg	15	subj	_	_
12	'	'	$	$(	_	0	root	_	_
13	sie	sie	P	PPER	3|_|_|_	14	obja	311	311
14	wandeln	wandeln	V	VVINF	_	15	obji	_	_
15	sah	sehen	V	VVFIN	3|Sg|Past|Ind	3	neb	_	_
16	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	3	det	_	_
2	sorgenvolle	sorgenvoll	A	ADJA	Pos|Fem|_|Sg|_|	3	attr	_	_
3	Stirn	Stirn	N	NN	Fem|_|Sg	5	obja	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	kühlen	kühlen	V	VVINF	_	6	aux	_	_
6	Sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
7	Himmelsboten	Himmelsbote	N	NN	Masc|Nom|Pl	6	subj	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	da	da	A	ADV	_	5	adv	_	_
10	!	!	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	_|Nom|Sg	8	subj	_	_
2	stets	stets	A	ADV	_	8	adv	_	_
3	dem	die	A	ART	Def|_|Dat|Sg	4	det	_	_
4	eig	eig	N	NN	_|Dat|Sg	8	objd	_	_
5	'	'	$	$(	_	0	root	_	_
6	nen	nen	A	ADJA	_|Neut|Dat|Sg|_	7	attr	_	_
7	Herzen	Herzen	N	NN	Neut|Dat|Sg	4	app	_	_
8	glaubte	glauben	V	VVFIN	3|Sg|Past|_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	Der	die	A	ART	Def|_|_|_	11	det	_	_
11	kennt	kennt	N	NN	_|_|_	0	root	_	_
12	des	die	A	ART	Def|Masc|Gen|Sg	13	det	_	_
13	Pulses	Puls	N	NN	Masc|Gen|Sg	11	gmod	_	_
14	heil	heil	A	ADJD	Pos|	16	adv	_	_
15	'	'	$	$(	_	0	root	_	_
16	ge	ge	A	ADJA	_|Fem|Gen|Sg|_	17	attr	_	_
17	Nacht	Nacht	N	NN	Fem|Gen|Sg	13	app	_	_
18	.	.	$	$.	_	0	root	_	_

1	Drum	Drum	P	PROAV	_	2	pp	_	_
2	wiß	wiß	V	VVFIN	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	11	konj	_	_
5	über	über	P	APPR	Dat	11	pp	_	_
6	Deinem	deine	A	PPOSAT	Neut|Dat|Sg	7	det	437	437
7	Haupte	Haupt	N	NN	Neut|Dat|Sg	5	pn	_	_
8	Ein	ein	A	ART	Indef|Neut|Nom|Sg	10	det	_	_
9	treues	treu	A	ADJA	Pos|Neut|Nom|Sg|St|	10	attr	_	_
10	Vaterauge	Vaterauge	N	NN	Neut|Nom|Sg	11	subj	_	_
11	wacht	wachen	V	VVFIN	3|Sg|Pres|Ind	2	subjc	_	_
12	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	öffnet	öffnen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	Dein	deine	A	PPOSAT	Neut|Nom|Sg	5	det	437	437
5	Auge	Auge	N	NN	Neut|Nom|Sg	2	subj	_	_
6	wieder	wieder	A	ADV	_	2	adv	_	_
7	Dem	die	A	ART	Def|Masc|Dat|Sg	11	det	_	_
8	hellen	hell	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
9	,	,	$	$,	_	0	root	_	_
10	goldnen	goldnen	A	ADJA	_|Masc|Dat|Sg|_|_	8	kon	_	_
11	Sonnenstrahl	Sonnenstrahl	N	NN	Masc|Dat|Sg	2	objd	_	_
12	,	,	$	$,	_	0	root	_	_
13	Steigt	steigen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
14	Dir	du	P	PPER	2|Sg|_|Dat	13	objd	437	437
15	des	die	A	ART	Def|_|Gen|Sg	17	det	438	438
16	Lichtes	licht	A	ADJA	Pos|Neut|_|Sg|St|	17	attr	438	438
17	Seraph	Seraph	N	NN	_|Gen|Sg	0	root	438	438
18	nieder	nieder	P	PTKVZ	_	0	root	_	_
19	,	,	$	$,	_	0	root	_	_
20	Den	die	P	PRELS	Masc|Acc|Sg	0	root	438	438
21	Du	du	P	PPER	2|Sg|_|Nom	0	root	437	437
22	ersehnt	ersehnen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
23	viel	viel	A	ADV	_	22	adv	_	_
24	tausend	tausend	C	CARD	_	25	attr	_	_
25	Mal	Mal	N	NN	Neut|_|Pl	22	obja	_	_
26	.	.	$	$.	_	0	root	_	_

1	O	O	N	NN	Neut|_|_	3	vok	358	358
2	,	,	$	$,	_	0	root	_	_
3	wolle	wollen	V	VMFIN	_|Sg|Pres|Subj	0	root	_	_
4	stets	stets	A	ADV	_	7	adv	_	_
5	den	die	A	ART	Def|Masc|_|_	6	det	_	_
6	Glauben	Glaube	N	NN	Masc|_|_	7	obja	_	_
7	hegen	hegen	V	VVINF	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Der	die	P	PRELS	_|_|Sg	0	root	_	_
10	Deiner	deine	A	PPOSAT	_|_|_	0	root	437	437
11	Seele	Seele	N	NN	Masc|Nom|Sg	13	subj	_	_
12	Trost	Trost	N	NN	Masc|Nom|Sg	11	app	_	_
13	gebracht	bringen	V	VVPP	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	Daß	daß	K	KOUS	_	23	konj	_	_
16	über	über	P	APPR	_	23	pp	_	_
17	allen	alle	A	PIDAT	_|_|_	16	pn	_	_
18	Deinen	deine	A	PPOSAT	Masc|Dat|Pl	19	det	437	437
19	Wegen	Weg	N	NN	Masc|Dat|Pl	23	objd	_	_
20	Ein	ein	A	ART	Indef|Neut|Nom|Sg	22	det	_	_
21	treues	treu	A	ADJA	Pos|Neut|Nom|Sg|St|	22	attr	_	_
22	Vaterauge	Vaterauge	N	NN	Neut|Nom|Sg	23	subj	_	_
23	wacht	wachen	V	VVFIN	3|Sg|Pres|Ind	13	objc	_	_
24	!	!	$	$.	_	0	root	_	_
25	«	«	$	$(	_	0	root	_	_

1	Als	Als	K	KOUS	_	4	konj	_	_
2	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	7	7
3	geendet	enden	V	VVPP	_	4	aux	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	6	neb	_	_
5	,	,	$	$,	_	0	root	_	_
6	schlug	schlagen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	7	7
8	das	die	A	ART	Def|Neut|_|Sg	9	det	431	431
9	Buch	Buch	N	NN	Neut|_|Sg	6	obja	431	431
10	wieder	wieder	A	ADV	_	6	adv	_	_
11	zu	zu	P	PTKVZ	_	6	avz	_	_
12	und	und	K	KON	_	6	kon	_	_
13	verließ	verlassen	V	VVFIN	_|Sg|Past|Ind	12	cj	_	_
14	mit	mit	P	APPR	Dat	13	pp	_	_
15	einem	eine	A	ART	Indef|_|Dat|Sg	21	det	_	_
16	wie	wie	K	KOKOM	_	21	kom	_	_
17	vorhin	vorhin	A	ADV	_	18	adv	_	_
18	kurzen	kurz	A	ADJA	Pos|_|_|_|_|	16	cj	_	_
19	»	»	$	$(	_	0	root	_	_
20	Gute	gut	A	ADJA	Pos|_|_|_|_|	21	attr	_	_
21	Nacht	Nacht	N	NN	_|Dat|Sg	14	pn	_	_
22	«	«	$	$(	_	0	root	_	_
23	die	die	A	ART	Def|Fem|_|Sg	24	det	439	439
24	Stube	Stube	N	NN	Fem|_|Sg	13	obja	439	439
25	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOKOM	_	5	konj	_	_
5	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	neb	_	_
6	das	die	A	ART	Def|Neut|Nom|Sg	7	det	441	441
7	Gedicht	Gedicht	N	NN	Neut|Nom|Sg	5	subj	441	441
8	grad	grad	A	ADV	_	14	adv	_	_
9	für	für	P	APPR	Acc	14	pp	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	11	det	_	_
11	Seelenstimmung	Seelenstimmung	N	NN	Fem|Acc|Sg	9	pn	_	_
12	der	die	A	ART	Def|_|Gen|_	13	det	_	_
13	Anwesenden	Anwesende	N	NN	_|Gen|_	11	gmod	_	_
14	geschrieben	schreiben	V	VVPP	_	5	aux	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	5	kon	_	_
17	Niemand	niemand	P	PIS	_|Nom|Sg	18	subj	_	_
18	konnte	können	V	VMFIN	3|Sg|Past|Ind	16	cj	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	21	det	440	440
20	tiefen	tief	A	ADJA	Pos|Masc|Acc|Sg|_|	21	attr	440	440
21	Eindruck	Eindruck	N	NN	Masc|Acc|Sg	30	obja	440	440
22	,	,	$	$,	_	0	root	440	440
