1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	995	995
13	warf	werfen	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
14	sich	sie	P	PRF	3|_|_	13	obja	_	_
15	auf	auf	P	APPR	Acc	13	pp	_	_
16	ihn	er	P	PPER	3|Sg|Masc|Acc	15	pn	1018	1018
17	nieder	nieder	P	PTKVZ	_	13	avz	_	_
18	und	und	K	KON	_	13	kon	_	_
19	krallte	krallen	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	ihm	er	P	PPER	3|Sg|_|Dat	19	objd	1018	1018
21	die	die	A	ART	Def|Fem|_|Pl	23	det	_	_
22	beiden	beide	A	PIDAT	Fem|_|Pl	23	attr	_	_
23	Hände	Hand	N	NN	Fem|_|Pl	19	obja	_	_
24	um	um	P	APPR	Acc	19	pp	_	_
25	den	die	A	ART	Def|Masc|Acc|Sg	26	det	1019	1019
26	Hals	Hals	N	NN	Masc|Acc|Sg	24	pn	1019	1019
27	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1021	1021
2	wollten	wollen	V	VMFIN	1|Pl|Past|_	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	7	7
4	wegreißen	wegreißen	V	VVINF	_	2	aux	_	_
5	-	-	$	$(	_	0	root	_	_
6	vergebliches	vergeblich	A	ADJA	Pos|Neut|_|Sg|St|	7	attr	_	_
7	Beginnen	Beginnen	N	NN	Neut|_|Sg	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Bei	bei	P	APPR	Dat	5	pp	_	_
2	seiner	seine	A	PPOSAT	Fem|Dat|Sg	4	det	1019	1019
3	jetzigen	jetzig	A	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	_
4	Aufregung	Aufregung	N	NN	Fem|Dat|Sg	1	pn	_	_
5	hätten	haben	V	VAFIN	_|Pl|Past|Subj	0	root	_	_
6	ihn	er	P	PPER	3|Sg|Masc|Acc	5	obja	1019	1019
7	,	,	$	$,	_	0	root	_	_
8	wie	wie	P	PWAV	_	12	adv	_	_
9	man	man	P	PIS	_|Nom|Sg	12	subj	_	_
10	zu	zu	P	PTKZU	_	11	part	_	_
11	sagen	sagen	V	VVINF	_	12	obji	_	_
12	pflegt	pflegen	V	VVFIN	3|Sg|Pres|Ind	5	subjc	_	_
13	,	,	$	$,	_	0	root	_	_
14	zehn	zehn	C	CARD	_	15	attr	_	_
15	Pferde	Pferd	N	NN	Neut|_|Pl	0	root	_	_
16	nicht	nicht	P	PTKNEG	_	17	adv	_	_
17	fortzuziehen	fortziehen	V	VVIZU	_	0	root	_	_
18	vermocht	vermögen	V	VVPP	_	17	neb	_	_
19	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1019	1019
2	hielt	halten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	_	_
4	Hals	Hals	N	NN	Masc|Acc|Sg	10	obja	_	_
5	seines	seine	A	PPOSAT	_|Gen|Sg	6	det	1019	1019
6	Feindes	Feind	N	NN	_|Gen|Sg	4	gmod	_	_
7	wie	wie	K	KOKOM	_	6	kom	_	_
8	mit	mit	P	APPR	Dat	7	cj	_	_
9	Eisenklammern	Eisenklammer	N	NN	_|Dat|_	8	pn	_	_
10	umfaßt	umfaßt	V	VVFIN	_	0	root	_	_
11	und	und	K	KON	_	10	kon	_	_
12	stieß	stoßen	V	VVFIN	3|Sg|Past|Ind	11	cj	_	_
13	dabei	dabei	P	PROAV	_	12	pp	_	_
14	Laute	Laut	N	NN	_|_|Pl	12	obja	1020	1020
15	aus	aus	P	PTKVZ	_	12	avz	1020	1020
16	,	,	$	$,	_	0	root	1020	1020
17	welche	welche	P	PRELS	_|Nom|Pl	34	subj	1020	1020
18	nicht	nicht	P	PTKNEG	_	32	adv	_	_
19	mit	mit	P	APPR	Dat	32	objp	_	_
20	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
21	Stimme	Stimme	N	NN	Fem|Dat|Sg	19	pn	_	_
22	eines	eine	A	ART	Indef|Neut|Gen|Sg	23	det	_	_
23	Tieres	Tier	N	NN	Neut|Gen|Sg	21	gmod	_	_
24	und	und	K	KON	_	23	kon	_	_
25	noch	noch	A	ADV	_	26	adv	_	_
26	viel	viel	A	ADV	_	27	adv	_	_
27	weniger	wenige	P	PIS	_|Gen|_	24	cj	_	_
28	mit	mit	P	APPR	Dat	27	pp	_	_
29	derjenigen	diejenige	P	PDS	Fem|Dat|Sg	28	pn	_	_
30	des	die	A	ART	Def|Masc|Gen|Sg	31	det	267	267
31	Menschen	Mensch	N	NN	Masc|Gen|Sg	29	gmod	267	267
32	verglichen	vergleichen	V	VVPP	_	33	aux	_	_
33	werden	werden	V	VAINF	_	34	aux	_	_
34	konnten	können	V	VMFIN	3|Pl|Past|Ind	14	rel	_	_
35	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1021	1021
2	zogen	ziehen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	und	und	K	KON	_	2	kon	_	_
4	zerrten	zerren	V	VVFIN	_|Pl|Past|_	3	cj	_	_
5	an	an	P	APPR	Dat	4	pp	_	_
6	ihm	er	P	PPER	3|Sg|_|Dat	5	pn	267	267
7	;	;	$	$.	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	267	267
9	achtete	achten	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	es	es	P	PPER	3|Sg|Neut|_	9	obja	_	_
11	nicht	nicht	P	PTKNEG	_	9	adv	_	_
12	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	2	det	1022	1022
2	Gesicht	Gesicht	N	NN	Neut|_|Sg	0	root	1022	1022
3	Wellers	Weller	N	NN	Masc|Gen|Sg	4	objg	559	559
4	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	eine	eine	A	ART	Indef|Fem|Nom|Sg	10	det	_	_
6	dunkle	dunkel	A	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	_	_
7	und	und	K	KON	_	6	kon	_	_
8	immer	immer	A	ADV	_	9	adv	_	_
9	dunklere	dunkel	A	ADJA	Comp|_|Nom|_|_|	7	cj	_	_
10	Färbung	Färbung	N	NN	Fem|Nom|Sg	4	subj	_	_
11	an	an	P	PTKVZ	_	4	avz	_	_
12	;	;	$	$.	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	267	267
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	am	an	P	APPRART	Dat	14	pp	_	_
16	Ersticken	Ersticken	N	NN	Neut|Dat|Sg	15	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	nahmen	nehmen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1021	1021
4	alle	alle	P	PIS	_|Nom|_	3	app	_	_
5	unsere	unsre	A	PPOSAT	Fem|_|Pl	6	det	1021	1021
6	Kräfte	Kraft	N	NN	Fem|_|Pl	2	obja	_	_
7	zusammen	zusammen	P	PTKVZ	_	2	avz	_	_
8	und	und	K	KON	_	2	kon	_	_
9	zerrten	zerren	V	VVFIN	_|Pl|Past|_	8	cj	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	11	det	954	954
11	Herkules	Herkules	N	NN	Masc|Acc|Sg	9	obja	954	954
12	auf	auf	P	PTKVZ	_	9	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	aber	aber	K	KON	_	0	root	_	_
15	mit	mit	P	APPR	Dat	18	pp	_	_
16	ihm	er	P	PPER	3|Sg|_|Dat	15	pn	267	267
17	auch	auch	A	ADV	_	18	adv	_	_
18	Weller	Weller	N	NN	_	14	cj	_	_
19	,	,	$	$,	_	0	root	_	_
20	dessen	die	A	PRELAT	Masc|_|Sg	21	det	1019	1019
21	Hals	Hals	N	NN	Masc|_|Sg	28	obja	1019	1019
22	er	er	P	PPER	3|Sg|Masc|Nom	28	subj	267	267
23	so	so	A	ADV	_	24	adv	_	_
24	fest	fest	A	ADJD	Pos|	28	adv	_	_
25	wie	wie	K	KOKOM	_	28	kom	_	_
26	zuvor	zuvor	A	ADV	_	27	adv	_	_
27	umklammert	umklammern	V	VVPP	_	25	cj	_	_
28	hielt	halten	V	VVFIN	3|Sg|Past|Ind	18	rel	_	_
29	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1021	1021
2	versuchten	versuchen	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	seine	seine	A	PPOSAT	Masc|_|_	5	det	267	267
5	Finger	Finger	N	NN	Masc|_|_	7	obja	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	lösen	lösen	V	VVINF	_	2	obji	_	_
8	,	,	$	$,	_	0	root	_	_
9	vergeblich	vergeblich	A	ADJD	Pos|	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	bis	bis	K	KOUS	_	16	konj	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	16	subj	1024	1024
13	auf	auf	P	APPR	_	16	objp	_	_
14	den	die	A	ART	Def|Masc|_|_	15	det	66	66
15	Gedanken	Gedanke	N	NN	Masc|_|_	13	pn	66	66
16	kam	kommen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	ihn	er	P	PPER	3|Sg|Masc|Acc	23	obja	66	66
19	durch	durch	P	APPR	Acc	23	pp	_	_
20	Schmerzen	Schmerz	N	NN	_|Acc|_	19	pn	1023	1023
21	von	von	P	APPR	_	23	objp	_	_
22	Weller	Weller	N	NN	_|_|_	21	pn	835	835
23	abzubringen	abbringen	V	VVIZU	_	16	obji	_	_
24	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1024	1024
2	gab	geben	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	66	66
4	also	also	A	ADV	_	2	adv	_	_
5	einen	eine	P	PIS	_|_|_	2	obja	_	_
6	,	,	$	$,	_	0	root	_	_
7	allerdings	allerdings	A	ADV	_	8	adv	_	_
8	nur	nur	A	ADV	_	10	adv	_	_
9	leisen	leis	A	ADJA	Pos|Masc|_|Sg|_|	10	attr	_	_
10	Schlag	Schlag	N	NN	Masc|_|Sg	5	app	_	_
11	auf	auf	P	APPR	Acc	10	pp	_	_
12	den	die	A	ART	Def|Masc|Acc|Sg	13	det	337	337
13	Kopf	Kopf	N	NN	Masc|Acc|Sg	11	pn	337	337
14	,	,	$	$,	_	0	root	_	_
15	und	und	K	KON	_	2	kon	_	_
16	sogleich	sogleich	A	ADV	_	17	adv	_	_
17	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	15	cj	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	337	337
19	den	die	A	ART	Def|_|_|_	20	det	_	_
20	andern	andern	A	ADJA	_|_|_	17	obja	_	_
21	los	los	P	PTKVZ	_	17	avz	_	_
22	und	und	K	KON	_	17	kon	_	_
23	griff	greifen	V	VVFIN	_|Sg|Past|Ind	22	cj	_	_
24	mit	mit	P	APPR	Dat	23	pp	_	_
25	beiden	beide	A	PIDAT	Fem|Dat|Pl	26	det	_	_
26	Händen	Hand	N	NN	Fem|Dat|Pl	24	pn	_	_
27	nach	nach	P	APPR	Dat	23	objp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	1025	1025
29	Stelle	Stelle	N	NN	Fem|Dat|Sg	27	pn	1025	1025
30	,	,	$	$,	_	0	root	1025	1025
31	welche	welche	P	PRELS	Fem|_|Sg	33	obja	1025	1025
32	ich	ich	P	PPER	1|Sg|_|Nom	34	subj	1024	1024
33	berührt	berühren	V	VVPP	_	34	aux	_	_
34	hatte	haben	V	VAFIN	1|Sg|Past|Ind	29	rel	_	_
35	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	337	337
2	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	da	da	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	vor	vor	P	APPR	_	7	pp	_	_
6	Schmerz	Schmerz	N	NN	Masc|_|Sg	5	pn	1026	1026
7	schreiend	schreien	A	ADJD	_|<PPRES	0	root	_	_
8	;	;	$	$.	_	0	root	_	_
9	sein	seine	A	PPOSAT	Neut|Nom|Sg	10	det	337	337
10	Geschrei	Geschrei	N	NN	Neut|Nom|Sg	11	subj	_	_
11	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	in	in	P	APPR	_	11	objp	_	_
13	Wimmern	Wimmer	N	NN	_|_|_	12	pn	_	_
14	über	über	P	PTKVZ	_	11	avz	_	_
15	;	;	$	$.	_	0	root	_	_
16	dann	dann	A	ADV	_	17	adv	_	_
17	knickte	knicken	V	VVFIN	3|Sg|Past|_	0	root	_	_
18	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	337	337
19	langsam	langsam	A	ADJD	Pos|	17	adv	_	_
20	zusammen	zusammen	P	PTKVZ	_	17	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	kam	kommen	V	VVFIN	_|Sg|Past|Ind	17	kon	_	_
23	auf	auf	P	APPR	Acc	22	objp	_	_
24	die	die	A	ART	Def|Fem|Acc|Sg	25	det	187	187
25	Erde	Erde	N	NN	Fem|Acc|Sg	23	pn	187	187
26	zu	zu	P	PTKZU	_	27	part	_	_
27	liegen	liegen	V	VVINF	_	22	obji	_	_
28	,	,	$	$,	_	0	root	_	_
29	schloß	schloß	V	VVFIN	_	22	kon	_	_
30	die	die	A	ART	Def|Neut|_|Pl	31	det	136	136
31	Augen	Auge	N	NN	Neut|_|Pl	29	obja	136	136
32	und	und	K	KON	_	29	kon	_	_
33	war	sein	V	VAFIN	_|Sg|Past|Ind	32	cj	_	_
34	still	still	A	ADJD	Pos|	33	pred	_	_
35	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Fem|Dat|Sg	3	det	_	_
2	übergroßen	übergroß	A	ADJA	Pos|Fem|Dat|Sg|Wk|	3	attr	_	_
3	Anstrengung	Anstrengung	N	NN	Fem|Dat|Sg	9	objd	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	eine	eine	A	ART	Indef|Fem|Nom|Sg	8	det	_	_
6	ebenso	ebenso	A	ADV	_	7	adv	_	_
7	große	groß	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Ermattung	Ermattung	N	NN	Fem|Nom|Sg	4	subj	_	_
9	gefolgt	folgen	V	VVPP	_	4	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	6	konj	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	1024	1024
3	ihn	er	P	PPER	3|Sg|Masc|Acc	6	obja	337	337
4	so	so	A	ADV	_	5	adv	_	_
5	daliegen	daliegen	V	VVINF	_	6	obji	_	_
6	sah	sehen	V	VVFIN	1|Sg|Past|Ind	8	neb	_	_
7	,	,	$	$,	_	0	root	_	_
8	fiel	fallen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	8	objd	1024	1024
10	auf	auf	P	PTKVZ	_	8	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	was	was	P	PRELS	Neut|_|Sg	17	obja	1027	1027
13	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	1024	1024
14	vorher	vorher	A	ADV	_	17	adv	_	_
15	nicht	nicht	P	PTKNEG	_	17	adv	_	_
16	so	so	A	ADV	_	17	adv	_	_
17	beachtet	beachten	V	VVPP	_	18	aux	_	_
18	hatte	haben	V	VAFIN	1|Sg|Past|Ind	8	subjc	_	_
19	,	,	$	$,	_	0	root	_	_
20	nämlich	nämlich	A	ADV	_	23	adv	1028	1028
21	sein	seine	A	PPOSAT	Neut|_|Sg	23	det	1027	1027
22	elendes	elend	A	ADJA	Pos|Neut|_|Sg|St|	23	attr	_	_
23	Aussehen	Aussehen	N	NN	Neut|_|Sg	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	welches	welche	P	PRELS	Neut|Nom|Sg	32	subj	1028	1028
26	von	von	P	APPR	_	31	objp	_	_
27	seiner	seine	A	PPOSAT	Fem|_|Sg	28	det	1028	1028
28	Verwundung	Verwundung	N	NN	Fem|_|Sg	26	pn	_	_
29	allein	allein	A	ADV	_	26	adv	_	_
30	nicht	nicht	P	PTKNEG	_	31	adv	_	_
31	herrühren	herrühren	V	VVINF	_	32	aux	_	_
32	konnte	können	V	VMFIN	3|Sg|Past|Ind	23	rel	_	_
33	.	.	$	$.	_	0	root	_	_

1	Natürlich	natürlich	A	ADJD	Pos|	2	adv	_	_
2	untersuchten	untersuchen	V	VVFIN	1|Pl|Past|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	1032	1032
4	nun	nun	A	ADV	_	2	adv	_	_
5	den	die	A	ART	Def|_|_|_	6	det	_	_
6	Gewürgten	Gewürgte	N	NN	_|_|_	2	obja	_	_
7	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	tot	tot	A	ADJD	_	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	erwürgt	erwürgen	V	VVFIN	_|_|Pres|Ind	2	kon	_	_
6	von	von	P	APPR	Dat	5	pp	_	_
7	den	die	A	ART	Def|Fem|Dat|Pl	8	det	139	139
8	Händen	Hand	N	NN	Fem|Dat|Pl	6	pn	139	139
9	dessen	die	P	PDS	_|Gen|Sg	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	den	die	P	PRELS	Masc|Acc|Sg	0	root	7	7
12	er	er	P	PPER	3|Sg|Masc|Nom	0	root	7	7
13	für	für	P	APPR	Acc	12	pp	_	_
14	tot	tot	A	ADJD	_	13	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	für	für	P	APPR	Acc	18	objp	_	_
17	ermordet	ermordet	A	ADJD	Pos|	16	pn	_	_
18	gehalten	halten	V	VVPP	_	19	aux	_	_
19	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
20	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	schnell	schnell	A	ADJD	Pos|	6	adv	_	_
3	und	und	K	KON	_	2	kon	_	_
4	wie	wie	P	PWAV	_	5	adv	_	_
5	schrecklich	schrecklich	A	ADJD	Pos|	3	cj	_	_
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
7	mein	meine	A	PPOSAT	Neut|Nom|Sg	8	det	1029	1029
8	Wort	Wort	N	NN	Neut|Nom|Sg	6	subj	1030)	1030)
9	,	,	$	$,	_	0	root	1030)	1030)
10	welches	welche	P	PRELS	Neut|_|Sg	17	obja	1029	1029
11	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	1030	1030
12	ihm	er	P	PPER	3|Sg|_|Dat	17	objd	7	7
13	in	in	P	APPR	_	17	pp	_	_
14	ganz	ganz	A	ADV	_	15	adv	_	_
15	anderer	anderer	A	ADJA	_|Fem|_|Sg|_	16	attr	_	_
16	Voraussetzung	Voraussetzung	N	NN	Fem|_|Sg	13	pn	_	_
17	gesagt	sagen	V	VVPP	_	18	aux	_	_
18	hatte	haben	V	VAFIN	1|Sg|Past|Ind	8	rel	_	_
19	,	,	$	$,	_	0	root	_	_
20	in	in	P	APPR	_	22	pp	_	_
21	Erfüllung	Erfüllung	N	NN	Fem|_|Sg	20	pn	_	_
22	gegangen	gehen	V	VVPP	_	6	aux	_	_
23	:	\:	$	$.	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Nicht	nicht	P	PTKNEG	_	28	adv	_	_
26	mein	meine	A	PPOSAT	Neut|Nom|Sg	27	det	1030	1030
27	Leben	Leben	N	NN	Neut|Nom|Sg	28	subj	_	_
28	schwebt	schweben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
29	in	in	P	APPR	_	28	pp	_	_
30	Gefahr	Gefahr	N	NN	Fem|_|Sg	29	pn	561	561
31	,	,	$	$,	_	0	root	_	_
32	sondern	sondern	K	KON	_	28	kon	_	_
33	das	die	A	ART	Def|Neut|Nom|Sg	34	det	1031	1031
34	Eurige	Eurige	N	NE	Neut|Nom|Sg	35	subj	1031	1031
35	hängt	hängen	V	VVFIN	3|Sg|Pres|Ind	32	cj	_	_
36	an	an	P	APPR	Dat	35	objp	_	_
37	einem	eine	A	ART	Indef|_|Dat|Sg	38	det	_	_
38	Faden	Faden	N	NN	_|Dat|Sg	36	pn	_	_
39	!	!	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_

