1	Et	Et	N	NE	_	0	root	10	10
17	segd	segd	F	FM	_	0	root	_	_
18	he	he	F	FM	_	17	app	_	_
19	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	treckt	trecken	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	he	he	A	ADJD	_	2	adv	_	_
4	weg	weg	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	un	un	F	FM	_	0	root	_	_
7	wie	wie	K	KOKOM	_	6	kom	_	_
8	he	he	F	FM	_	7	cj	_	_
9	unnerweges	unnerweges	F	FM	_	8	app	_	_
10	is	is	F	FM	_	9	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	ligd	ligd	F	FM	_	0	root	_	_
13	da	da	A	ADV	_	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	ne	ne	F	FM	_	0	root	_	_
16	Schriffedder	Schriffedder	F	FM	_	15	app	_	_
17	up	up	F	FM	_	16	app	_	_
18	'	'	$	$(	_	0	root	_	_
19	n	n	N	NN	_	17	app	_	_
20	Wegge	Wegge	N	NE	_	19	app	_	_
21	,	,	$	$,	_	0	root	_	_
22	he	he	F	FM	_|Nom|Sg	23	subj	_	_
23	will	wollen	V	VMFIN	3|Sg|Pres|Ind	25	s	_	_
24	se	se	F	FM	_	23	obja	_	_
25	eist	eisen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
26	(	(	$	$(	_	0	root	_	_
27	erst	erst	A	ADV	_	25	adv	_	_
28	)	)	$	$(	_	0	root	_	_
29	upnümmen	upnümmen	F	FM	_|Nom|Sg	25	subj	_	_
30	,	,	$	$,	_	0	root	_	_
31	da	da	A	ADV	_	32	adv	_	_
32	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	25	kon	_	_
33	he	he	F	FM	_|Nom|Sg	32	subj	_	_
34	awerst	awerst	F	FM	_|Nom|Sg	33	app	_	_
35	wier	wier	F	FM	_|Nom|Sg	34	app	_	_
36	bie	bi	A	ADJA	Pos|_|_|_|_|	0	root	_	_
37	sich	sie	P	PRF	3|_|_	0	root	_	_
38	'	'	$	$(	_	0	root	_	_
39	o	o	A	ADJD	_	0	root	_	_
40	,	,	$	$,	_	0	root	_	_
41	du	du	F	FM	_	0	root	_	_
42	süst	süst	F	FM	_	41	app	_	_
43	se	se	F	FM	_	42	app	_	_
44	auck	auck	F	FM	_	43	app	_	_
45	liggen	liggen	F	FM	_	44	app	_	_
46	laten	laten	F	FM	_	45	app	_	_
47	,	,	$	$,	_	0	root	_	_
48	du	du	P	PPER	2|Sg|_|Nom	49	subj	6	6
49	findst	findst	V	VVFIN	2|Sg|_|_	0	root	_	_
50	ja	ja	A	ADV	_	49	adv	_	_
51	wull	wull	A	ADJD	_	49	adv	_	_
52	,	,	$	$,	_	0	root	_	_
53	wo	wo	P	PWAV	_	56	adv	_	_
54	du	du	P	PPER	2|Sg|_|Nom	56	subj	6	6
55	hen	hen	A	ADJD	_	56	adv	_	_
56	kümmst	kümmst	V	VVFIN	2|Sg|_|_	49	rel	_	_
57	,	,	$	$,	_	0	root	_	_
58	,ne	,ne	N	NE	_	0	root	_	_
59	Schriffedder	Schriffedder	N	NE	_	58	app	_	_
60	,	,	$	$,	_	0	root	_	_
61	wenn	wenn	K	KOUS	_	0	root	_	_
62	du	du	P	PPER	2|Sg|_|Nom	0	root	6	6
63	eine	eine	A	ART	Indef|Fem|_|Sg	64	det	_	_
64	bruckest	bruckest	N	NN	Fem|_|Sg	0	root	_	_
65	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Wie	Wie	P	PWAV	_	0	root	_	_
3	he	he	A	ADJD	_	4	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	weggeit	weggeit	A	ADJD	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	do	do	F	FM	_	0	root	_	_
8	roppt	roppt	F	FM	_	7	app	_	_
9	et	et	F	FM	_	8	app	_	_
10	hinner	hinner	F	FM	_	9	app	_	_
11	üm	üm	F	FM	_	10	app	_	_
12	'	'	$	$(	_	0	root	_	_
13	Ferenand	Ferenand	F	FM	_	11	app	_	_
14	getrü	getrü	F	FM	_	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	nimm	nimm	F	FM	_	0	root	_	_
17	se	se	F	FM	_	16	app	_	_
18	mit	mit	P	PTKVZ	_	0	root	_	_
19	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	He	He	F	FM	_	0	root	_	_
3	süt	süt	F	FM	_	2	app	_	_
4	sik	sik	F	FM	_	3	app	_	_
5	ümme	ümme	F	FM	_	4	app	_	_
6	,	,	$	$,	_	0	root	_	_
7	süt	süt	F	FM	_	0	root	_	_
8	awerst	awerst	F	FM	_	7	app	_	_
9	keinen	keine	P	PIS	_|_|_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	da	da	K	KOUS	_	0	root	_	_
12	geit	geit	F	FM	_	0	root	_	_
13	he	he	F	FM	_	12	app	_	_
14	wier	wier	F	FM	_	13	app	_	_
15	torugge	torugge	F	FM	_	14	app	_	_
16	un	un	F	FM	_	15	app	_	_
17	nümmt	nümmt	F	FM	_	16	app	_	_
18	se	se	F	FM	_	17	app	_	_
19	up	up	F	FM	_	18	app	_	_
20	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	0	root	_	_
2	he	he	F	FM	_|_|_	0	root	_	_
3	wier	wier	F	FM	_|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	ne	ne	F	FM	_|_|_	3	app	_	_
6	Wile	Wile	F	FM	_|_|_	5	app	_	_
7	rien	rien	F	FM	_|_|_	6	app	_	_
8	(	(	$	$(	_	0	root	_	_
9	geritten	reiten	V	VVPP	_	7	par	_	_
10	)	)	$	$(	_	0	root	_	_
11	is	is	F	FM	_|_|_	7	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	kümmt	kümmt	F	FM	_|_|_	11	app	_	_
14	he	he	F	FM	_|_|_	13	app	_	_
15	bie	bi	A	ADJA	Pos|_|_|_|_|	17	attr	_	_
16	'	'	$	$(	_	0	root	_	_
17	n	n	N	NN	_|_|_	14	app	_	_
18	Water	Water	N	NE	_|_|_	17	app	_	_
19	vorbie	vorbi	A	ADJA	Pos|_|_|_|_|	24	attr	_	_
20	,	,	$	$,	_	0	root	_	_
21	so	so	A	ADV	_	22	adv	_	_
22	ligd	ligd	A	ADJD	_	19	kon	_	_
23	da	da	A	ADV	_	22	adv	_	_
24	en	en	F	FM	_|_|_	18	app	_	_
25	Fisk	Fisk	F	FM	_|_|_	24	app	_	_
26	am	an	P	APPRART	Dat	25	pp	_	_
27	Oewer	Oewer	N	NN	Neut|Dat|Sg	26	pn	_	_
28	(	(	$	$(	_	0	root	_	_
29	Ufer	Ufer	N	NN	Neut|Dat|Sg	27	app	_	_
30	)	)	$	$(	_	0	root	_	_
31	un	un	F	FM	_|_|_	25	app	_	_
32	snappet	snappet	F	FM	_|_|_	31	app	_	_
33	un	un	F	FM	_|_|_	32	app	_	_
34	happet	happet	F	FM	_|_|_	33	app	_	_
35	na	na	F	FM	_|_|_	34	app	_	_
36	LuPc	LuPc	F	FM	_|_|_	35	app	_	_
37	;	;	$	$.	_	0	root	_	_
38	so	so	A	ADV	_	0	root	_	_
39	segd	segd	F	FM	_|Nom|Sg	49	subj	_	_
40	he	he	F	FM	_|Nom|Sg	39	app	_	_
41	'	'	$	$(	_	0	root	_	_
42	töv	töv	N	NE	_|Nom|Sg	40	app	_	_
43	,	,	$	$,	_	0	root	_	_
44	min	min	F	FM	_|Nom|Sg	42	app	_	_
45	lewe	lewe	F	FM	_|Nom|Sg	44	app	_	_
46	Fisk	Fisk	F	FM	_|Nom|Sg	45	app	_	_
47	,	,	$	$,	_	0	root	_	_
48	ik	ik	V	VVINF	_	49	aux	_	_
49	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
50	die	die	A	ART	Def|_|_|_	51	det	_	_
51	helpen	helpen	N	NN	_|_|_	48	obja	_	_
52	,	,	$	$,	_	0	root	_	_
53	dat	dat	F	FM	_|_|_	51	app	_	_
54	du	du	F	FM	_|_|_	53	app	_	_
55	in	in	F	FM	_|_|_	54	app	_	_
56	,	,	$	$,	_	0	root	_	_
57	t	t	N	NN	_|_|_	54	app	_	_
58	Water	Water	N	NE	_|_|_	57	app	_	_
59	kümmst	kümmst	N	NE	_|_|_	58	app	_	_
60	,	,	$	$,	_	0	root	_	_
61	'	'	$	$(	_	0	root	_	_
62	un	un	F	FM	_|_|_	58	app	_	_
63	gript	gript	F	FM	_|_|_	62	app	_	_
64	'	'	$	$(	_	0	root	_	_
65	n	n	N	NN	_|_|_	63	app	_	_
66	bie	bi	A	ADJA	Pos|_|_|_|_|	68	attr	_	_
67	'	'	$	$(	_	0	root	_	_
68	n	n	F	FM	_|_|_	65	app	_	_
69	Schwans	Schwans	F	FM	_|_|_	68	app	_	_
70	un	un	F	FM	_|_|_	69	app	_	_
71	werpt	werpt	F	FM	_|_|_	70	app	_	_
72	'	'	$	$(	_	0	root	_	_
73	n	n	N	NN	_|_|_	71	app	_	_
74	in	in	P	APPR	_	73	pp	_	_
75	'	'	$	$(	_	0	root	_	_
76	t	t	N	NN	_|_|_	74	pn	7	7
77	Water	Water	N	NE	_|_|_	76	app	7	7
78	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	de	de	N	NE	_|Nom|Sg	2	subj	_	_
4	Fisk	Fisk	N	NE	_|Nom|Sg	3	app	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	_	_
6	Kopp	Kopp	N	NN	Masc|Acc|Sg	2	obja	_	_
7	ut	ut	F	FM	Masc|Acc|Sg	6	app	_	_
8	den	die	A	ART	Def|Masc|Acc|Sg	9	det	7	7
9	Water	Water	N	NN	Masc|Acc|Sg	0	root	7	7
10	un	un	F	FM	Masc|Acc|Sg	9	app	7	7
11	segd	segd	F	FM	Masc|Acc|Sg	10	app	7	7
12	'	'	$	$(	_	0	root	7	7
13	nu	nu	F	FM	Masc|Acc|Sg	11	app	7	7
14	du	du	F	FM	Masc|Acc|Sg	13	app	7	7
15	mie	mie	F	FM	Masc|Acc|Sg	14	app	7	7
16	ut	ut	F	FM	Masc|Acc|Sg	15	app	7	7
17	den	die	A	ART	Def|Masc|Acc|Sg	18	det	_	_
18	Kot	Kot	N	NN	Masc|Acc|Sg	0	root	_	_
19	holpen	holpen	F	FM	Masc|Acc|Sg	18	app	_	_
20	hest	hest	F	FM	Masc|Acc|Sg	19	app	_	_
21	,	,	$	$,	_	0	root	_	_
22	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
23	ik	ik	N	NE	_|Nom|Sg	22	subj	1	1
24	die	die	P	PDS	_|_|_	22	obja	_	_
25	,	,	$	$,	_	0	root	_	_
26	ne	ne	A	ADJA	_|_|_|_|_	27	attr	_	_
27	Flötenpiepen	Flötenpiep	N	NN	_|_|_	0	root	_	_
28	giwen	giwen	V	VVINF	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	wenn	wenn	K	KOUS	_	35	konj	_	_
31	du	du	P	PPER	2|Sg|_|Nom	35	subj	8	8
32	in	in	P	APPR	_	35	pp	_	_
33	de	de	N	NE	_|_|_	32	pn	_	_
34	Naud	Naud	N	NE	_|_|_	33	app	_	_
35	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	so	so	A	ADV	_	38	adv	_	_
38	flöte	flöten	V	VVFIN	3|Sg|Pres|Subj	35	par	_	_
39	derup	derup	N	NE	_|Nom|Sg	38	subj	_	_
40	,	,	$	$,	_	0	root	_	_
41	dann	dann	A	ADV	_	42	adv	_	_
42	will	wollen	V	VMFIN	3|Sg|Pres|Ind	38	kon	_	_
43	ik	ik	N	NE	_|Dat|_	42	objd	1	1
44	die	die	A	ART	Def|Fem|Nom|Sg	45	det	_	_
45	helpen	helpen	N	NN	Fem|Nom|Sg	42	subj	_	_
46	,	,	$	$,	_	0	root	_	_
47	un	un	F	FM	_|Nom|_	35	pred	_	_
48	wenn	wenn	K	KOUS	_	51	konj	_	_
49	du	du	P	PPER	2|Sg|_|Nom	51	subj	8	8
50	mal	mal	A	ADV	_	51	adv	_	_
51	wat	wat	V	VVFIN	2|Sg|_|_	35	neb	_	_
52	in	in	P	APPR	_	51	pp	_	_
53	Water	Water	N	NE	_|_|_	52	pn	_	_
54	hest	hest	N	NE	_|_|_	53	app	_	_
55	fallen	fallen	V	VVINF	_	0	root	_	_
56	laten	laten	N	NE	_	0	root	_	_
57	,	,	$	$,	_	0	root	_	_
58	so	so	A	ADV	_	59	adv	_	_
59	flöte	flöten	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
60	man	man	P	PIS	_|Nom|Sg	59	subj	_	_
61	,	,	$	$,	_	0	root	_	_
62	so	so	A	ADV	_	63	adv	_	_
63	will	wollen	V	VMFIN	3|Sg|Pres|Ind	59	kon	_	_
64	ik	ik	F	FM	_|Nom|Sg	63	subj	_	_
65	et	et	F	FM	_|Nom|Sg	64	app	_	_
66	die	die	A	ART	Def|_|_|_	67	det	_	_
67	herut	herut	F	FM	_|_|_	63	obja	_	_
68	reicken	reicken	F	FM	_|_|_	67	app	_	_
69	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Nu	Nu	N	NN	_|Nom|Sg	3	subj	30	30
3	ritt	reiten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	he	he	A	ADJD	_	3	adv	_	_
5	weg	weg	P	PTKVZ	_	3	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	da	da	K	KOUS	_	0	root	_	_
8	kümmt	kümmt	N	NE	_	0	root	_	_
9	so	so	A	ADV	_	8	adv	_	_
10	'	'	$	$(	_	0	root	_	_
11	n	n	F	FM	_	8	app	_	_
12	Minsk	Minsk	F	FM	_	11	app	_	_
13	to	to	F	FM	_	12	app	_	_
14	üm	üm	F	FM	_	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	de	de	F	FM	_	14	app	_	_
17	frägt	frägt	F	FM	_	16	app	_	_
18	'	'	$	$(	_	0	root	_	_
19	n	n	N	NN	_	17	app	_	_
20	,	,	$	$,	_	0	root	_	_
21	wo	wo	P	PWAV	_	0	root	_	_
22	he	he	F	FM	_	0	root	_	_
23	hen	hen	F	FM	_	22	app	_	_
24	wull	wull	F	FM	_	23	app	_	_
25	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	11	11
3	,	,	$	$,	_	0	root	_	_
4	na	na	N	NE	_	0	root	9	9
5	den	die	A	ART	Def|_|_|_	7	det	_	_
6	neggsten	neggsten	A	ADJA	_|_|_|_|_	7	attr	_	_
7	Ohre	Ohr	N	NN	_|_|_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Wu	Wu	N	NN	Neut|_|Sg	0	root	_	_
3	he	he	F	FM	Neut|_|Sg	2	app	_	_
4	dann	dann	A	ADV	_	2	adv	_	_
5	heite	heite	A	ADJD	_	0	root	_	_
6	?	?	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Ferenand	Ferenand	F	FM	_	0	root	_	_
3	getrü	getrü	F	FM	_	2	app	_	_
4	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	'	'	$	$(	_	0	root	_	_
3	Sü	Sü	N	NE	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	da	da	K	KOUS	_	0	root	_	_
6	hewe	hewe	N	NN	_	0	root	_	_
7	wie	wie	K	KOKOM	_	6	kom	_	_
8	ja	ja	A	ADV	_	12	adv	_	_
9	fast	fast	A	ADV	_	12	adv	_	_
10	den	die	A	ART	Def|Masc|_|_	12	det	_	_
11	sülwigen	sülwigen	A	ADJA	_|Masc|_|_|_	12	attr	_	_
12	Namen	Name	N	NN	Masc|_|_	7	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	ik	ik	F	FM	_|Dat|_	18	objd	_	_
15	heite	heite	F	FM	_|Dat|_	14	app	_	_

1	F	F	N	NN	Neut|_|_	0	root	_	_
2	e	e	F	FM	Neut|_|_	1	app	_	_
3	r	r	F	FM	Neut|_|_	2	app	_	_
4	e	e	F	FM	Neut|_|_	3	app	_	_
5	n	n	F	FM	Neut|_|_	4	app	_	_
6	a	a	F	FM	Neut|_|_	5	app	_	_
7	n	n	F	FM	Neut|_|_	6	app	_	_
8	d	d	F	FM	Neut|_|_	7	app	_	_
9	u	u	F	FM	Neut|_|_	8	app	_	_
10	n	n	F	FM	Neut|_|_	9	app	_	_
11	g	g	F	FM	Neut|_|_	10	app	_	_
12	e	e	F	FM	Neut|_|_	11	app	_	_
13	t	t	F	FM	Neut|_|_	12	app	_	_
14	r	r	F	FM	Neut|_|_	13	app	_	_
15	ü	ü	F	FM	Neut|_|_	14	app	_	_
16	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Da	da	A	ADV	_	3	adv	_	_
3	trecket	trecken	V	VVFIN	2|Pl|Pres|Subj	0	root	_	_
4	se	se	N	NE	_|Dat|_	3	objd	_	_
5	beide	beide	A	PIDAT	_|_|Pl	6	det	9	9
6	na	na	N	NN	_|_|Pl	3	obja	9	9
7	den	die	A	ART	Def|_|_|_	9	det	_	_
8	neggsten	neggsten	A	ADJA	_|_|_|_|_	9	attr	_	_
9	Ohre	Ohr	N	NN	_|_|_	0	root	_	_
10	in	in	P	APPR	_	9	pp	_	_
11	dat	dat	N	NE	_|_|_	10	pn	_	_
12	Wertshus	Wertshus	N	NE	_|_|_	11	app	_	_
13	.	.	$	$.	_	0	root	_	_

1	Nu	nu	A	ADV	_	0	root	_	_
2	was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	et	et	F	FM	_	0	root	_	_
4	schlimm	schlimm	F	FM	_	3	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	dat	dat	F	FM	_	4	app	_	_
7	de	de	F	FM	_	6	app	_	_
8	Ferenand	Ferenand	F	FM	_	7	app	_	_
9	ungetrü	ungetrü	F	FM	_	8	app	_	_
10	allet	allet	F	FM	_	9	app	_	_
11	wuste	wuste	F	FM	_	10	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	wat	wat	F	FM	_	11	app	_	_
14	'	'	$	$(	_	0	root	_	_
15	n	n	F	FM	_	13	app	_	_
16	annerer	annerer	F	FM	_	15	app	_	_
17	dacht	dacht	F	FM	_	16	app	_	_
18	hadde	hadde	F	FM	_	17	app	_	_
19	un	un	F	FM	_	18	app	_	_
20	doen	doen	F	FM	_	19	app	_	_
21	wulle	wulle	F	FM	_	20	app	_	_
22	;	;	$	$.	_	0	root	_	_
23	dat	dat	F	FM	_	0	root	_	_
24	wust	wust	F	FM	_	23	app	_	_
25	he	he	F	FM	_	24	app	_	_
26	döre	döre	F	FM	_	25	app	_	_
27	so	so	A	ADV	_	28	adv	_	_
28	allerhand	allerhand	N	NE	_	26	app	_	_
29	slimme	slimme	N	NE	_	28	app	_	_
30	Kunste	Kunste	N	NE	_	29	app	_	_
31	.	.	$	$.	_	0	root	_	_

1	Et	Et	N	NE	_	0	root	10	10
2	was	was	A	PIAT	Neut|_|Sg	3	det	_	_
3	awerst	awerst	N	NN	Neut|_|Sg	0	root	_	_
4	im	in	P	APPRART	Dat	3	pp	_	_
5	Wertshuse	Wertshuse	N	NN	_|Dat|_	4	pn	_	_
6	so	so	A	ADV	_	8	adv	_	_
7	'	'	$	$(	_	0	root	_	_
8	n	n	N	NN	_|Dat|_	5	app	_	_
9	wacker	wacker	A	ADJD	Pos|	10	adv	_	_
10	Mäken	Mäken	N	NE	_|Dat|_	8	app	_	_
11	,	,	$	$,	_	0	root	_	_
12	dat	dat	F	FM	_|Dat|_	10	app	_	_
13	hadde	hadde	F	FM	_|Dat|_	12	app	_	_
14	'	'	$	$(	_	0	root	_	_
15	n	n	N	NN	Neut|_|Sg	3	app	_	_
16	schier	schier	A	ADJD	Pos|	18	adv	_	_
17	(	(	$	$(	_	0	root	_	_
18	klares	klar	A	ADJA	Pos|Neut|_|Sg|St|	20	attr	_	_
19	)	)	$	$(	_	0	root	_	_
20	Angesicht	Angesicht	N	NN	Neut|_|Sg	15	app	_	_
21	un	un	F	FM	Neut|_|Sg	20	app	_	_
22	drog	drog	F	FM	Neut|_|Sg	21	app	_	_
23	sik	sik	F	FM	Neut|_|Sg	22	app	_	_
24	so	so	A	ADV	_	20	adv	_	_
25	hübsch	hübsch	A	ADJD	Pos|	0	root	_	_
26	,	,	$	$,	_	0	root	_	_
27	dat	dat	F	FM	_	0	root	_	_
28	verleiv	verleiv	F	FM	_	27	app	_	_
29	sik	sik	F	FM	_	28	app	_	_
30	in	in	P	APPR	_	29	pp	_	_
31	den	die	A	ART	Def|_|_|_	32	det	24	24
32	Ferenand	Ferenand	N	NN	_|_|_	30	pn	24	24
33	getrü	getrü	N	NE	_|_|_	32	app	24	24
34	,	,	$	$,	_	0	root	_	_
35	denn	denn	K	KON	_	0	root	_	_
36	et	et	F	FM	_|Nom|Pl	40	subj	_	_
37	was	was	F	FM	_|Nom|Pl	36	app	_	_
38	'	'	$	$(	_	0	root	_	_
39	n	n	N	NN	_|Nom|Pl	37	app	_	_
40	hübschen	hübschen	V	VVFIN	3|Pl|Pres|_	35	cj	_	_
41	Minschen	Minschen	N	NE	_	40	obja	_	_
42	west	west	N	NE	_	41	app	_	_
43	,	,	$	$,	_	0	root	_	_
44	un	un	F	FM	_	42	app	_	_
45	frog	frog	F	FM	_	44	app	_	_
46	'	'	$	$(	_	0	root	_	_
47	n	n	N	NN	_	45	app	_	_
48	,	,	$	$,	_	0	root	_	_
49	wo	wo	P	PWAV	_	0	root	_	_
50	he	he	F	FM	_	0	root	_	_
51	hen	hen	F	FM	_	50	app	_	_
52	to	to	F	FM	_	51	app	_	_
53	wulle	wulle	F	FM	_	52	app	_	_
54	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	11	11
3	,	,	$	$,	_	0	root	_	_
4	he	he	F	FM	_	0	root	_	_
5	wulle	wulle	F	FM	_	4	app	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	herümmer	herümmer	A	ADJD	_	8	adv	_	_
8	reisen	reisen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Da	Da	K	KOUS	_	0	root	_	_
3	segd	segd	N	NE	_	0	root	12	12
4	se	se	F	FM	_	3	app	12	12
5	,	,	$	$,	_	0	root	12	12
6	so	so	A	ADV	_	0	root	12	12
7	sull	sull	F	FM	_	0	root	12	12
8	he	he	F	FM	_	7	app	12	12
9	doch	doch	A	ADV	_	12	adv	12	12
10	nur	nur	A	ADV	_	12	adv	12	12
11	da	da	A	ADV	_	12	adv	12	12
12	bliewen	bliewen	C	CARD	_	8	app	12	12
13	,	,	$	$,	_	0	root	12	12
14	et	et	F	FM	_	0	root	12	12
15	wöre	wöre	F	FM	_	14	app	12	12
16	hier	hier	A	ADV	_	0	root	12	12
17	to	to	F	FM	_	0	root	12	12
18	Lanne	Lanne	F	FM	_	17	app	12	12
19	'	'	$	$(	_	0	root	12	12
20	n	n	N	NN	_	18	app	12	12
21	Künig	Künig	N	NE	_	20	app	12	12
22	,	,	$	$,	_	0	root	_	_
23	de	de	F	FM	_	26	obja	_	_
24	neime	neime	F	FM	_	23	app	_	_
25	wull	wull	F	FM	_	24	app	_	_
26	geren	geren	V	VVINF	_	0	root	_	_
27	'	'	$	$(	_	0	root	_	_
28	n	n	N	NN	Fem|_|Pl	0	root	_	_
29	Bedeenten	Bedeente	N	NN	Fem|_|Pl	28	app	_	_
30	oder	oder	K	KON	_	29	kon	_	_
31	'	'	$	$(	_	0	root	_	_
32	n	n	A	ADJA	_|Masc|_|_|_	33	attr	_	_
33	Vorrüter	Vorrüter	N	NN	Masc|_|_	30	cj	_	_
34	:	\:	$	$.	_	0	root	_	_
35	dabie	dabie	F	FM	_	0	root	_	_
36	sulle	sulle	F	FM	_	35	app	_	_
37	he	he	F	FM	_	36	app	_	_
38	in	in	P	APPR	Dat	37	pp	_	_
39	Diensten	Dienst	N	NN	Masc|Dat|Pl	38	pn	_	_
40	gahn	gahn	N	NE	Masc|Dat|Pl	39	app	_	_
41	.	.	$	$.	_	0	root	_	_

1	He	He	N	NE	_	0	root	_	_
2	andworde	andworde	N	NE	_	1	app	_	_
3	,	,	$	$,	_	0	root	_	_
4	he	he	F	FM	_	0	root	_	_
5	kunne	kunne	F	FM	_	4	app	_	_
6	nig	nig	F	FM	_	5	app	_	_
7	gud	gud	F	FM	_	6	app	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	to	to	A	ADJD	_	0	root	_	_
10	einen	eine	A	ART	Indef|Masc|Acc|Sg	11	det	_	_
11	hingahen	hingahen	F	FM	Masc|Acc|Sg	0	root	_	_
12	un	un	F	FM	Masc|Acc|Sg	11	app	_	_
13	been	been	F	FM	Masc|Acc|Sg	12	app	_	_
14	sik	sik	F	FM	Masc|Acc|Sg	13	app	_	_
15	an	an	P	PTKVZ	_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Da	Da	K	KOUS	_	0	root	_	_
2	segde	segde	N	NE	_	0	root	_	_
3	dat	dat	F	FM	_	2	app	_	_
4	Mäken	Mäken	F	FM	_	3	app	_	_
5	'	'	$	$(	_	0	root	_	_
6	o	o	F	FM	_	4	app	_	_
7	,	,	$	$,	_	0	root	_	_
8	dat	dat	N	NE	_|Nom|Sg	9	subj	_	_
9	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
10	ik	ik	N	NE	_	9	obja	1	1
11	dann	dann	A	ADV	_	9	adv	_	_
12	schon	schon	A	ADV	_	9	adv	_	_
13	dauen	dauen	A	ADJD	_	9	adv	_	_
14	.	.	$	$.	_	0	root	_	_

1	'	'	$	$(	_	0	root	_	_
2	Un	Un	N	NE	_	0	root	26	26
3	so	so	A	ADV	_	2	adv	26	26
4	gienk	gienk	F	FM	_	2	app	26	26
5	se	se	F	FM	_	4	app	26	26
6	auck	auck	F	FM	_	5	app	26	26
7	straks	straks	F	FM	_	6	app	26	26
8	hen	hen	F	FM	_	7	app	26	26
9	na	na	F	FM	_	8	app	26	26
10	den	die	A	ART	Def|_|_|_	11	det	12	12
11	Künig	Künig	N	NN	_|_|_	0	root	12	12
12	und	und	K	KON	_	11	kon	_	_
13	sehde	sehde	F	FM	Fem|_|Pl	12	cj	_	_
14	ünn	ünn	F	FM	Fem|_|Pl	13	app	_	_
15	,	,	$	$,	_	0	root	_	_
16	se	se	F	FM	Fem|_|Pl	14	app	_	_
17	wüste	wüste	F	FM	Fem|_|Pl	16	app	_	_
18	ünn	ünn	F	FM	Fem|_|Pl	17	app	_	_
19	'	'	$	$(	_	0	root	_	_
20	n	n	N	NN	Fem|_|Pl	18	app	_	_
21	hübschen	hübsch	A	ADJA	Pos|Fem|_|Pl|_|	22	attr	_	_
22	Bedeenten	Bedeente	N	NN	Fem|_|Pl	20	app	_	_
23	.	.	$	$.	_	0	root	_	_

1	Dat	Dat	F	FM	Fem|_|Pl	0	root	_	_
2	was	was	F	FM	Fem|_|Pl	1	app	_	_
3	de	de	F	FM	Fem|_|Pl	2	app	_	_
